FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1523,1517,1650,1632,0,0,257
1/1/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1810,1808,1941,1904,0,0,257
1/2/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1523,1612,1651,1724,0,0,257
1/2/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1810,1807,1942,1915,0,0,257
1/3/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1523,1650,1651,1805,0,0,257
1/3/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1810,,1942,,1,0,257
1/4/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1523,1523,1651,1702,0,0,257
1/4/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1810,1809,1942,1945,0,0,257
1/5/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1105,1202,1231,1321,0,0,257
1/5/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1800,,1926,,1,0,257
1/6/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1105,1559,1231,1656,0,0,257
1/6/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1800,1918,1926,2031,0,0,257
1/7/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1105,1241,1231,1352,0,0,257
1/7/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1800,1813,1926,1932,0,0,257
1/8/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1105,1104,1231,1217,0,0,257
1/8/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1800,1803,1926,1909,0,0,257
1/9/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1105,1139,1231,1249,0,0,257
1/9/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1800,2055,1926,2210,0,0,257
1/10/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1105,1104,1231,1212,0,0,257
1/10/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1800,1758,1926,1903,0,0,257
1/11/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1105,1120,1231,1232,0,0,257
1/11/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1800,2012,1926,2111,0,0,257
1/12/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1105,1058,1231,1215,0,0,257
1/12/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1800,1756,1926,1903,0,0,257
1/13/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1105,1101,1231,1208,0,0,257
1/13/2022 0:00,DL,4264,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1800,1759,1926,1928,0,0,257
1/14/2022 0:00,DL,4244,MSP,"Minneapolis, MN",MN,63,ABR,"Aberdeen, SD",SD,67,1105,1104,1231,1255,0,0,257
