FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1600,1607,1729,1726,0,0,845
1/1/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1145,1438,1343,1616,0,0,1026
1/1/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2040,2134,2240,2319,0,0,577
1/1/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2258,2357,2,0,0,250
1/1/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1047,1046,1208,1154,0,0,250
1/2/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1600,,1729,,1,0,845
1/2/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1145,1513,1343,1705,0,0,1026
1/2/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1828,1943,1943,0,0,250
1/2/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2040,2226,2240,23,0,0,577
1/2/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2228,2357,2346,0,0,250
1/2/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1047,1104,1208,1209,0,0,250
1/3/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1600,1553,1729,1740,0,0,845
1/3/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1145,1146,1343,1405,0,0,1026
1/3/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1929,1943,2100,0,0,250
1/3/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2040,2054,2240,2257,0,0,577
1/3/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2343,2357,58,0,0,250
1/3/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1047,1101,1208,1235,0,0,250
1/4/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1537,1537,1706,1718,0,0,845
1/4/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1139,1338,1352,0,0,1026
1/4/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1905,1910,2016,2027,0,0,250
1/4/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2241,2357,2350,0,0,250
1/4/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1251,1206,1422,0,0,250
1/5/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1537,1534,1706,1717,0,0,845
1/5/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1143,1338,1348,0,0,1026
1/5/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1917,1943,2026,0,0,250
1/5/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1848,2055,2116,0,0,577
1/5/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2233,2357,2336,0,0,250
1/5/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1058,1206,1203,0,0,250
1/6/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1530,1525,1659,1646,0,0,845
1/6/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1223,1338,1417,0,0,1026
1/6/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1835,1943,1950,0,0,250
1/6/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,2026,2055,2221,0,0,577
1/6/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2246,2357,2351,0,0,250
1/6/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1048,1206,1151,0,0,250
1/7/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1530,1521,1659,1644,0,0,845
1/7/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1224,1338,1430,0,0,1026
1/7/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1917,1943,2027,0,0,250
1/7/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1854,2055,2055,0,0,577
1/7/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2248,2357,12,0,0,250
1/7/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1046,1206,1151,0,0,250
1/8/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1537,1532,1706,1654,0,0,845
1/8/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1146,1338,1332,0,0,1026
1/8/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1827,1943,1932,0,0,250
1/8/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1849,2055,2031,0,0,577
1/8/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2232,2357,2333,0,0,250
1/8/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1042,1206,1151,0,0,250
1/9/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1530,1523,1659,1645,0,0,845
1/9/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1140,1338,1317,0,0,1026
1/9/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1836,1828,1949,1928,0,0,250
1/9/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1852,2055,2042,0,0,577
1/9/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2232,2357,2334,0,0,250
1/9/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1040,1206,1145,0,0,250
1/10/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1537,1535,1706,1656,0,0,845
1/10/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1139,1338,1337,0,0,1026
1/10/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1818,1943,1921,0,0,250
1/10/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1853,2055,2046,0,0,577
1/10/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2232,2357,2339,0,0,250
1/10/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1046,1206,1159,0,0,250
1/11/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1537,1529,1706,1650,0,0,845
1/11/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1138,1338,1328,0,0,1026
1/11/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1823,1943,1935,0,0,250
1/11/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1845,2055,2028,0,0,577
1/11/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2239,2357,2344,0,0,250
1/11/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1044,1206,1154,0,0,250
1/12/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1537,1557,1706,1712,0,0,845
1/12/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1134,1338,1317,0,0,1026
1/12/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1823,1943,1923,0,0,250
1/12/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1847,2055,2033,0,0,577
1/12/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2231,2357,2341,0,0,250
1/12/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1040,1206,1156,0,0,250
1/13/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1530,1528,1659,1647,0,0,845
1/13/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1141,1338,1339,0,0,1026
1/13/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1829,1943,1940,0,0,250
1/13/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1845,2055,2033,0,0,577
1/13/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2240,2357,2349,0,0,250
1/13/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1042,1206,1150,0,0,250
1/14/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1530,1522,1659,1636,0,0,845
1/14/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1138,1338,1342,0,0,1026
1/14/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1827,1943,1929,0,0,250
1/14/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1852,2055,2035,0,0,577
1/14/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2234,2357,2339,0,0,250
1/14/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1045,1206,1150,0,0,250
1/15/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1537,1529,1706,1650,0,0,845
1/15/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1144,1338,1326,0,0,1026
1/15/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1823,1943,1954,0,0,250
1/15/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1845,2055,2028,0,0,577
1/15/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2231,2357,2331,0,0,250
1/15/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1034,1206,1143,0,0,250
1/16/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1530,1520,1659,1644,0,0,845
1/16/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1138,1338,1321,0,0,1026
1/16/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1836,,1949,,1,0,250
1/16/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,,2055,,1,0,577
1/16/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,,2357,,1,0,250
1/16/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1040,1206,1143,0,0,250
1/17/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1537,1529,1706,1646,0,0,845
1/17/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1138,1338,1340,0,0,1026
1/17/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1827,1943,1932,0,0,250
1/17/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1859,2055,2051,0,0,577
1/17/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2240,2357,2349,0,0,250
1/17/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1058,1206,1304,0,0,250
1/18/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1537,1529,1706,1646,0,0,845
1/18/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1134,1338,1325,0,0,1026
1/18/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1826,1943,1931,0,0,250
1/18/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1850,2055,2054,0,0,577
1/18/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2237,2357,2343,0,0,250
1/18/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1035,1206,1158,0,0,250
1/19/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1537,1551,1706,1723,0,0,845
1/19/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1146,1338,1346,0,0,1026
1/19/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1918,1943,,1,0,250
1/19/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1903,2055,,1,0,577
1/19/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,,2357,,1,0,250
1/19/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1033,1206,1140,0,0,250
1/20/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1530,1525,1659,1647,0,0,845
1/20/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1140,1338,1329,0,0,1026
1/20/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1823,1943,1941,0,0,250
1/20/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1849,2055,2051,0,0,577
1/20/2022 0:00,UA,5892,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,2240,2236,2357,2348,0,0,250
1/20/2022 0:00,UA,5966,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1045,1624,1206,1730,0,0,250
1/21/2022 0:00,AA,3217,PHX,"Phoenix, AZ",AZ,81,ACV,"Arcata/Eureka, CA",CA,91,1530,1704,1659,1823,0,0,845
1/21/2022 0:00,UA,4722,DEN,"Denver, CO",CO,82,ACV,"Arcata/Eureka, CA",CA,91,1140,1139,1338,1341,0,0,1026
1/21/2022 0:00,UA,5306,SFO,"San Francisco, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1830,1820,1943,1933,0,0,250
1/21/2022 0:00,UA,5432,LAX,"Los Angeles, CA",CA,91,ACV,"Arcata/Eureka, CA",CA,91,1855,1847,2055,2049,0,0,577
