FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2953,AUS,"Austin, TX",TX,74,ASE,"Aspen, CO",CO,82,953,948,1121,1156,0,0,812
1/1/2022 0:00,AA,2971,DFW,"Dallas/Fort Worth, TX",TX,74,ASE,"Aspen, CO",CO,82,1906,2052,2038,2211,0,0,701
1/1/2022 0:00,AA,2973,LAX,"Los Angeles, CA",CA,91,ASE,"Aspen, CO",CO,82,1104,,1421,,1,0,737
1/1/2022 0:00,AA,2975,PHX,"Phoenix, AZ",AZ,81,ASE,"Aspen, CO",CO,82,1327,,1518,,1,0,491
1/1/2022 0:00,AA,3004,ORD,"Chicago, IL",IL,41,ASE,"Aspen, CO",CO,82,1247,,1513,,1,0,1013
1/1/2022 0:00,AA,3031,DFW,"Dallas/Fort Worth, TX",TX,74,ASE,"Aspen, CO",CO,82,1440,1458,1610,1707,0,0,701
1/1/2022 0:00,AA,3062,DFW,"Dallas/Fort Worth, TX",TX,74,ASE,"Aspen, CO",CO,82,1028,1029,1205,1250,0,0,701
1/1/2022 0:00,AA,3136,ORD,"Chicago, IL",IL,41,ASE,"Aspen, CO",CO,82,1041,1115,1306,1354,0,0,1013
1/1/2022 0:00,AA,3234,DFW,"Dallas/Fort Worth, TX",TX,74,ASE,"Aspen, CO",CO,82,1230,1323,1406,1545,0,0,701
1/1/2022 0:00,AA,3261,LAX,"Los Angeles, CA",CA,91,ASE,"Aspen, CO",CO,82,901,907,1218,1333,0,0,737
1/1/2022 0:00,DL,3641,LAX,"Los Angeles, CA",CA,91,ASE,"Aspen, CO",CO,82,1100,1128,1415,1431,0,0,737
1/1/2022 0:00,DL,3989,ATL,"Atlanta, GA",GA,34,ASE,"Aspen, CO",CO,82,949,1705,1146,1911,0,0,1304
1/1/2022 0:00,UA,4637,SFO,"San Francisco, CA",CA,91,ASE,"Aspen, CO",CO,82,1800,1749,2113,2103,0,0,848
1/1/2022 0:00,UA,4676,IAH,"Houston, TX",TX,74,ASE,"Aspen, CO",CO,82,945,948,1159,1235,0,0,913
1/1/2022 0:00,UA,4727,DEN,"Denver, CO",CO,82,ASE,"Aspen, CO",CO,82,1720,1848,1814,1949,0,0,125
1/1/2022 0:00,UA,4808,ORD,"Chicago, IL",IL,41,ASE,"Aspen, CO",CO,82,900,900,1121,1140,0,0,1013
1/1/2022 0:00,UA,4809,DEN,"Denver, CO",CO,82,ASE,"Aspen, CO",CO,82,1540,1612,1635,1701,0,0,125
1/1/2022 0:00,UA,5232,IAH,"Houston, TX",TX,74,ASE,"Aspen, CO",CO,82,1820,,2008,,1,0,913
1/1/2022 0:00,UA,5285,IAH,"Houston, TX",TX,74,ASE,"Aspen, CO",CO,82,1420,,1635,,1,0,913
1/1/2022 0:00,UA,5341,SFO,"San Francisco, CA",CA,91,ASE,"Aspen, CO",CO,82,915,948,1249,1301,0,0,848
1/1/2022 0:00,UA,5369,LAX,"Los Angeles, CA",CA,91,ASE,"Aspen, CO",CO,82,1846,1329,2158,1715,0,0,737
1/1/2022 0:00,UA,5444,LAX,"Los Angeles, CA",CA,91,ASE,"Aspen, CO",CO,82,910,918,1227,1226,0,0,737
1/1/2022 0:00,UA,5450,SNA,"Santa Ana, CA",CA,91,ASE,"Aspen, CO",CO,82,1600,1701,1908,2003,0,0,722
1/1/2022 0:00,UA,5477,DEN,"Denver, CO",CO,82,ASE,"Aspen, CO",CO,82,1205,1339,1300,1507,0,0,125
1/1/2022 0:00,UA,5499,ORD,"Chicago, IL",IL,41,ASE,"Aspen, CO",CO,82,1330,,1551,,1,0,1013
1/1/2022 0:00,UA,5597,DEN,"Denver, CO",CO,82,ASE,"Aspen, CO",CO,82,1850,,1944,,1,0,125
1/1/2022 0:00,UA,5634,LAX,"Los Angeles, CA",CA,91,ASE,"Aspen, CO",CO,82,1240,1347,1550,1138,0,1,737
1/1/2022 0:00,UA,5683,ORD,"Chicago, IL",IL,41,ASE,"Aspen, CO",CO,82,1537,,1758,,1,0,1013
1/1/2022 0:00,UA,5759,DEN,"Denver, CO",CO,82,ASE,"Aspen, CO",CO,82,2025,,2118,,1,0,125
1/1/2022 0:00,UA,5766,DEN,"Denver, CO",CO,82,ASE,"Aspen, CO",CO,82,1340,1349,1435,1441,0,0,125
1/1/2022 0:00,UA,5897,LAX,"Los Angeles, CA",CA,91,ASE,"Aspen, CO",CO,82,1005,,1322,,1,0,737
1/1/2022 0:00,UA,5942,IAH,"Houston, TX",TX,74,ASE,"Aspen, CO",CO,82,1155,1342,1402,1620,0,0,913
1/1/2022 0:00,UA,5994,ORD,"Chicago, IL",IL,41,ASE,"Aspen, CO",CO,82,1935,,2149,,1,0,1013
1/2/2022 0:00,AA,2953,AUS,"Austin, TX",TX,74,ASE,"Aspen, CO",CO,82,953,1031,1121,1246,0,0,812
1/2/2022 0:00,AA,2971,DFW,"Dallas/Fort Worth, TX",TX,74,ASE,"Aspen, CO",CO,82,1906,,2038,,1,0,701
1/2/2022 0:00,AA,2973,LAX,"Los Angeles, CA",CA,91,ASE,"Aspen, CO",CO,82,1104,,1421,,1,0,737
1/2/2022 0:00,AA,2975,PHX,"Phoenix, AZ",AZ,81,ASE,"Aspen, CO",CO,82,1327,,1518,,1,0,491
1/2/2022 0:00,AA,3004,ORD,"Chicago, IL",IL,41,ASE,"Aspen, CO",CO,82,1230,1537,1448,1750,0,0,1013
1/2/2022 0:00,AA,3031,DFW,"Dallas/Fort Worth, TX",TX,74,ASE,"Aspen, CO",CO,82,1440,1612,1610,1940,0,0,701
1/2/2022 0:00,AA,3062,DFW,"Dallas/Fort Worth, TX",TX,74,ASE,"Aspen, CO",CO,82,1028,1357,1205,1546,0,0,701
1/2/2022 0:00,AA,3136,ORD,"Chicago, IL",IL,41,ASE,"Aspen, CO",CO,82,1041,1543,1306,1852,0,0,1013
1/2/2022 0:00,AA,3229,DFW,"Dallas/Fort Worth, TX",TX,74,ASE,"Aspen, CO",CO,82,830,,1002,,1,0,701
1/2/2022 0:00,AA,3234,DFW,"Dallas/Fort Worth, TX",TX,74,ASE,"Aspen, CO",CO,82,1230,1517,1406,1652,0,0,701
1/2/2022 0:00,AA,3261,LAX,"Los Angeles, CA",CA,91,ASE,"Aspen, CO",CO,82,901,1001,1218,1341,0,0,737
1/2/2022 0:00,DL,3641,LAX,"Los Angeles, CA",CA,91,ASE,"Aspen, CO",CO,82,1100,1454,1415,1823,0,0,737
1/2/2022 0:00,DL,3989,ATL,"Atlanta, GA",GA,34,ASE,"Aspen, CO",CO,82,949,1016,1147,1154,0,0,1304
1/2/2022 0:00,UA,4637,SFO,"San Francisco, CA",CA,91,ASE,"Aspen, CO",CO,82,1800,1757,2113,2105,0,0,848
1/2/2022 0:00,UA,4676,IAH,"Houston, TX",TX,74,ASE,"Aspen, CO",CO,82,945,,1159,,1,0,913
