FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,4356,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1540,,1643,,1,0,161
1/1/2022 0:00,AA,4709,CLT,"Charlotte, NC",NC,36,ATW,"Appleton, WI",WI,45,2104,2056,2233,2211,0,0,742
1/1/2022 0:00,DL,2699,ATL,"Atlanta, GA",GA,34,ATW,"Appleton, WI",WI,45,1437,1436,1544,1531,0,0,765
1/1/2022 0:00,DL,3618,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,1259,1408,1327,1429,0,0,296
1/1/2022 0:00,DL,4122,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,2205,2213,2317,2307,0,0,236
1/1/2022 0:00,DL,4890,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,1115,1119,1231,1257,0,0,236
1/1/2022 0:00,DL,5084,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,2115,2121,2142,2230,0,0,296
1/1/2022 0:00,G4,1401,AZA,"Phoenix, AZ",AZ,81,ATW,"Appleton, WI",WI,45,900,929,1310,1319,0,0,1452
1/1/2022 0:00,G4,582,BNA,"Nashville, TN",TN,54,ATW,"Appleton, WI",WI,45,1709,1831,1851,2013,0,0,570
1/1/2022 0:00,UA,3811,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,2115,,2225,,1,0,161
1/1/2022 0:00,UA,3877,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1935,,2047,,1,0,161
1/1/2022 0:00,UA,3928,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1650,,1802,,1,0,161
1/1/2022 0:00,UA,3975,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1254,,1406,,1,0,161
1/1/2022 0:00,UA,3981,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1750,,1902,,1,0,161
1/1/2022 0:00,UA,4760,DEN,"Denver, CO",CO,82,ATW,"Appleton, WI",WI,45,1725,1827,2053,2217,0,0,883
1/2/2022 0:00,AA,4090,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1035,,1141,,1,0,161
1/2/2022 0:00,AA,4356,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1540,1559,1643,1643,0,0,161
1/2/2022 0:00,AA,4709,CLT,"Charlotte, NC",NC,36,ATW,"Appleton, WI",WI,45,2104,2059,2233,2212,0,0,742
1/2/2022 0:00,DL,2699,ATL,"Atlanta, GA",GA,34,ATW,"Appleton, WI",WI,45,1437,1447,1545,1548,0,0,765
1/2/2022 0:00,DL,4096,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,1535,1646,1649,1742,0,0,236
1/2/2022 0:00,DL,4122,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,2205,,2318,,1,0,236
1/2/2022 0:00,DL,4745,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,1138,1150,1215,1257,0,0,296
1/2/2022 0:00,DL,4890,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,1025,1121,1141,1232,0,0,236
1/2/2022 0:00,DL,5084,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,2115,2116,2143,2140,0,0,296
1/2/2022 0:00,DL,5218,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,1605,1621,1636,1644,0,0,296
1/2/2022 0:00,G4,1557,PGD,"Punta Gorda, FL",FL,33,ATW,"Appleton, WI",WI,45,740,732,942,922,0,0,1250
1/2/2022 0:00,G4,2,LAS,"Las Vegas, NV",NV,85,ATW,"Appleton, WI",WI,45,2344,46,510,604,0,0,1510
1/2/2022 0:00,G4,2376,SFB,"Sanford, FL",FL,33,ATW,"Appleton, WI",WI,45,1602,1602,1755,1741,0,0,1141
1/2/2022 0:00,UA,3811,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,2115,31,2225,123,0,0,161
1/2/2022 0:00,UA,3877,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1935,2015,2047,2105,0,0,161
1/2/2022 0:00,UA,3928,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1650,1735,1802,1837,0,0,161
1/2/2022 0:00,UA,3975,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1254,1251,1406,1401,0,0,161
1/2/2022 0:00,UA,3981,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1750,1856,1902,2015,0,0,161
1/2/2022 0:00,UA,4760,DEN,"Denver, CO",CO,82,ATW,"Appleton, WI",WI,45,1725,,2053,,1,0,883
1/3/2022 0:00,AA,4090,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1035,1045,1141,1159,0,0,161
1/3/2022 0:00,AA,4356,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1540,1538,1643,1646,0,0,161
1/3/2022 0:00,DL,2699,ATL,"Atlanta, GA",GA,34,ATW,"Appleton, WI",WI,45,1437,1434,1545,1544,0,0,765
1/3/2022 0:00,DL,4096,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,1535,1535,1649,1656,0,0,236
1/3/2022 0:00,DL,4122,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,2205,2343,2318,43,0,0,236
1/3/2022 0:00,DL,4745,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,1138,1137,1215,1212,0,0,296
1/3/2022 0:00,DL,4890,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,1025,,1141,,1,0,236
1/3/2022 0:00,DL,5084,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,2115,2112,2143,2144,0,0,296
1/3/2022 0:00,DL,5218,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,1605,1555,1636,1639,0,0,296
1/3/2022 0:00,G4,1205,AZA,"Phoenix, AZ",AZ,81,ATW,"Appleton, WI",WI,45,1605,1601,2015,2013,0,0,1452
1/3/2022 0:00,G4,1819,PIE,"St. Petersburg, FL",FL,33,ATW,"Appleton, WI",WI,45,740,730,935,923,0,0,1173
1/3/2022 0:00,UA,3811,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,2115,2113,2225,2212,0,0,161
1/3/2022 0:00,UA,3877,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1935,2109,2047,2156,0,0,161
1/3/2022 0:00,UA,3928,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1650,1725,1802,1821,0,0,161
1/3/2022 0:00,UA,3975,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1254,1253,1406,1359,0,0,161
1/3/2022 0:00,UA,3981,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1750,1838,1902,1950,0,0,161
1/3/2022 0:00,UA,4760,DEN,"Denver, CO",CO,82,ATW,"Appleton, WI",WI,45,1725,,2053,,1,0,883
1/4/2022 0:00,AA,4090,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1030,1027,1135,1122,0,0,161
1/4/2022 0:00,AA,4356,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1515,1514,1618,1600,0,0,161
1/4/2022 0:00,AA,5646,CLT,"Charlotte, NC",NC,36,ATW,"Appleton, WI",WI,45,2121,2157,2241,2306,0,0,742
1/4/2022 0:00,DL,2699,ATL,"Atlanta, GA",GA,34,ATW,"Appleton, WI",WI,45,1437,1437,1545,1536,0,0,765
1/4/2022 0:00,DL,4096,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,1535,1536,1649,1653,0,0,236
1/4/2022 0:00,DL,4122,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,2205,2158,2318,2318,0,0,236
1/4/2022 0:00,DL,4745,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,1138,1139,1215,1151,0,0,296
1/4/2022 0:00,DL,4890,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,1025,1021,1141,1127,0,0,236
1/4/2022 0:00,DL,5084,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,2115,2118,2143,2139,0,0,296
1/4/2022 0:00,DL,5218,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,1605,1604,1636,1623,0,0,296
1/4/2022 0:00,DL,8783,ATL,"Atlanta, GA",GA,34,ATW,"Appleton, WI",WI,45,1740,1733,1858,1830,0,0,765
1/4/2022 0:00,G4,1554,PGD,"Punta Gorda, FL",FL,33,ATW,"Appleton, WI",WI,45,1206,1159,1408,1401,0,0,1250
1/4/2022 0:00,UA,3726,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1750,1746,1902,1847,0,0,161
1/4/2022 0:00,UA,3811,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,2030,2025,2142,2121,0,0,161
1/4/2022 0:00,UA,3877,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1935,1935,2047,2026,0,0,161
1/4/2022 0:00,UA,3928,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1546,1556,1658,1723,0,0,161
1/4/2022 0:00,UA,3975,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1330,1330,1442,1424,0,0,161
1/4/2022 0:00,UA,4760,DEN,"Denver, CO",CO,82,ATW,"Appleton, WI",WI,45,1740,1748,2108,2104,0,0,883
1/5/2022 0:00,AA,4090,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1030,1057,1135,1253,0,0,161
1/5/2022 0:00,AA,4356,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1515,1511,1618,1608,0,0,161
1/5/2022 0:00,AA,5646,CLT,"Charlotte, NC",NC,36,ATW,"Appleton, WI",WI,45,2121,2113,2241,2235,0,0,742
1/5/2022 0:00,DL,2310,ATL,"Atlanta, GA",GA,34,ATW,"Appleton, WI",WI,45,1745,1739,1900,1858,0,0,765
1/5/2022 0:00,DL,3710,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,1000,1100,1040,1121,0,0,296
