FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3169,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1515,,1810,,1,0,632
1/1/2022 0:00,AA,5095,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1445,1440,1633,1637,0,0,509
1/1/2022 0:00,AA,5176,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,859,849,1041,1041,0,0,509
1/1/2022 0:00,AA,5370,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,2029,2044,2215,2229,0,0,509
1/1/2022 0:00,AA,5691,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1305,1257,1452,1440,0,0,509
1/1/2022 0:00,UA,3750,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1400,,1656,,1,0,632
1/1/2022 0:00,UA,3761,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1750,,2048,,1,0,632
1/1/2022 0:00,UA,3845,IAD,"Washington, DC",VA,38,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1735,1737,1845,1852,0,0,189
1/2/2022 0:00,AA,3169,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1500,,1755,,1,0,632
1/2/2022 0:00,AA,5095,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1445,1444,1633,1610,0,0,509
1/2/2022 0:00,AA,5176,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,859,900,1041,1032,0,0,509
1/2/2022 0:00,AA,5370,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,2029,2024,2215,2217,0,0,509
1/2/2022 0:00,AA,5423,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1650,1644,1840,1822,0,0,509
1/2/2022 0:00,AA,5691,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1305,1255,1452,1432,0,0,509
1/2/2022 0:00,UA,3750,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1400,1404,1656,1650,0,0,632
1/2/2022 0:00,UA,3761,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1750,1853,2048,2136,0,0,632
1/2/2022 0:00,UA,3845,IAD,"Washington, DC",VA,38,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1735,1732,1845,1900,0,0,189
1/3/2022 0:00,AA,3169,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1500,1527,1755,1805,0,0,632
1/3/2022 0:00,AA,5095,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1445,1516,1633,1703,0,0,509
1/3/2022 0:00,AA,5176,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,859,1121,1041,1303,0,0,509
1/3/2022 0:00,AA,5370,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,2029,2126,2215,2258,0,0,509
1/3/2022 0:00,AA,5423,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1650,1744,1840,1919,0,0,509
1/3/2022 0:00,AA,5691,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1305,1259,1452,1439,0,0,509
1/3/2022 0:00,UA,3750,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1400,1401,1656,1649,0,0,632
1/3/2022 0:00,UA,3845,IAD,"Washington, DC",VA,38,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1735,1820,1845,2007,0,0,189
1/4/2022 0:00,AA,1206,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,2029,2027,2216,2208,0,0,509
1/4/2022 0:00,AA,2652,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,914,909,1106,1044,0,0,509
1/4/2022 0:00,AA,3838,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1040,1036,1340,1313,0,0,632
1/4/2022 0:00,AA,3893,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1520,1517,1815,1814,0,0,632
1/4/2022 0:00,AA,5095,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1256,1420,1443,1620,0,0,509
1/4/2022 0:00,UA,3750,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1333,1327,1631,1627,0,0,632
1/4/2022 0:00,UA,3845,IAD,"Washington, DC",VA,38,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1730,1733,1840,1857,0,0,189
1/5/2022 0:00,AA,1206,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,2029,2026,2216,2151,0,0,509
1/5/2022 0:00,AA,2652,CLT,"Charlotte, NC",NC,36,AVP,"Scranton/Wilkes-Barre, PA",PA,23,914,909,1106,1043,0,0,509
1/5/2022 0:00,AA,3838,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1040,1044,1340,1347,0,0,632
1/5/2022 0:00,AA,3893,ORD,"Chicago, IL",IL,41,AVP,"Scranton/Wilkes-Barre, PA",PA,23,1520,1519,1815,1835,0,0,632
