FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3735,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1745,,1939,,1,0,122
1/1/2022 0:00,AA,4005,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1330,1328,1523,1554,0,0,122
1/1/2022 0:00,DL,4777,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,2130,749,2225,946,0,0,113
1/1/2022 0:00,DL,5066,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,1230,1225,1327,1309,0,0,113
1/1/2022 0:00,UA,5421,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1955,,2201,,1,0,122
1/2/2022 0:00,AA,3735,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1745,1744,1939,1949,0,0,122
1/2/2022 0:00,AA,4005,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1330,,1523,,1,0,122
1/2/2022 0:00,DL,4777,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,2259,2259,2355,2346,0,0,113
1/2/2022 0:00,DL,5066,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,1005,1000,1106,1104,0,0,113
1/2/2022 0:00,DL,5300,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,1645,1850,1745,2005,0,0,113
1/2/2022 0:00,UA,5421,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1955,2007,2201,2200,0,0,122
1/3/2022 0:00,AA,3735,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1745,1741,1939,1921,0,0,122
1/3/2022 0:00,AA,4005,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1330,1337,1523,1532,0,0,122
1/3/2022 0:00,DL,4777,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,2259,2257,2355,22,0,0,113
1/3/2022 0:00,DL,5066,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,1005,1001,1106,1050,0,0,113
1/3/2022 0:00,DL,5300,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,1645,1650,1745,1741,0,0,113
1/4/2022 0:00,AA,3735,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1735,1733,1931,1920,0,0,122
1/4/2022 0:00,AA,4005,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1328,1326,1525,1512,0,0,122
1/4/2022 0:00,DL,4777,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,2259,2256,2355,2342,0,0,113
1/4/2022 0:00,DL,5066,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,1005,1003,1106,1104,0,0,113
1/4/2022 0:00,DL,5300,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,1645,1811,1745,1902,0,0,113
1/5/2022 0:00,AA,3735,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1735,1734,1931,1952,0,0,122
1/5/2022 0:00,AA,4005,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1328,1327,1525,1551,0,0,122
1/5/2022 0:00,DL,4777,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,2255,2254,2357,2347,0,0,113
1/5/2022 0:00,DL,4811,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,1240,1351,1334,1448,0,0,113
1/5/2022 0:00,DL,5066,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,825,823,931,917,0,0,113
1/5/2022 0:00,DL,5300,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,1620,1621,1716,1753,0,0,113
1/6/2022 0:00,AA,3735,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,2030,2027,2238,,1,0,122
1/6/2022 0:00,AA,4005,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1328,1411,1525,1554,0,0,122
1/6/2022 0:00,DL,4777,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,2255,2324,2357,18,0,0,113
1/6/2022 0:00,DL,4811,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,1240,1235,1334,1333,0,0,113
1/6/2022 0:00,DL,5066,DTW,"Detroit, MI",MI,43,AZO,"Kalamazoo, MI",MI,43,825,822,931,923,0,0,113
