FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3262,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1829,1825,1905,1844,0,0,425
1/1/2022 0:00,AA,5950,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,2225,14,2354,143,0,0,1271
1/1/2022 0:00,AA,5986,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1035,1034,1213,1225,0,0,1271
1/1/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,2040,2057,2206,0,0,845
1/1/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1130,1231,1313,1441,0,0,845
1/1/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1116,1107,1234,1219,0,0,238
1/2/2022 0:00,AA,3131,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,830,824,908,851,0,0,425
1/2/2022 0:00,AA,3262,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1829,1823,1905,1851,0,0,425
1/2/2022 0:00,AA,5986,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1035,1041,1213,1156,0,0,1271
1/2/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,1911,2057,2035,0,0,845
1/2/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1130,1149,1313,1306,0,0,845
1/2/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1116,1124,1234,1225,0,0,238
1/3/2022 0:00,AA,3131,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,830,856,908,929,0,0,425
1/3/2022 0:00,AA,3262,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1829,1823,1905,1851,0,0,425
1/3/2022 0:00,AA,5867,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1434,1606,1508,1643,0,0,425
1/3/2022 0:00,AA,5950,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,2225,2225,2354,2342,0,0,1271
1/3/2022 0:00,AA,5986,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1035,1034,1213,1200,0,0,1271
1/3/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,1936,2057,2112,0,0,845
1/3/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1129,1125,1313,1300,0,0,845
1/3/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1116,1119,1234,1234,0,0,238
1/4/2022 0:00,AA,3239,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1050,1047,1126,1119,0,0,425
1/4/2022 0:00,AA,3288,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1755,1751,1829,1816,0,0,425
1/4/2022 0:00,AA,5733,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1031,1032,1210,1159,0,0,1271
1/4/2022 0:00,AA,5761,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,825,,857,,1,0,425
1/4/2022 0:00,AA,5950,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1840,,2011,,1,0,1271
1/4/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,1904,2057,2053,0,0,845
1/4/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1122,1304,1306,0,0,845
1/4/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,1106,1224,1209,0,0,238
1/5/2022 0:00,AA,3239,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1050,1046,1126,1120,0,0,425
1/5/2022 0:00,AA,3288,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1755,1749,1829,1810,0,0,425
1/5/2022 0:00,AA,5733,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1031,1052,1210,1226,0,0,1271
1/5/2022 0:00,AA,5761,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,825,823,857,856,0,0,425
1/5/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,,2057,,1,0,845
1/5/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1119,1304,1252,0,0,845
1/5/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,,1224,,1,0,238
1/6/2022 0:00,AA,3061,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,2130,2124,2205,2147,0,0,425
1/6/2022 0:00,AA,3239,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1050,1043,1126,1109,0,0,425
1/6/2022 0:00,AA,5761,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,825,819,857,848,0,0,425
1/6/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,818,2057,959,0,0,845
1/6/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1134,1304,1300,0,0,845
1/6/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,,1224,,1,0,238
1/7/2022 0:00,AA,3061,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,2130,2126,2205,2152,0,0,425
1/7/2022 0:00,AA,3239,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1050,1043,1126,1117,0,0,425
1/7/2022 0:00,AA,5733,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1031,1032,1210,1202,0,0,1271
1/7/2022 0:00,AA,5867,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1755,2100,1826,2123,0,0,425
1/7/2022 0:00,AA,5950,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1840,1839,2011,1945,0,0,1271
1/7/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,2143,2057,2326,0,0,845
1/7/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1257,1304,1432,0,0,845
1/7/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,,1224,,1,0,238
1/8/2022 0:00,AA,3239,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1050,1046,1126,1123,0,0,425
1/8/2022 0:00,AA,3288,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1755,1755,1829,1818,0,0,425
1/8/2022 0:00,AA,5950,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1840,2219,2011,2334,0,0,1271
1/8/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,1908,2057,2024,0,0,845
1/8/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1126,1304,1305,0,0,845
1/8/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,,1224,,1,0,238
1/9/2022 0:00,AA,3061,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,2130,2119,2205,2142,0,0,425
1/9/2022 0:00,AA,3239,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1050,,1126,,1,0,425
1/9/2022 0:00,AA,5733,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1031,1026,1210,1154,0,0,1271
1/9/2022 0:00,AA,5761,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,825,952,857,1022,0,0,425
1/9/2022 0:00,AA,5867,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1755,1751,1826,1813,0,0,425
1/9/2022 0:00,AA,5950,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1840,1836,2011,1954,0,0,1271
1/9/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,,2057,,1,0,845
1/9/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1154,1304,1311,0,0,845
1/9/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,,1224,,1,0,238
1/10/2022 0:00,AA,3239,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1050,1133,1126,1159,0,0,425
1/10/2022 0:00,AA,3288,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1755,1748,1829,1819,0,0,425
1/10/2022 0:00,AA,5733,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1031,1036,1210,1204,0,0,1271
1/10/2022 0:00,AA,5761,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,825,1200,857,1239,0,0,425
1/10/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,1907,2057,2038,0,0,845
1/10/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1117,1304,1245,0,0,845
1/10/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,,1224,,1,0,238
1/11/2022 0:00,AA,3288,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1755,1820,1829,1852,0,0,425
1/11/2022 0:00,AA,5950,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1840,1833,2011,1957,0,0,1271
1/11/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,2211,2057,2335,0,0,845
1/11/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1132,1304,1255,0,0,845
1/11/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,,1224,,1,0,238
1/12/2022 0:00,AA,3288,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1755,1753,1829,1811,0,0,425
1/12/2022 0:00,AA,5733,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1031,1048,1210,1159,0,0,1271
1/12/2022 0:00,AA,5950,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1840,1835,2011,1944,0,0,1271
1/12/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,1931,2057,2102,0,0,845
1/12/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1124,1304,1301,0,0,845
1/12/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,1056,1224,1203,0,0,238
1/13/2022 0:00,AA,3061,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,2130,2121,2205,2147,0,0,425
1/13/2022 0:00,AA,5761,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,825,814,857,841,0,0,425
1/13/2022 0:00,AA,5867,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1755,1759,1826,1823,0,0,425
1/13/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,1905,2057,2033,0,0,845
1/13/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1208,1304,1334,0,0,845
1/13/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,1145,1224,1250,0,0,238
1/14/2022 0:00,AA,3061,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,2130,2123,2205,2145,0,0,425
1/14/2022 0:00,AA,3239,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1050,1044,1126,1111,0,0,425
1/14/2022 0:00,AA,5761,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,825,,857,,1,0,425
1/14/2022 0:00,AA,5950,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1840,1900,2011,2036,0,0,1271
1/14/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,2214,2057,2329,0,0,845
1/14/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1145,1304,1325,0,0,845
1/14/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,1055,1224,1215,0,0,238
1/15/2022 0:00,AA,3239,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1050,1046,1126,1119,0,0,425
1/15/2022 0:00,AA,3288,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1755,,1829,,1,0,425
1/15/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,1919,2057,2036,0,0,845
1/15/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1138,1304,1259,0,0,845
1/15/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,1100,1224,1211,0,0,238
1/16/2022 0:00,AA,3061,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,2130,2125,2205,2142,0,0,425
1/16/2022 0:00,AA,3239,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1050,1140,1126,1201,0,0,425
1/16/2022 0:00,AA,5733,DFW,"Dallas/Fort Worth, TX",TX,74,BFL,"Bakersfield, CA",CA,91,1031,1055,1210,1252,0,0,1271
1/16/2022 0:00,AA,5761,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,825,1002,857,,1,0,425
1/16/2022 0:00,AA,5867,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1755,1844,1826,1917,0,0,425
1/16/2022 0:00,UA,4725,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1910,1911,2057,2036,0,0,845
1/16/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1118,1304,1247,0,0,845
1/16/2022 0:00,UA,5405,SFO,"San Francisco, CA",CA,91,BFL,"Bakersfield, CA",CA,91,1106,1057,1224,1205,0,0,238
1/17/2022 0:00,AA,3239,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1050,1045,1126,1113,0,0,425
1/17/2022 0:00,AA,3288,PHX,"Phoenix, AZ",AZ,81,BFL,"Bakersfield, CA",CA,91,1755,1842,1829,1903,0,0,425
1/17/2022 0:00,UA,5303,DEN,"Denver, CO",CO,82,BFL,"Bakersfield, CA",CA,91,1120,1118,1304,1244,0,0,845
