FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3113,PHX,"Phoenix, AZ",AZ,81,BIL,"Billings, MT",MT,84,1409,,1652,,1,0,873
1/1/2022 0:00,AA,4095,DFW,"Dallas/Fort Worth, TX",TX,74,BIL,"Billings, MT",MT,84,1105,1101,1316,1303,0,0,1081
1/1/2022 0:00,AS,2077,SEA,"Seattle, WA",WA,93,BIL,"Billings, MT",MT,84,950,1001,1256,1302,0,0,664
1/1/2022 0:00,AS,2518,SEA,"Seattle, WA",WA,93,BIL,"Billings, MT",MT,84,1550,1610,1853,1908,0,0,664
1/1/2022 0:00,DL,1351,SLC,"Salt Lake City, UT",UT,87,BIL,"Billings, MT",MT,84,2140,2132,2310,2302,0,0,387
1/1/2022 0:00,DL,2392,MSP,"Minneapolis, MN",MN,63,BIL,"Billings, MT",MT,84,855,854,1010,953,0,0,748
1/1/2022 0:00,DL,3817,SLC,"Salt Lake City, UT",UT,87,BIL,"Billings, MT",MT,84,952,954,1135,1131,0,0,387
1/1/2022 0:00,UA,325,DEN,"Denver, CO",CO,82,BIL,"Billings, MT",MT,84,1850,2246,2026,14,0,0,455
1/1/2022 0:00,UA,703,DEN,"Denver, CO",CO,82,BIL,"Billings, MT",MT,84,1145,1315,1315,1503,0,0,455
1/2/2022 0:00,AA,3113,PHX,"Phoenix, AZ",AZ,81,BIL,"Billings, MT",MT,84,1409,1359,1652,1615,0,0,873
1/2/2022 0:00,AA,4095,DFW,"Dallas/Fort Worth, TX",TX,74,BIL,"Billings, MT",MT,84,1105,1235,1316,1442,0,0,1081
1/2/2022 0:00,AS,2077,SEA,"Seattle, WA",WA,93,BIL,"Billings, MT",MT,84,950,952,1256,1250,0,0,664
1/2/2022 0:00,AS,2518,SEA,"Seattle, WA",WA,93,BIL,"Billings, MT",MT,84,1550,1626,1853,1922,0,0,664
1/2/2022 0:00,DL,2357,SLC,"Salt Lake City, UT",UT,87,BIL,"Billings, MT",MT,84,2244,2242,17,2347,0,0,387
1/2/2022 0:00,DL,2392,MSP,"Minneapolis, MN",MN,63,BIL,"Billings, MT",MT,84,855,,1010,,1,0,748
1/2/2022 0:00,DL,3548,SLC,"Salt Lake City, UT",UT,87,BIL,"Billings, MT",MT,84,1617,1617,1745,1746,0,0,387
1/2/2022 0:00,DL,3817,SLC,"Salt Lake City, UT",UT,87,BIL,"Billings, MT",MT,84,952,955,1135,1130,0,0,387
1/2/2022 0:00,G4,1183,AZA,"Phoenix, AZ",AZ,81,BIL,"Billings, MT",MT,84,1816,1955,2031,2207,0,0,878
1/2/2022 0:00,UA,325,DEN,"Denver, CO",CO,82,BIL,"Billings, MT",MT,84,1850,2102,2026,2225,0,0,455
1/2/2022 0:00,UA,703,DEN,"Denver, CO",CO,82,BIL,"Billings, MT",MT,84,1145,1211,1315,1341,0,0,455
1/3/2022 0:00,AA,3113,PHX,"Phoenix, AZ",AZ,81,BIL,"Billings, MT",MT,84,1409,1412,1652,1627,0,0,873
1/3/2022 0:00,AA,4095,DFW,"Dallas/Fort Worth, TX",TX,74,BIL,"Billings, MT",MT,84,1105,1147,1316,1332,0,0,1081
1/3/2022 0:00,AS,2077,SEA,"Seattle, WA",WA,93,BIL,"Billings, MT",MT,84,950,951,1256,1253,0,0,664
1/3/2022 0:00,AS,2457,SEA,"Seattle, WA",WA,93,BIL,"Billings, MT",MT,84,1945,1954,2247,2253,0,0,664
1/3/2022 0:00,AS,2518,SEA,"Seattle, WA",WA,93,BIL,"Billings, MT",MT,84,1550,1703,1853,2012,0,0,664
1/3/2022 0:00,DL,2357,SLC,"Salt Lake City, UT",UT,87,BIL,"Billings, MT",MT,84,2244,2245,17,2358,0,0,387
1/3/2022 0:00,DL,2392,MSP,"Minneapolis, MN",MN,63,BIL,"Billings, MT",MT,84,855,856,1010,1014,0,0,748
1/3/2022 0:00,DL,3548,SLC,"Salt Lake City, UT",UT,87,BIL,"Billings, MT",MT,84,1617,1739,1745,1849,0,0,387
1/3/2022 0:00,DL,3817,SLC,"Salt Lake City, UT",UT,87,BIL,"Billings, MT",MT,84,952,949,1135,1228,0,0,387
1/3/2022 0:00,G4,1200,AZA,"Phoenix, AZ",AZ,81,BIL,"Billings, MT",MT,84,620,,835,,1,0,878
1/3/2022 0:00,G4,79,LAS,"Las Vegas, NV",NV,85,BIL,"Billings, MT",MT,84,1023,1251,1327,1552,0,0,754
1/3/2022 0:00,UA,325,DEN,"Denver, CO",CO,82,BIL,"Billings, MT",MT,84,1850,1927,2026,2051,0,0,455
1/3/2022 0:00,UA,703,DEN,"Denver, CO",CO,82,BIL,"Billings, MT",MT,84,1145,1201,1315,1325,0,0,455
1/4/2022 0:00,AA,3095,PHX,"Phoenix, AZ",AZ,81,BIL,"Billings, MT",MT,84,1400,1355,1643,1616,0,0,873
1/4/2022 0:00,AA,4095,DFW,"Dallas/Fort Worth, TX",TX,74,BIL,"Billings, MT",MT,84,1050,1047,1307,1302,0,0,1081
