FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1076,DFW,"Dallas/Fort Worth, TX",TX,74,BNA,"Nashville, TN",TN,54,1912,1906,2101,2109,0,0,631
1/1/2022 0:00,AA,1100,DFW,"Dallas/Fort Worth, TX",TX,74,BNA,"Nashville, TN",TN,54,1257,1258,1449,1452,0,0,631
1/1/2022 0:00,AA,1116,LAX,"Los Angeles, CA",CA,91,BNA,"Nashville, TN",TN,54,1444,1451,2041,2039,0,0,1797
1/1/2022 0:00,AA,1129,DFW,"Dallas/Fort Worth, TX",TX,74,BNA,"Nashville, TN",TN,54,1025,1045,1211,1234,0,0,631
1/1/2022 0:00,AA,1291,LGA,"New York, NY",NY,22,BNA,"Nashville, TN",TN,54,1445,1442,1627,1611,0,0,764
1/1/2022 0:00,AA,1292,LAX,"Los Angeles, CA",CA,91,BNA,"Nashville, TN",TN,54,2343,14,540,608,0,0,1797
1/1/2022 0:00,AA,1500,DFW,"Dallas/Fort Worth, TX",TX,74,BNA,"Nashville, TN",TN,54,2059,2058,2250,2238,0,0,631
1/1/2022 0:00,AA,1681,ORD,"Chicago, IL",IL,41,BNA,"Nashville, TN",TN,54,1240,1826,1408,2127,0,0,409
1/1/2022 0:00,AA,1757,CLT,"Charlotte, NC",NC,36,BNA,"Nashville, TN",TN,54,1614,1610,1638,1635,0,0,328
1/1/2022 0:00,AA,1819,CLT,"Charlotte, NC",NC,36,BNA,"Nashville, TN",TN,54,1316,1310,1350,1403,0,0,328
1/1/2022 0:00,AA,1926,PHX,"Phoenix, AZ",AZ,81,BNA,"Nashville, TN",TN,54,1630,1631,2104,2044,0,0,1449
1/1/2022 0:00,AA,2111,LGA,"New York, NY",NY,22,BNA,"Nashville, TN",TN,54,1700,1741,1841,1939,0,0,764
1/1/2022 0:00,AA,2232,CLT,"Charlotte, NC",NC,36,BNA,"Nashville, TN",TN,54,1801,1756,1829,1837,0,0,328
1/1/2022 0:00,AA,2238,DFW,"Dallas/Fort Worth, TX",TX,74,BNA,"Nashville, TN",TN,54,1645,1732,1836,1000,0,1,631
1/1/2022 0:00,AA,2244,DFW,"Dallas/Fort Worth, TX",TX,74,BNA,"Nashville, TN",TN,54,1436,1501,1625,1643,0,0,631
1/1/2022 0:00,AA,2277,DCA,"Washington, DC",VA,38,BNA,"Nashville, TN",TN,54,2032,2044,2146,2205,0,0,562
1/1/2022 0:00,AA,2833,MIA,"Miami, FL",FL,33,BNA,"Nashville, TN",TN,54,2030,2024,2153,2153,0,0,806
1/1/2022 0:00,AA,3155,ORD,"Chicago, IL",IL,41,BNA,"Nashville, TN",TN,54,1725,,1904,,1,0,409
1/1/2022 0:00,AA,3171,ORD,"Chicago, IL",IL,41,BNA,"Nashville, TN",TN,54,1514,,1653,,1,0,409
1/1/2022 0:00,AA,3707,AUS,"Austin, TX",TX,74,BNA,"Nashville, TN",TN,54,700,712,858,858,0,0,756
1/1/2022 0:00,AA,4360,MIA,"Miami, FL",FL,33,BNA,"Nashville, TN",TN,54,1433,1431,1602,1543,0,0,806
1/1/2022 0:00,AA,4431,MIA,"Miami, FL",FL,33,BNA,"Nashville, TN",TN,54,1141,1400,1310,1516,0,0,806
1/1/2022 0:00,AA,4520,JFK,"New York, NY",NY,22,BNA,"Nashville, TN",TN,54,1815,1813,2000,1958,0,0,765
1/1/2022 0:00,AA,4566,TPA,"Tampa, FL",FL,33,BNA,"Nashville, TN",TN,54,1445,1528,1542,1620,0,0,612
1/1/2022 0:00,AA,4639,PHL,"Philadelphia, PA",PA,23,BNA,"Nashville, TN",TN,54,1747,1741,1911,1907,0,0,675
1/1/2022 0:00,AA,4650,MIA,"Miami, FL",FL,33,BNA,"Nashville, TN",TN,54,2239,2234,7,2344,0,0,806
1/1/2022 0:00,AA,4658,LGA,"New York, NY",NY,22,BNA,"Nashville, TN",TN,54,800,753,945,933,0,0,764
1/1/2022 0:00,AA,4677,TPA,"Tampa, FL",FL,33,BNA,"Nashville, TN",TN,54,929,1005,1025,1100,0,0,612
