FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3041,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,2235,2304,1,47,0,0,383
1/1/2022 0:00,AA,3185,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1759,1756,1922,1918,0,0,383
1/1/2022 0:00,AA,3536,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1025,1031,1151,1154,0,0,383
1/1/2022 0:00,AA,5131,CLT,"Charlotte, NC",NC,36,BTR,"Baton Rouge, LA",LA,72,905,859,1025,1041,0,0,675
1/1/2022 0:00,AA,5132,CLT,"Charlotte, NC",NC,36,BTR,"Baton Rouge, LA",LA,72,1635,1633,1753,1751,0,0,675
1/1/2022 0:00,DL,4706,ATL,"Atlanta, GA",GA,34,BTR,"Baton Rouge, LA",LA,72,2155,2150,2234,2223,0,0,448
1/1/2022 0:00,DL,4776,ATL,"Atlanta, GA",GA,34,BTR,"Baton Rouge, LA",LA,72,1430,1421,1506,1453,0,0,448
1/1/2022 0:00,DL,5418,ATL,"Atlanta, GA",GA,34,BTR,"Baton Rouge, LA",LA,72,825,830,907,858,0,0,448
1/1/2022 0:00,UA,4788,IAH,"Houston, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1215,1211,1331,1313,0,0,253
1/1/2022 0:00,UA,4857,IAH,"Houston, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1448,1444,1602,1544,0,0,253
1/1/2022 0:00,UA,4874,IAH,"Houston, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,2015,2104,2128,2209,0,0,253
1/2/2022 0:00,AA,3041,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,2235,2234,1,7,0,0,383
1/2/2022 0:00,AA,3185,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1759,1825,1922,1944,0,0,383
1/2/2022 0:00,AA,3536,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1025,1021,1151,1138,0,0,383
1/2/2022 0:00,AA,5131,CLT,"Charlotte, NC",NC,36,BTR,"Baton Rouge, LA",LA,72,905,859,1025,1040,0,0,675
1/2/2022 0:00,AA,5132,CLT,"Charlotte, NC",NC,36,BTR,"Baton Rouge, LA",LA,72,1635,1634,1753,1727,0,0,675
1/2/2022 0:00,AA,5212,CLT,"Charlotte, NC",NC,36,BTR,"Baton Rouge, LA",LA,72,2220,2216,2334,2344,0,0,675
1/2/2022 0:00,DL,4706,ATL,"Atlanta, GA",GA,34,BTR,"Baton Rouge, LA",LA,72,2155,2150,2235,2236,0,0,448
1/2/2022 0:00,DL,4873,ATL,"Atlanta, GA",GA,34,BTR,"Baton Rouge, LA",LA,72,1143,,1222,,1,0,448
1/2/2022 0:00,DL,4903,ATL,"Atlanta, GA",GA,34,BTR,"Baton Rouge, LA",LA,72,1555,1553,1632,1643,0,0,448
1/2/2022 0:00,DL,5418,ATL,"Atlanta, GA",GA,34,BTR,"Baton Rouge, LA",LA,72,810,807,853,843,0,0,448
1/2/2022 0:00,UA,4788,IAH,"Houston, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1215,1733,1331,1845,0,0,253
1/2/2022 0:00,UA,4852,IAH,"Houston, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,745,,856,,1,0,253
1/2/2022 0:00,UA,4857,IAH,"Houston, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1448,1451,1602,1605,0,0,253
1/2/2022 0:00,UA,4874,IAH,"Houston, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,2015,2313,2128,29,0,0,253
1/3/2022 0:00,AA,3041,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,2235,2239,1,2354,0,0,383
1/3/2022 0:00,AA,3185,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1759,1807,1922,1922,0,0,383
1/3/2022 0:00,AA,3536,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1025,,1151,,1,0,383
1/3/2022 0:00,AA,5131,CLT,"Charlotte, NC",NC,36,BTR,"Baton Rouge, LA",LA,72,905,1011,1025,1108,0,0,675
1/3/2022 0:00,AA,5132,CLT,"Charlotte, NC",NC,36,BTR,"Baton Rouge, LA",LA,72,1635,1635,1753,1748,0,0,675
1/3/2022 0:00,AA,5212,CLT,"Charlotte, NC",NC,36,BTR,"Baton Rouge, LA",LA,72,2220,2303,2334,12,0,0,675
1/3/2022 0:00,DL,4706,ATL,"Atlanta, GA",GA,34,BTR,"Baton Rouge, LA",LA,72,2155,2155,2235,2225,0,0,448
1/3/2022 0:00,DL,4873,ATL,"Atlanta, GA",GA,34,BTR,"Baton Rouge, LA",LA,72,1143,1140,1222,1202,0,0,448
1/3/2022 0:00,DL,4903,ATL,"Atlanta, GA",GA,34,BTR,"Baton Rouge, LA",LA,72,1555,1552,1632,1622,0,0,448
1/3/2022 0:00,DL,5418,ATL,"Atlanta, GA",GA,34,BTR,"Baton Rouge, LA",LA,72,810,810,853,836,0,0,448
1/3/2022 0:00,UA,4788,IAH,"Houston, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1215,,1331,,1,0,253
1/3/2022 0:00,UA,4852,IAH,"Houston, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,745,742,856,843,0,0,253
1/3/2022 0:00,UA,4857,IAH,"Houston, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1448,1608,1602,1704,0,0,253
1/3/2022 0:00,UA,4874,IAH,"Houston, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,2015,2102,2128,2217,0,0,253
1/4/2022 0:00,AA,3021,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1959,1955,2120,2107,0,0,383
1/4/2022 0:00,AA,3203,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1025,1023,1152,1138,0,0,383
1/4/2022 0:00,AA,3256,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,726,724,847,851,0,0,383
1/4/2022 0:00,AA,3696,DFW,"Dallas/Fort Worth, TX",TX,74,BTR,"Baton Rouge, LA",LA,72,1435,1435,1557,1555,0,0,383
