FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2203,DFW,"Dallas/Fort Worth, TX",TX,74,BUF,"Buffalo, NY",NY,22,1855,2115,2248,56,0,0,1212
1/1/2022 0:00,AA,2301,CLT,"Charlotte, NC",NC,36,BUF,"Buffalo, NY",NY,22,1808,1913,1950,2041,0,0,546
1/1/2022 0:00,AA,3580,ORD,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1735,,2011,,1,0,473
1/1/2022 0:00,AA,5138,DCA,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,1459,1550,1625,1658,0,0,296
1/1/2022 0:00,AA,5183,DCA,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,940,938,1100,1049,0,0,296
1/1/2022 0:00,AA,5246,CLT,"Charlotte, NC",NC,36,BUF,"Buffalo, NY",NY,22,912,914,1110,1057,0,0,546
1/1/2022 0:00,AA,6134,PHL,"Philadelphia, PA",PA,23,BUF,"Buffalo, NY",NY,22,930,926,1058,1043,0,0,279
1/1/2022 0:00,AA,6222,PHL,"Philadelphia, PA",PA,23,BUF,"Buffalo, NY",NY,22,2005,2002,2141,2127,0,0,279
1/1/2022 0:00,B6,102,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,2135,2242,2309,32,0,0,301
1/1/2022 0:00,B6,1586,MCO,"Orlando, FL",FL,33,BUF,"Buffalo, NY",NY,22,1434,1432,1715,1655,0,0,1011
1/1/2022 0:00,B6,2402,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,1720,,1849,,1,0,301
1/1/2022 0:00,B6,266,FLL,"Fort Lauderdale, FL",FL,33,BUF,"Buffalo, NY",NY,22,846,839,1142,1136,0,0,1166
1/1/2022 0:00,B6,2802,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,930,921,1058,1040,0,0,301
1/1/2022 0:00,B6,715,BOS,"Boston, MA",MA,13,BUF,"Buffalo, NY",NY,22,2135,,2312,,1,0,395
1/1/2022 0:00,DL,2578,ATL,"Atlanta, GA",GA,34,BUF,"Buffalo, NY",NY,22,1005,1021,1200,1216,0,0,712
1/1/2022 0:00,DL,2680,ATL,"Atlanta, GA",GA,34,BUF,"Buffalo, NY",NY,22,2117,2131,2316,2322,0,0,712
1/1/2022 0:00,DL,4795,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,2150,2145,2337,2311,0,0,301
1/1/2022 0:00,DL,4852,DTW,"Detroit, MI",MI,43,BUF,"Buffalo, NY",NY,22,1215,1210,1327,1311,0,0,241
1/1/2022 0:00,DL,4985,LGA,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,1630,1708,1802,1827,0,0,292
1/1/2022 0:00,DL,5195,DTW,"Detroit, MI",MI,43,BUF,"Buffalo, NY",NY,22,2140,2155,2251,2340,0,0,241
1/1/2022 0:00,F9,1038,MCO,"Orlando, FL",FL,33,BUF,"Buffalo, NY",NY,22,1235,1235,1517,1508,0,0,1011
1/1/2022 0:00,F9,910,RSW,"Fort Myers, FL",FL,33,BUF,"Buffalo, NY",NY,22,730,721,1028,1007,0,0,1144
1/1/2022 0:00,UA,1400,ORD,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1805,,2042,,1,0,473
1/1/2022 0:00,UA,2030,EWR,"Newark, NJ",NJ,21,BUF,"Buffalo, NY",NY,22,2217,222,2339,337,0,0,282
1/1/2022 0:00,UA,3422,EWR,"Newark, NJ",NJ,21,BUF,"Buffalo, NY",NY,22,1930,1945,2103,2115,0,0,282
1/1/2022 0:00,UA,3784,IAD,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,1045,1046,1208,1152,0,0,283
1/1/2022 0:00,UA,3785,IAD,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,1720,1727,1845,1842,0,0,283
1/1/2022 0:00,UA,3823,ORD,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1113,,1358,,1,0,473
1/1/2022 0:00,UA,3901,ORD,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1418,,1701,,1,0,473
1/1/2022 0:00,UA,4171,EWR,"Newark, NJ",NJ,21,BUF,"Buffalo, NY",NY,22,1159,1201,1326,1316,0,0,282
1/1/2022 0:00,UA,4187,EWR,"Newark, NJ",NJ,21,BUF,"Buffalo, NY",NY,22,1550,1719,1724,1836,0,0,282
1/1/2022 0:00,UA,4423,EWR,"Newark, NJ",NJ,21,BUF,"Buffalo, NY",NY,22,1800,1840,1927,2000,0,0,282
1/1/2022 0:00,WN,1336,MCO,"Orlando, FL",FL,33,BUF,"Buffalo, NY",NY,22,1320,1320,1550,1538,0,0,1011
1/1/2022 0:00,WN,2057,MDW,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1355,,1620,,1,0,468
1/1/2022 0:00,WN,2251,BWI,"Baltimore, MD",MD,35,BUF,"Buffalo, NY",NY,22,2155,,2310,,1,0,281
1/1/2022 0:00,WN,2588,TPA,"Tampa, FL",FL,33,BUF,"Buffalo, NY",NY,22,2100,,2335,,1,0,1053
1/1/2022 0:00,WN,2704,PHX,"Phoenix, AZ",AZ,81,BUF,"Buffalo, NY",NY,22,1235,1258,1830,1821,0,0,1912
1/1/2022 0:00,WN,2721,BWI,"Baltimore, MD",MD,35,BUF,"Buffalo, NY",NY,22,1215,1231,1325,1335,0,0,281
1/1/2022 0:00,WN,2827,FLL,"Fort Lauderdale, FL",FL,33,BUF,"Buffalo, NY",NY,22,925,917,1225,1211,0,0,1166
1/1/2022 0:00,WN,2934,LAS,"Las Vegas, NV",NV,85,BUF,"Buffalo, NY",NY,22,1745,1801,55,57,0,0,1986
1/1/2022 0:00,WN,2972,RSW,"Fort Myers, FL",FL,33,BUF,"Buffalo, NY",NY,22,1125,1123,1415,1402,0,0,1144
1/1/2022 0:00,WN,2998,SJU,"San Juan, PR",PR,3,BUF,"Buffalo, NY",NY,22,1150,1148,1540,1520,0,0,1845
1/1/2022 0:00,WN,3228,BWI,"Baltimore, MD",MD,35,BUF,"Buffalo, NY",NY,22,1530,1607,1640,1709,0,0,281
1/1/2022 0:00,WN,3492,MCO,"Orlando, FL",FL,33,BUF,"Buffalo, NY",NY,22,755,755,1025,1018,0,0,1011
1/1/2022 0:00,WN,3494,TPA,"Tampa, FL",FL,33,BUF,"Buffalo, NY",NY,22,1010,1010,1250,1242,0,0,1053
1/1/2022 0:00,WN,3722,MCO,"Orlando, FL",FL,33,BUF,"Buffalo, NY",NY,22,2155,2316,25,133,0,0,1011
1/1/2022 0:00,WN,882,DEN,"Denver, CO",CO,82,BUF,"Buffalo, NY",NY,22,1150,1232,1655,1720,0,0,1359
1/2/2022 0:00,AA,1203,CLT,"Charlotte, NC",NC,36,BUF,"Buffalo, NY",NY,22,1030,1034,1209,1202,0,0,546
1/2/2022 0:00,AA,2203,DFW,"Dallas/Fort Worth, TX",TX,74,BUF,"Buffalo, NY",NY,22,1855,1925,2248,2303,0,0,1212
1/2/2022 0:00,AA,2301,CLT,"Charlotte, NC",NC,36,BUF,"Buffalo, NY",NY,22,1620,1731,1758,1905,0,0,546
1/2/2022 0:00,AA,3094,ORD,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1015,,1257,,1,0,473
1/2/2022 0:00,AA,3580,ORD,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1735,1805,2011,2038,0,0,473
1/2/2022 0:00,AA,5138,DCA,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,1502,1614,1632,1731,0,0,296
1/2/2022 0:00,AA,5183,DCA,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,1048,1042,1203,1151,0,0,296
1/2/2022 0:00,AA,5467,DCA,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,2202,2201,2322,2317,0,0,296
1/2/2022 0:00,AA,6061,PHL,"Philadelphia, PA",PA,23,BUF,"Buffalo, NY",NY,22,1354,1352,1521,1513,0,0,279
1/2/2022 0:00,AA,6134,PHL,"Philadelphia, PA",PA,23,BUF,"Buffalo, NY",NY,22,930,927,1058,1048,0,0,279
1/2/2022 0:00,AA,6222,PHL,"Philadelphia, PA",PA,23,BUF,"Buffalo, NY",NY,22,2005,1959,2141,2126,0,0,279
1/2/2022 0:00,AA,703,CLT,"Charlotte, NC",NC,36,BUF,"Buffalo, NY",NY,22,2240,2241,24,10,0,0,546
1/2/2022 0:00,B6,102,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,2135,,2309,,1,0,301
1/2/2022 0:00,B6,1586,MCO,"Orlando, FL",FL,33,BUF,"Buffalo, NY",NY,22,1434,1438,1715,1700,0,0,1011
1/2/2022 0:00,B6,2215,BOS,"Boston, MA",MA,13,BUF,"Buffalo, NY",NY,22,1430,1546,1603,1729,0,0,395
1/2/2022 0:00,B6,2402,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,1720,1810,1849,1938,0,0,301
1/2/2022 0:00,B6,266,FLL,"Fort Lauderdale, FL",FL,33,BUF,"Buffalo, NY",NY,22,846,937,1142,1219,0,0,1166
1/2/2022 0:00,B6,2802,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,930,,1058,,1,0,301
1/2/2022 0:00,B6,492,LAX,"Los Angeles, CA",CA,91,BUF,"Buffalo, NY",NY,22,2350,2348,734,753,0,0,2218
1/2/2022 0:00,B6,715,BOS,"Boston, MA",MA,13,BUF,"Buffalo, NY",NY,22,2135,35,2312,213,0,0,395
1/2/2022 0:00,DL,2578,ATL,"Atlanta, GA",GA,34,BUF,"Buffalo, NY",NY,22,943,1002,1139,1156,0,0,712
1/2/2022 0:00,DL,2680,ATL,"Atlanta, GA",GA,34,BUF,"Buffalo, NY",NY,22,2146,2220,2346,2355,0,0,712
1/2/2022 0:00,DL,2739,ATL,"Atlanta, GA",GA,34,BUF,"Buffalo, NY",NY,22,1534,1609,1732,1751,0,0,712
1/2/2022 0:00,DL,4785,LGA,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,835,833,1012,957,0,0,292
1/2/2022 0:00,DL,4795,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,2150,2225,2338,2344,0,0,301
1/2/2022 0:00,DL,4929,LGA,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,2159,2203,2327,2330,0,0,292
1/2/2022 0:00,DL,4959,LGA,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,1140,,1314,,1,0,292
1/2/2022 0:00,DL,5057,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,955,948,1133,1138,0,0,301
1/2/2022 0:00,DL,5169,DTW,"Detroit, MI",MI,43,BUF,"Buffalo, NY",NY,22,2255,2332,13,46,0,0,241
1/2/2022 0:00,DL,5296,LGA,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,1727,,1903,,1,0,292
1/2/2022 0:00,DL,5327,DTW,"Detroit, MI",MI,43,BUF,"Buffalo, NY",NY,22,1050,1100,1206,1213,0,0,241
1/2/2022 0:00,DL,5366,DTW,"Detroit, MI",MI,43,BUF,"Buffalo, NY",NY,22,720,719,843,851,0,0,241
1/2/2022 0:00,DL,5386,LGA,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,1247,1253,1422,1447,0,0,292
1/2/2022 0:00,DL,5431,DTW,"Detroit, MI",MI,43,BUF,"Buffalo, NY",NY,22,1645,1854,1800,1950,0,0,241
1/2/2022 0:00,F9,1038,MCO,"Orlando, FL",FL,33,BUF,"Buffalo, NY",NY,22,1235,1226,1517,1448,0,0,1011
1/2/2022 0:00,F9,2500,TPA,"Tampa, FL",FL,33,BUF,"Buffalo, NY",NY,22,1530,1858,1816,2127,0,0,1053
1/2/2022 0:00,F9,2762,MIA,"Miami, FL",FL,33,BUF,"Buffalo, NY",NY,22,605,801,918,1126,0,0,1185
1/2/2022 0:00,F9,910,RSW,"Fort Myers, FL",FL,33,BUF,"Buffalo, NY",NY,22,730,719,1028,1002,0,0,1144
1/2/2022 0:00,UA,1400,ORD,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1805,1813,2042,2105,0,0,473
1/2/2022 0:00,UA,3422,EWR,"Newark, NJ",NJ,21,BUF,"Buffalo, NY",NY,22,1929,1939,2102,2123,0,0,282
1/2/2022 0:00,UA,3490,EWR,"Newark, NJ",NJ,21,BUF,"Buffalo, NY",NY,22,1159,1154,1326,1324,0,0,282
1/2/2022 0:00,UA,3502,EWR,"Newark, NJ",NJ,21,BUF,"Buffalo, NY",NY,22,2155,2249,2328,36,0,0,282
1/2/2022 0:00,UA,3784,IAD,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,1050,1044,1213,1216,0,0,283
1/2/2022 0:00,UA,3785,IAD,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,1720,,1845,,1,0,283
1/2/2022 0:00,UA,3823,ORD,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1100,,1345,,1,0,473
1/2/2022 0:00,UA,3901,ORD,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1410,1412,1655,1645,0,0,473
1/2/2022 0:00,UA,4187,EWR,"Newark, NJ",NJ,21,BUF,"Buffalo, NY",NY,22,1550,1711,1724,1832,0,0,282
1/2/2022 0:00,UA,4423,EWR,"Newark, NJ",NJ,21,BUF,"Buffalo, NY",NY,22,1755,1753,1922,1924,0,0,282
1/2/2022 0:00,WN,1505,BWI,"Baltimore, MD",MD,35,BUF,"Buffalo, NY",NY,22,1520,1628,1630,1728,0,0,281
1/2/2022 0:00,WN,1518,LAS,"Las Vegas, NV",NV,85,BUF,"Buffalo, NY",NY,22,1300,1303,2010,2005,0,0,1986
1/2/2022 0:00,WN,2081,MCO,"Orlando, FL",FL,33,BUF,"Buffalo, NY",NY,22,710,707,945,938,0,0,1011
1/2/2022 0:00,WN,2122,PHX,"Phoenix, AZ",AZ,81,BUF,"Buffalo, NY",NY,22,1855,1918,55,109,0,0,1912
1/2/2022 0:00,WN,2150,MCO,"Orlando, FL",FL,33,BUF,"Buffalo, NY",NY,22,1335,1337,1605,1546,0,0,1011
1/2/2022 0:00,WN,2322,MDW,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1335,1413,1600,1625,0,0,468
1/2/2022 0:00,WN,270,BWI,"Baltimore, MD",MD,35,BUF,"Buffalo, NY",NY,22,1045,1118,1155,1227,0,0,281
1/2/2022 0:00,WN,277,MCO,"Orlando, FL",FL,33,BUF,"Buffalo, NY",NY,22,2040,2355,2310,207,0,0,1011
1/2/2022 0:00,WN,400,TPA,"Tampa, FL",FL,33,BUF,"Buffalo, NY",NY,22,1150,1157,1430,1412,0,0,1053
1/2/2022 0:00,WN,404,BWI,"Baltimore, MD",MD,35,BUF,"Buffalo, NY",NY,22,2230,2352,2345,55,0,0,281
1/2/2022 0:00,WN,423,FLL,"Fort Lauderdale, FL",FL,33,BUF,"Buffalo, NY",NY,22,950,1055,1250,1342,0,0,1166
1/2/2022 0:00,WN,5456,MDW,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1855,2017,2120,2224,0,0,468
1/2/2022 0:00,WN,948,DEN,"Denver, CO",CO,82,BUF,"Buffalo, NY",NY,22,1350,1410,1850,1854,0,0,1359
1/3/2022 0:00,AA,1203,CLT,"Charlotte, NC",NC,36,BUF,"Buffalo, NY",NY,22,1030,1025,1209,1204,0,0,546
1/3/2022 0:00,AA,2301,CLT,"Charlotte, NC",NC,36,BUF,"Buffalo, NY",NY,22,1620,1620,1758,1804,0,0,546
1/3/2022 0:00,AA,3094,ORD,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1015,1012,1257,1240,0,0,473
1/3/2022 0:00,AA,3580,ORD,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1735,1734,2011,1952,0,0,473
1/3/2022 0:00,AA,5138,DCA,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,1459,,1625,,1,0,296
1/3/2022 0:00,AA,5183,DCA,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,1048,,1203,,1,0,296
1/3/2022 0:00,AA,5467,DCA,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,2202,,2322,,1,0,296
1/3/2022 0:00,AA,6061,PHL,"Philadelphia, PA",PA,23,BUF,"Buffalo, NY",NY,22,1354,,1521,,1,0,279
1/3/2022 0:00,AA,6134,PHL,"Philadelphia, PA",PA,23,BUF,"Buffalo, NY",NY,22,930,949,1058,1145,0,0,279
1/3/2022 0:00,AA,6222,PHL,"Philadelphia, PA",PA,23,BUF,"Buffalo, NY",NY,22,2005,2048,2141,2218,0,0,279
1/3/2022 0:00,AA,703,CLT,"Charlotte, NC",NC,36,BUF,"Buffalo, NY",NY,22,2240,2331,24,,1,0,546
1/3/2022 0:00,B6,102,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,2135,2157,2309,2312,0,0,301
1/3/2022 0:00,B6,1586,MCO,"Orlando, FL",FL,33,BUF,"Buffalo, NY",NY,22,1434,1434,1715,1717,0,0,1011
1/3/2022 0:00,B6,2215,BOS,"Boston, MA",MA,13,BUF,"Buffalo, NY",NY,22,1430,1451,1603,1613,0,0,395
1/3/2022 0:00,B6,2402,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,1720,,1849,,1,0,301
1/3/2022 0:00,B6,266,FLL,"Fort Lauderdale, FL",FL,33,BUF,"Buffalo, NY",NY,22,846,1321,1142,1616,0,0,1166
1/3/2022 0:00,B6,2802,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,930,935,1058,1055,0,0,301
1/3/2022 0:00,B6,492,LAX,"Los Angeles, CA",CA,91,BUF,"Buffalo, NY",NY,22,2215,2252,555,625,0,0,2218
1/3/2022 0:00,B6,715,BOS,"Boston, MA",MA,13,BUF,"Buffalo, NY",NY,22,2135,2149,2312,2315,0,0,395
1/3/2022 0:00,DL,2578,ATL,"Atlanta, GA",GA,34,BUF,"Buffalo, NY",NY,22,943,940,1139,1140,0,0,712
1/3/2022 0:00,DL,2680,ATL,"Atlanta, GA",GA,34,BUF,"Buffalo, NY",NY,22,2146,2201,2346,26,0,0,712
1/3/2022 0:00,DL,2739,ATL,"Atlanta, GA",GA,34,BUF,"Buffalo, NY",NY,22,1534,1531,1732,1725,0,0,712
1/3/2022 0:00,DL,4785,LGA,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,835,,1012,,1,0,292
1/3/2022 0:00,DL,4795,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,2150,2143,2338,2259,0,0,301
1/3/2022 0:00,DL,4929,LGA,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,2159,2251,2327,15,0,0,292
1/3/2022 0:00,DL,4959,LGA,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,1140,,1314,,1,0,292
1/3/2022 0:00,DL,5057,JFK,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,955,1013,1133,1132,0,0,301
1/3/2022 0:00,DL,5169,DTW,"Detroit, MI",MI,43,BUF,"Buffalo, NY",NY,22,2255,2251,13,5,0,0,241
1/3/2022 0:00,DL,5296,LGA,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,1727,1815,1903,1944,0,0,292
1/3/2022 0:00,DL,5327,DTW,"Detroit, MI",MI,43,BUF,"Buffalo, NY",NY,22,1050,1155,1206,1311,0,0,241
1/3/2022 0:00,DL,5366,DTW,"Detroit, MI",MI,43,BUF,"Buffalo, NY",NY,22,720,710,843,828,0,0,241
1/3/2022 0:00,DL,5386,LGA,"New York, NY",NY,22,BUF,"Buffalo, NY",NY,22,1247,1243,1422,1400,0,0,292
1/3/2022 0:00,DL,5431,DTW,"Detroit, MI",MI,43,BUF,"Buffalo, NY",NY,22,1645,1828,1800,1948,0,0,241
1/3/2022 0:00,F9,1038,MCO,"Orlando, FL",FL,33,BUF,"Buffalo, NY",NY,22,1143,1213,1428,1456,0,0,1011
1/3/2022 0:00,F9,2500,TPA,"Tampa, FL",FL,33,BUF,"Buffalo, NY",NY,22,1405,1517,1657,1800,0,0,1053
1/3/2022 0:00,F9,910,RSW,"Fort Myers, FL",FL,33,BUF,"Buffalo, NY",NY,22,730,912,1028,1200,0,0,1144
1/3/2022 0:00,UA,1400,ORD,"Chicago, IL",IL,41,BUF,"Buffalo, NY",NY,22,1805,1813,2042,2037,0,0,473
1/3/2022 0:00,UA,3490,EWR,"Newark, NJ",NJ,21,BUF,"Buffalo, NY",NY,22,1159,1245,1326,1437,0,0,282
1/3/2022 0:00,UA,3502,EWR,"Newark, NJ",NJ,21,BUF,"Buffalo, NY",NY,22,2155,2248,2328,11,0,0,282
1/3/2022 0:00,UA,3784,IAD,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,1050,1112,1213,1340,0,0,283
1/3/2022 0:00,UA,3785,IAD,"Washington, DC",VA,38,BUF,"Buffalo, NY",NY,22,1720,1833,1845,2050,0,0,283
