FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2167,ORD,"Chicago, IL",IL,41,BZN,"Bozeman, MT",MT,84,900,858,1126,1155,0,0,1186
1/1/2022 0:00,AA,2522,DFW,"Dallas/Fort Worth, TX",TX,74,BZN,"Bozeman, MT",MT,84,1910,1944,2129,2208,0,0,1163
1/1/2022 0:00,AA,6253,LAX,"Los Angeles, CA",CA,91,BZN,"Bozeman, MT",MT,84,1014,,1407,,1,0,902
1/1/2022 0:00,AA,815,CLT,"Charlotte, NC",NC,36,BZN,"Bozeman, MT",MT,84,920,921,1206,1255,0,0,1736
1/1/2022 0:00,AA,817,DFW,"Dallas/Fort Worth, TX",TX,74,BZN,"Bozeman, MT",MT,84,1041,1045,1307,1356,0,0,1163
1/1/2022 0:00,AS,2310,SEA,"Seattle, WA",WA,93,BZN,"Bozeman, MT",MT,84,840,839,1128,1124,0,0,543
1/1/2022 0:00,AS,2447,SEA,"Seattle, WA",WA,93,BZN,"Bozeman, MT",MT,84,1543,1622,1828,1906,0,0,543
1/1/2022 0:00,AS,2472,SEA,"Seattle, WA",WA,93,BZN,"Bozeman, MT",MT,84,1950,1941,2234,2219,0,0,543
1/1/2022 0:00,AS,3362,LAX,"Los Angeles, CA",CA,91,BZN,"Bozeman, MT",MT,84,1240,1246,1622,1724,0,0,902
1/1/2022 0:00,AS,3458,SFO,"San Francisco, CA",CA,91,BZN,"Bozeman, MT",MT,84,1105,1304,1412,1619,0,0,807
1/1/2022 0:00,B6,1461,FLL,"Fort Lauderdale, FL",FL,33,BZN,"Bozeman, MT",MT,84,730,718,1108,1025,0,0,2183
1/1/2022 0:00,B6,257,BOS,"Boston, MA",MA,13,BZN,"Bozeman, MT",MT,84,1157,1210,1509,1554,0,0,1991
1/1/2022 0:00,B6,947,JFK,"New York, NY",NY,22,BZN,"Bozeman, MT",MT,84,945,1230,1301,1552,0,0,1902
1/1/2022 0:00,DL,1215,MSP,"Minneapolis, MN",MN,63,BZN,"Bozeman, MT",MT,84,1827,1844,2003,2004,0,0,874
1/1/2022 0:00,DL,2240,MSP,"Minneapolis, MN",MN,63,BZN,"Bozeman, MT",MT,84,1125,1134,1259,1259,0,0,874
1/1/2022 0:00,DL,2414,SLC,"Salt Lake City, UT",UT,87,BZN,"Bozeman, MT",MT,84,2125,2124,2256,2247,0,0,347
1/1/2022 0:00,DL,3549,SLC,"Salt Lake City, UT",UT,87,BZN,"Bozeman, MT",MT,84,1100,1114,1229,1236,0,0,347
1/1/2022 0:00,DL,3606,SLC,"Salt Lake City, UT",UT,87,BZN,"Bozeman, MT",MT,84,1545,1538,1712,1700,0,0,347
1/1/2022 0:00,DL,4110,LAX,"Los Angeles, CA",CA,91,BZN,"Bozeman, MT",MT,84,800,755,1126,1138,0,0,902
1/1/2022 0:00,DL,651,ATL,"Atlanta, GA",GA,34,BZN,"Bozeman, MT",MT,84,1124,1129,1341,1328,0,0,1640
1/1/2022 0:00,UA,2392,EWR,"Newark, NJ",NJ,21,BZN,"Bozeman, MT",MT,84,740,,1044,,1,0,1882
1/1/2022 0:00,UA,2661,ORD,"Chicago, IL",IL,41,BZN,"Bozeman, MT",MT,84,900,906,1128,1118,0,0,1186
1/1/2022 0:00,UA,4743,DEN,"Denver, CO",CO,82,BZN,"Bozeman, MT",MT,84,1540,1645,1734,1837,0,0,524
1/1/2022 0:00,UA,5219,DEN,"Denver, CO",CO,82,BZN,"Bozeman, MT",MT,84,1345,1516,1539,1737,0,0,524
1/1/2022 0:00,UA,5458,SFO,"San Francisco, CA",CA,91,BZN,"Bozeman, MT",MT,84,1250,1301,1612,1617,0,0,807
1/1/2022 0:00,UA,5818,LAX,"Los Angeles, CA",CA,91,BZN,"Bozeman, MT",MT,84,830,831,1217,1222,0,0,902
1/1/2022 0:00,UA,5992,SFO,"San Francisco, CA",CA,91,BZN,"Bozeman, MT",MT,84,1830,1836,2149,2157,0,0,807
1/1/2022 0:00,UA,601,ORD,"Chicago, IL",IL,41,BZN,"Bozeman, MT",MT,84,2015,2131,2241,15,0,0,1186
1/1/2022 0:00,UA,6244,IAH,"Houston, TX",TX,74,BZN,"Bozeman, MT",MT,84,1020,1018,1308,1256,0,0,1385
1/1/2022 0:00,UA,671,DEN,"Denver, CO",CO,82,BZN,"Bozeman, MT",MT,84,1150,1510,1338,1648,0,0,524
