FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,5155,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,1759,1753,1933,1919,0,0,394
1/1/2022 0:00,AA,5305,DCA,"Washington, DC",VA,38,CAK,"Akron, OH",OH,44,1946,1936,2105,2058,0,0,274
1/1/2022 0:00,AA,5371,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,2009,2207,2141,2319,0,0,394
1/1/2022 0:00,AA,6086,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,1310,1309,1453,1448,0,0,394
1/1/2022 0:00,AA,6238,PHL,"Philadelphia, PA",PA,23,CAK,"Akron, OH",OH,44,2005,2029,2150,2343,0,0,335
1/1/2022 0:00,NK,272,TPA,"Tampa, FL",FL,33,CAK,"Akron, OH",OH,44,1635,1631,1849,1838,0,0,894
1/1/2022 0:00,NK,386,MCO,"Orlando, FL",FL,33,CAK,"Akron, OH",OH,44,1750,1836,2012,2044,0,0,861
1/1/2022 0:00,UA,3746,IAD,"Washington, DC",VA,38,CAK,"Akron, OH",OH,44,1750,1853,1915,2015,0,0,251
1/1/2022 0:00,UA,3831,ORD,"Chicago, IL",IL,41,CAK,"Akron, OH",OH,44,1450,,1726,,1,0,343
1/1/2022 0:00,UA,3872,ORD,"Chicago, IL",IL,41,CAK,"Akron, OH",OH,44,1855,,2133,,1,0,343
1/1/2022 0:00,UA,3963,ORD,"Chicago, IL",IL,41,CAK,"Akron, OH",OH,44,1045,,1321,,1,0,343
1/2/2022 0:00,AA,5155,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,1759,1800,1933,1923,0,0,394
1/2/2022 0:00,AA,5181,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,956,946,1134,1112,0,0,394
1/2/2022 0:00,AA,5184,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,2216,113,2349,227,0,0,394
1/2/2022 0:00,AA,5305,DCA,"Washington, DC",VA,38,CAK,"Akron, OH",OH,44,1946,2020,2105,2159,0,0,274
1/2/2022 0:00,AA,5371,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,2009,2003,2141,2121,0,0,394
1/2/2022 0:00,AA,6086,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,1310,1539,1453,1708,0,0,394
1/2/2022 0:00,AA,6238,PHL,"Philadelphia, PA",PA,23,CAK,"Akron, OH",OH,44,2005,1958,2150,2148,0,0,335
1/2/2022 0:00,NK,282,RSW,"Fort Myers, FL",FL,33,CAK,"Akron, OH",OH,44,615,726,835,937,0,0,991
1/2/2022 0:00,NK,386,MCO,"Orlando, FL",FL,33,CAK,"Akron, OH",OH,44,1750,1918,2012,2133,0,0,861
1/2/2022 0:00,UA,3746,IAD,"Washington, DC",VA,38,CAK,"Akron, OH",OH,44,1750,1749,1915,1910,0,0,251
1/2/2022 0:00,UA,3831,ORD,"Chicago, IL",IL,41,CAK,"Akron, OH",OH,44,1450,1446,1726,1710,0,0,343
1/2/2022 0:00,UA,3872,ORD,"Chicago, IL",IL,41,CAK,"Akron, OH",OH,44,1855,1857,2133,2128,0,0,343
1/2/2022 0:00,UA,3963,ORD,"Chicago, IL",IL,41,CAK,"Akron, OH",OH,44,1045,,1321,,1,0,343
1/3/2022 0:00,AA,5155,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,1759,1859,1933,2028,0,0,394
1/3/2022 0:00,AA,5181,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,956,1025,1134,1201,0,0,394
1/3/2022 0:00,AA,5184,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,2216,2223,2349,18,0,0,394
1/3/2022 0:00,AA,5305,DCA,"Washington, DC",VA,38,CAK,"Akron, OH",OH,44,1946,,2105,,1,0,274
1/3/2022 0:00,AA,5371,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,2009,2237,2141,35,0,0,394
1/3/2022 0:00,AA,6086,CLT,"Charlotte, NC",NC,36,CAK,"Akron, OH",OH,44,1310,1310,1453,1451,0,0,394
