FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5105,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,2110,,2244,,1,0,339
1/2/2022 0:00,UA,5105,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,2110,,2244,,1,0,339
1/2/2022 0:00,UA,5172,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,1125,,1259,,1,0,339
1/3/2022 0:00,UA,5105,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,2110,2110,2244,2230,0,0,339
1/3/2022 0:00,UA,5172,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,1125,,1259,,1,0,339
1/4/2022 0:00,UA,5105,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,2030,2026,2205,2151,0,0,339
1/5/2022 0:00,UA,5105,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,2030,2347,2205,114,0,0,339
1/5/2022 0:00,UA,5172,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,945,,1120,,1,0,339
1/6/2022 0:00,UA,5105,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,2030,2023,2205,2134,0,0,339
1/6/2022 0:00,UA,5172,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,945,,1120,,1,0,339
1/7/2022 0:00,UA,5105,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,2030,2027,2205,2157,0,0,339
1/7/2022 0:00,UA,5172,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,945,938,1120,1050,0,0,339
1/8/2022 0:00,UA,5105,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,2030,2047,2205,2255,0,0,339
1/9/2022 0:00,UA,5105,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,2030,2021,2205,2135,0,0,339
1/9/2022 0:00,UA,5172,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,945,938,1120,1101,0,0,339
1/10/2022 0:00,UA,5105,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,2030,2020,2205,2125,0,0,339
1/10/2022 0:00,UA,5172,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,945,,1120,,1,0,339
1/11/2022 0:00,UA,5105,ORD,"Chicago, IL",IL,41,CGI,"Cape Girardeau, MO",MO,64,2030,2025,2205,2141,0,0,339
