FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1422,DFW,"Dallas/Fort Worth, TX",TX,74,CHS,"Charleston, SC",SC,37,2035,2036,2359,2,0,0,987
1/1/2022 0:00,AA,1685,CLT,"Charlotte, NC",NC,36,CHS,"Charleston, SC",SC,37,2240,2313,2343,2400,0,0,168
1/1/2022 0:00,AA,2129,DCA,"Washington, DC",VA,38,CHS,"Charleston, SC",SC,37,1549,1541,1734,1721,0,0,444
1/1/2022 0:00,AA,3568,MIA,"Miami, FL",FL,33,CHS,"Charleston, SC",SC,37,2223,2318,5,47,0,0,489
1/1/2022 0:00,AA,3663,DFW,"Dallas/Fort Worth, TX",TX,74,CHS,"Charleston, SC",SC,37,1535,1530,1901,1900,0,0,987
1/1/2022 0:00,AA,3961,MIA,"Miami, FL",FL,33,CHS,"Charleston, SC",SC,37,1600,1602,1743,1732,0,0,489
1/1/2022 0:00,AA,4114,DCA,"Washington, DC",VA,38,CHS,"Charleston, SC",SC,37,2059,2231,2241,20,0,0,444
1/1/2022 0:00,AA,4140,ORD,"Chicago, IL",IL,41,CHS,"Charleston, SC",SC,37,1225,1245,1540,1615,0,0,760
1/1/2022 0:00,AA,4774,CLT,"Charlotte, NC",NC,36,CHS,"Charleston, SC",SC,37,923,916,1040,1020,0,0,168
1/1/2022 0:00,AA,4873,DCA,"Washington, DC",VA,38,CHS,"Charleston, SC",SC,37,840,858,1038,1036,0,0,444
1/1/2022 0:00,AA,5081,DCA,"Washington, DC",VA,38,CHS,"Charleston, SC",SC,37,1218,1210,1409,1350,0,0,444
1/1/2022 0:00,AA,5182,PHL,"Philadelphia, PA",PA,23,CHS,"Charleston, SC",SC,37,2030,2213,2240,17,0,0,550
1/1/2022 0:00,AA,5274,CLT,"Charlotte, NC",NC,36,CHS,"Charleston, SC",SC,37,1436,1434,1546,1525,0,0,168
1/1/2022 0:00,AA,5393,DCA,"Washington, DC",VA,38,CHS,"Charleston, SC",SC,37,1344,1337,1532,1514,0,0,444
1/1/2022 0:00,AA,5636,CLT,"Charlotte, NC",NC,36,CHS,"Charleston, SC",SC,37,1105,1124,1219,1222,0,0,168
1/1/2022 0:00,AA,5641,CLT,"Charlotte, NC",NC,36,CHS,"Charleston, SC",SC,37,1625,1620,1738,1708,0,0,168
1/1/2022 0:00,AA,6055,PHL,"Philadelphia, PA",PA,23,CHS,"Charleston, SC",SC,37,824,845,1031,1108,0,0,550
1/1/2022 0:00,B6,1001,LGA,"New York, NY",NY,22,CHS,"Charleston, SC",SC,37,959,950,1221,1157,0,0,641
1/1/2022 0:00,B6,1130,FLL,"Fort Lauderdale, FL",FL,33,CHS,"Charleston, SC",SC,37,2157,,2336,,1,0,470
1/1/2022 0:00,B6,1273,JFK,"New York, NY",NY,22,CHS,"Charleston, SC",SC,37,800,753,1021,958,0,0,636
