FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,5042,PHL,"Philadelphia, PA",PA,23,DAB,"Daytona Beach, FL",FL,33,940,931,1220,1218,0,0,808
1/1/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1000,957,1138,1124,0,0,416
1/1/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1506,1458,1647,1626,0,0,416
1/1/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1800,1800,1934,1931,0,0,416
1/1/2022 0:00,AA,5791,DFW,"Dallas/Fort Worth, TX",TX,74,DAB,"Daytona Beach, FL",FL,33,1328,1322,1702,1712,0,0,981
1/1/2022 0:00,DL,2545,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1305,1302,1419,1416,0,0,366
1/1/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,955,953,1111,1110,0,0,366
1/1/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1745,1743,1902,1916,0,0,366
1/2/2022 0:00,AA,5136,PHL,"Philadelphia, PA",PA,23,DAB,"Daytona Beach, FL",FL,33,1335,1735,1608,2015,0,0,808
1/2/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1000,1051,1138,1218,0,0,416
1/2/2022 0:00,AA,5351,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,2225,2247,2359,12,0,0,416
1/2/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1506,1512,1647,1654,0,0,416
1/2/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1800,1815,1934,1957,0,0,416
1/2/2022 0:00,AA,5791,DFW,"Dallas/Fort Worth, TX",TX,74,DAB,"Daytona Beach, FL",FL,33,1328,1324,1702,1647,0,0,981
1/2/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2146,2143,2303,2300,0,0,366
1/2/2022 0:00,DL,2545,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1313,1309,1427,1435,0,0,366
1/2/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,1015,1131,1133,0,0,366
1/2/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1653,1836,1807,1956,0,0,366
1/3/2022 0:00,AA,5136,PHL,"Philadelphia, PA",PA,23,DAB,"Daytona Beach, FL",FL,33,1335,1601,1608,1846,0,0,808
1/3/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1000,1011,1138,1141,0,0,416
1/3/2022 0:00,AA,5351,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,2225,2225,2359,2349,0,0,416
1/3/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1506,1533,1647,1658,0,0,416
1/3/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1800,1905,1934,2052,0,0,416
1/3/2022 0:00,AA,5791,DFW,"Dallas/Fort Worth, TX",TX,74,DAB,"Daytona Beach, FL",FL,33,1328,1326,1702,1637,0,0,981
1/3/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2146,2158,2303,2335,0,0,366
1/3/2022 0:00,DL,2545,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1313,1312,1427,1430,0,0,366
1/3/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,,1131,,1,0,366
1/3/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1653,1716,1807,1829,0,0,366
1/4/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,941,1233,1124,1401,0,0,416
1/4/2022 0:00,AA,5479,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1448,1445,1627,1628,0,0,416
1/4/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1115,1431,1256,1548,0,0,416
1/4/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1634,1629,1814,1810,0,0,416
1/4/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2146,2326,2303,36,0,0,366
1/4/2022 0:00,DL,2545,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1313,1311,1427,1418,0,0,366
1/4/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,1025,1131,1137,0,0,366
1/4/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1653,1858,1807,2006,0,0,366
1/5/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,941,945,1124,1115,0,0,416
1/5/2022 0:00,AA,5351,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,2220,2215,2351,2333,0,0,416
1/5/2022 0:00,AA,5479,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1448,1451,1627,1633,0,0,416
1/5/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1115,1114,1256,1245,0,0,416
1/5/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1634,1625,1814,1802,0,0,416
1/5/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2121,2121,2240,2234,0,0,366
1/5/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,1015,1130,1129,0,0,366
1/5/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1510,1619,1626,1734,0,0,366
1/6/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,941,938,1124,1120,0,0,416
1/6/2022 0:00,AA,5351,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,2220,2304,2351,35,0,0,416
1/6/2022 0:00,AA,5479,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1448,1441,1627,1602,0,0,416
1/6/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1115,1130,1256,1258,0,0,416
1/6/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1634,1630,1814,1812,0,0,416
1/6/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2121,2120,2240,2231,0,0,366
1/6/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,1004,1130,1125,0,0,366
1/6/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1510,1504,1626,1633,0,0,366
1/7/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,941,935,1124,1107,0,0,416
1/7/2022 0:00,AA,5351,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,2220,2218,2351,2345,0,0,416
1/7/2022 0:00,AA,5479,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1448,1438,1627,1612,0,0,416
1/7/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1115,1110,1256,1246,0,0,416
1/7/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1634,1636,1814,1811,0,0,416
1/7/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2121,2206,2240,2318,0,0,366
1/7/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,1027,1130,1145,0,0,366
1/7/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1510,1508,1626,1639,0,0,366
1/8/2022 0:00,AA,5479,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1448,1442,1627,1607,0,0,416
1/8/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1115,1114,1256,1253,0,0,416
1/8/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1634,1637,1814,1814,0,0,416
1/8/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2121,2117,2240,2230,0,0,366
1/8/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,1122,1130,1232,0,0,366
1/8/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1510,1520,1626,1626,0,0,366
1/9/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,941,934,1124,1103,0,0,416
1/9/2022 0:00,AA,5351,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,2220,2240,2351,7,0,0,416
1/9/2022 0:00,AA,5479,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1448,1445,1627,1609,0,0,416
1/9/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1115,1106,1256,1236,0,0,416
1/9/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1634,1631,1814,1801,0,0,416
1/9/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2121,2129,2240,2241,0,0,366
1/9/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,1003,1130,1121,0,0,366
1/9/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1510,1540,1626,1651,0,0,366
1/10/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,941,935,1124,1111,0,0,416
1/10/2022 0:00,AA,5479,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1448,1441,1627,1637,0,0,416
1/10/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1115,1110,1256,1245,0,0,416
1/10/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1634,1627,1814,1819,0,0,416
1/10/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2121,2117,2240,2228,0,0,366
1/10/2022 0:00,DL,2545,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1333,1328,1449,1434,0,0,366
1/10/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,1123,1130,1238,0,0,366
1/10/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1630,1627,1747,1734,0,0,366
1/11/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,941,959,1124,1118,0,0,416
1/11/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1115,1125,1256,1257,0,0,416
1/11/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1634,1625,1814,1808,0,0,416
1/11/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2121,2117,2240,2230,0,0,366
1/11/2022 0:00,DL,2545,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1333,1328,1449,1435,0,0,366
1/11/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,1006,1130,1122,0,0,366
1/11/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1630,1627,1747,1739,0,0,366
1/12/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,941,933,1124,1103,0,0,416
1/12/2022 0:00,AA,5351,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,2220,2212,2351,2330,0,0,416
1/12/2022 0:00,AA,5479,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1448,1443,1627,1621,0,0,416
1/12/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1115,1107,1256,1239,0,0,416
1/12/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1634,1626,1814,1758,0,0,416
1/12/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2121,2117,2240,2226,0,0,366
1/12/2022 0:00,DL,2545,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1333,1323,1449,1434,0,0,366
1/12/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,1006,1130,1128,0,0,366
1/12/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1630,1628,1747,1742,0,0,366
1/13/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,941,936,1124,1126,0,0,416
1/13/2022 0:00,AA,5351,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,2220,2215,2351,2329,0,0,416
1/13/2022 0:00,AA,5479,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1448,1449,1627,1613,0,0,416
1/13/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1115,1109,1256,1317,0,0,416
1/13/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1634,1629,1814,1759,0,0,416
1/13/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2121,2119,2240,2234,0,0,366
1/13/2022 0:00,DL,2545,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1333,1328,1449,1436,0,0,366
1/13/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,1007,1130,1138,0,0,366
1/13/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1630,1629,1747,1744,0,0,366
1/14/2022 0:00,AA,5221,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,941,934,1124,1126,0,0,416
1/14/2022 0:00,AA,5351,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,2220,,2351,,1,0,416
1/14/2022 0:00,AA,5479,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1448,1446,1627,1612,0,0,416
1/14/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1115,1114,1256,1250,0,0,416
1/14/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1634,1635,1814,1814,0,0,416
1/14/2022 0:00,DL,1217,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,2121,2124,2240,2244,0,0,366
1/14/2022 0:00,DL,2545,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1333,1330,1449,1443,0,0,366
1/14/2022 0:00,DL,2939,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1010,1045,1130,1157,0,0,366
1/14/2022 0:00,DL,2955,ATL,"Atlanta, GA",GA,34,DAB,"Daytona Beach, FL",FL,33,1630,1626,1747,1734,0,0,366
1/15/2022 0:00,AA,5479,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1448,1443,1627,1620,0,0,416
1/15/2022 0:00,AA,5543,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1115,1109,1256,1243,0,0,416
1/15/2022 0:00,AA,5639,CLT,"Charlotte, NC",NC,36,DAB,"Daytona Beach, FL",FL,33,1634,1635,1814,1829,0,0,416
