FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3222,ORD,"Chicago, IL",IL,41,DAY,"Dayton, OH",OH,44,1725,,1939,,1,0,240
1/1/2022 0:00,AA,3772,DFW,"Dallas/Fort Worth, TX",TX,74,DAY,"Dayton, OH",OH,44,2037,2058,2354,11,0,0,861
1/1/2022 0:00,AA,4006,DFW,"Dallas/Fort Worth, TX",TX,74,DAY,"Dayton, OH",OH,44,1607,1607,1921,1906,0,0,861
1/1/2022 0:00,AA,4633,LGA,"New York, NY",NY,22,DAY,"Dayton, OH",OH,44,1359,1349,1606,1552,0,0,549
1/1/2022 0:00,AA,5087,CLT,"Charlotte, NC",NC,36,DAY,"Dayton, OH",OH,44,1827,1824,2005,1958,0,0,370
1/1/2022 0:00,AA,5143,DCA,"Washington, DC",VA,38,DAY,"Dayton, OH",OH,44,2100,2057,2241,2232,0,0,391
1/1/2022 0:00,AA,5161,PHL,"Philadelphia, PA",PA,23,DAY,"Dayton, OH",OH,44,1823,1819,2010,2007,0,0,477
1/1/2022 0:00,AA,5227,CLT,"Charlotte, NC",NC,36,DAY,"Dayton, OH",OH,44,1126,1114,1307,1252,0,0,370
1/1/2022 0:00,AA,5229,CLT,"Charlotte, NC",NC,36,DAY,"Dayton, OH",OH,44,1500,1456,1641,1657,0,0,370
1/1/2022 0:00,AA,5284,DCA,"Washington, DC",VA,38,DAY,"Dayton, OH",OH,44,1524,1516,1706,1704,0,0,391
1/1/2022 0:00,AA,5396,CLT,"Charlotte, NC",NC,36,DAY,"Dayton, OH",OH,44,2013,2006,2146,2133,0,0,370
1/1/2022 0:00,AA,5687,PHL,"Philadelphia, PA",PA,23,DAY,"Dayton, OH",OH,44,1945,2146,2134,13,0,0,477
1/1/2022 0:00,AA,6073,PHL,"Philadelphia, PA",PA,23,DAY,"Dayton, OH",OH,44,934,1712,1131,1916,0,0,477
1/1/2022 0:00,DL,4663,ATL,"Atlanta, GA",GA,34,DAY,"Dayton, OH",OH,44,2110,2107,2243,2232,0,0,432
1/1/2022 0:00,DL,4677,ATL,"Atlanta, GA",GA,34,DAY,"Dayton, OH",OH,44,1235,1232,1405,1353,0,0,432
1/1/2022 0:00,DL,4723,ATL,"Atlanta, GA",GA,34,DAY,"Dayton, OH",OH,44,855,851,1028,1010,0,0,432
1/1/2022 0:00,DL,5238,DTW,"Detroit, MI",MI,43,DAY,"Dayton, OH",OH,44,840,830,947,924,0,0,166
1/1/2022 0:00,UA,3796,IAD,"Washington, DC",VA,38,DAY,"Dayton, OH",OH,44,1100,1049,1241,1225,0,0,368
1/1/2022 0:00,UA,3818,IAD,"Washington, DC",VA,38,DAY,"Dayton, OH",OH,44,1716,1727,1900,1931,0,0,368
1/1/2022 0:00,UA,3840,ORD,"Chicago, IL",IL,41,DAY,"Dayton, OH",OH,44,1620,,1842,,1,0,240
1/1/2022 0:00,UA,3896,ORD,"Chicago, IL",IL,41,DAY,"Dayton, OH",OH,44,1445,,1707,,1,0,240
1/1/2022 0:00,UA,3917,ORD,"Chicago, IL",IL,41,DAY,"Dayton, OH",OH,44,1955,,2218,,1,0,240
1/1/2022 0:00,UA,3992,ORD,"Chicago, IL",IL,41,DAY,"Dayton, OH",OH,44,1755,,2022,,1,0,240
