FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1255,1308,1406,1447,0,0,147
1/1/2022 0:00,AA,3904,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1720,,1821,,1,0,147
1/2/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1255,,1406,,1,0,147
1/2/2022 0:00,AA,3904,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1720,1835,1821,1941,0,0,147
1/3/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1255,1243,1406,1334,0,0,147
1/3/2022 0:00,AA,3904,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1720,1720,1821,1822,0,0,147
1/4/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1459,1604,1549,0,0,147
1/5/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1455,1604,1546,0,0,147
1/6/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1502,1604,1552,0,0,147
1/6/2022 0:00,AA,3904,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,2010,2008,2118,2058,0,0,147
1/7/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1458,1604,1555,0,0,147
1/7/2022 0:00,AA,3904,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,2010,2007,2118,2112,0,0,147
1/8/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1704,1604,1905,0,0,147
1/9/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1457,1604,1548,0,0,147
1/9/2022 0:00,AA,3904,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,2010,2010,2118,2112,0,0,147
1/10/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1456,1604,1542,0,0,147
1/11/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1455,1604,1545,0,0,147
1/12/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1453,1604,1537,0,0,147
1/13/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1516,1604,1616,0,0,147
1/13/2022 0:00,AA,3904,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,2010,2001,2118,2054,0,0,147
1/14/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1454,1604,1547,0,0,147
1/14/2022 0:00,AA,3904,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,2010,2024,2118,2146,0,0,147
1/15/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1455,1604,1544,0,0,147
1/16/2022 0:00,AA,3657,ORD,"Chicago, IL",IL,41,DBQ,"Dubuque, IA",IA,61,1500,1457,1604,1548,0,0,147
