FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1177,DFW,"Dallas/Fort Worth, TX",TX,74,DCA,"Washington, DC",VA,38,835,828,1221,1203,0,0,1192
1/1/2022 0:00,AA,1360,DFW,"Dallas/Fort Worth, TX",TX,74,DCA,"Washington, DC",VA,38,2037,2035,23,7,0,0,1192
1/1/2022 0:00,AA,1367,MSY,"New Orleans, LA",LA,72,DCA,"Washington, DC",VA,38,1735,1738,2059,2046,0,0,969
1/1/2022 0:00,AA,1426,BOS,"Boston, MA",MA,13,DCA,"Washington, DC",VA,38,1800,1803,1947,1948,0,0,399
1/1/2022 0:00,AA,1428,DFW,"Dallas/Fort Worth, TX",TX,74,DCA,"Washington, DC",VA,38,1223,1219,1611,1555,0,0,1192
1/1/2022 0:00,AA,1486,ORD,"Chicago, IL",IL,41,DCA,"Washington, DC",VA,38,2012,,2301,,1,0,612
1/1/2022 0:00,AA,1518,TPA,"Tampa, FL",FL,33,DCA,"Washington, DC",VA,38,1529,1533,1741,1737,0,0,814
1/1/2022 0:00,AA,1554,MIA,"Miami, FL",FL,33,DCA,"Washington, DC",VA,38,1530,1527,1804,1752,0,0,919
1/1/2022 0:00,AA,1607,BOS,"Boston, MA",MA,13,DCA,"Washington, DC",VA,38,1100,1053,1246,1235,0,0,399
1/1/2022 0:00,AA,1609,ORD,"Chicago, IL",IL,41,DCA,"Washington, DC",VA,38,604,601,851,844,0,0,612
1/1/2022 0:00,AA,1634,PHX,"Phoenix, AZ",AZ,81,DCA,"Washington, DC",VA,38,1418,1413,2030,1952,0,0,1979
1/1/2022 0:00,AA,1666,MCO,"Orlando, FL",FL,33,DCA,"Washington, DC",VA,38,1154,1154,1359,1349,0,0,759
1/1/2022 0:00,AA,1715,RSW,"Fort Myers, FL",FL,33,DCA,"Washington, DC",VA,38,1215,1208,1436,1427,0,0,892
1/1/2022 0:00,AA,1721,MCO,"Orlando, FL",FL,33,DCA,"Washington, DC",VA,38,1853,1848,2059,2043,0,0,759
1/1/2022 0:00,AA,1775,LAX,"Los Angeles, CA",CA,91,DCA,"Washington, DC",VA,38,904,905,1656,1644,0,0,2311
1/1/2022 0:00,AA,1804,PBI,"West Palm Beach/Palm Beach, FL",FL,33,DCA,"Washington, DC",VA,38,1031,1024,1245,1229,0,0,857
1/1/2022 0:00,AA,1807,DFW,"Dallas/Fort Worth, TX",TX,74,DCA,"Washington, DC",VA,38,1040,,1434,,1,0,1192
1/1/2022 0:00,AA,1855,CLT,"Charlotte, NC",NC,36,DCA,"Washington, DC",VA,38,1815,1839,1935,1951,0,0,331
1/1/2022 0:00,AA,1985,MIA,"Miami, FL",FL,33,DCA,"Washington, DC",VA,38,1831,1829,2059,2109,0,0,919
1/1/2022 0:00,AA,2019,TPA,"Tampa, FL",FL,33,DCA,"Washington, DC",VA,38,1321,1332,1532,1529,0,0,814
1/1/2022 0:00,AA,2037,MIA,"Miami, FL",FL,33,DCA,"Washington, DC",VA,38,1731,1736,1959,1957,0,0,919
1/1/2022 0:00,AA,2117,ORD,"Chicago, IL",IL,41,DCA,"Washington, DC",VA,38,714,710,1001,946,0,0,612
1/1/2022 0:00,AA,2119,LGA,"New York, NY",NY,22,DCA,"Washington, DC",VA,38,1430,1426,1549,1527,0,0,214
1/1/2022 0:00,AA,2125,LGA,"New York, NY",NY,22,DCA,"Washington, DC",VA,38,700,652,818,758,0,0,214
1/1/2022 0:00,AA,2129,CHS,"Charleston, SC",SC,37,DCA,"Washington, DC",VA,38,1815,1803,1956,1924,0,0,444
1/1/2022 0:00,AA,2133,LGA,"New York, NY",NY,22,DCA,"Washington, DC",VA,38,1900,1913,2017,2021,0,0,214
1/1/2022 0:00,AA,2134,BOS,"Boston, MA",MA,13,DCA,"Washington, DC",VA,38,1300,1323,1446,1456,0,0,399
1/1/2022 0:00,AA,2142,BOS,"Boston, MA",MA,13,DCA,"Washington, DC",VA,38,1530,1525,1716,1659,0,0,399
1/1/2022 0:00,AA,2144,LGA,"New York, NY",NY,22,DCA,"Washington, DC",VA,38,1600,1559,1718,1704,0,0,214
1/1/2022 0:00,AA,2159,BOS,"Boston, MA",MA,13,DCA,"Washington, DC",VA,38,600,558,751,733,0,0,399
1/1/2022 0:00,AA,2348,LAS,"Las Vegas, NV",NV,85,DCA,"Washington, DC",VA,38,1400,1358,2125,2110,0,0,2089
1/1/2022 0:00,AA,2362,MIA,"Miami, FL",FL,33,DCA,"Washington, DC",VA,38,2122,2119,2359,2350,0,0,919
1/1/2022 0:00,AA,2499,ORD,"Chicago, IL",IL,41,DCA,"Washington, DC",VA,38,1754,1946,2049,2237,0,0,612
1/1/2022 0:00,AA,2503,MCO,"Orlando, FL",FL,33,DCA,"Washington, DC",VA,38,1807,1810,2013,2011,0,0,759
1/1/2022 0:00,AA,2509,MCO,"Orlando, FL",FL,33,DCA,"Washington, DC",VA,38,1525,1523,1733,1734,0,0,759
1/1/2022 0:00,AA,2526,MCO,"Orlando, FL",FL,33,DCA,"Washington, DC",VA,38,701,655,909,902,0,0,759
1/1/2022 0:00,AA,2532,LAX,"Los Angeles, CA",CA,91,DCA,"Washington, DC",VA,38,1336,1332,2126,2109,0,0,2311
1/1/2022 0:00,AA,2738,PBI,"West Palm Beach/Palm Beach, FL",FL,33,DCA,"Washington, DC",VA,38,1238,1237,1457,1453,0,0,857
1/1/2022 0:00,AA,2745,SRQ,"Sarasota/Bradenton, FL",FL,33,DCA,"Washington, DC",VA,38,1200,1157,1414,1410,0,0,851
1/1/2022 0:00,AA,2752,DFW,"Dallas/Fort Worth, TX",TX,74,DCA,"Washington, DC",VA,38,1912,1910,2259,2245,0,0,1192
1/1/2022 0:00,AA,2825,CLT,"Charlotte, NC",NC,36,DCA,"Washington, DC",VA,38,920,914,1044,1017,0,0,331
1/1/2022 0:00,AA,2837,JAX,"Jacksonville, FL",FL,33,DCA,"Washington, DC",VA,38,643,634,832,813,0,0,634
1/1/2022 0:00,AA,2878,MIA,"Miami, FL",FL,33,DCA,"Washington, DC",VA,38,829,,1059,,1,0,919
1/1/2022 0:00,AA,2903,ORD,"Chicago, IL",IL,41,DCA,"Washington, DC",VA,38,906,,1159,,1,0,612
1/1/2022 0:00,AA,2907,DFW,"Dallas/Fort Worth, TX",TX,74,DCA,"Washington, DC",VA,38,1515,1512,1859,1903,0,0,1192
1/1/2022 0:00,AA,2916,RSW,"Fort Myers, FL",FL,33,DCA,"Washington, DC",VA,38,1039,1033,1259,1252,0,0,892
1/1/2022 0:00,AA,304,ORD,"Chicago, IL",IL,41,DCA,"Washington, DC",VA,38,1051,1050,1349,1340,0,0,612
1/1/2022 0:00,AA,3507,CVG,"Cincinnati, OH",KY,52,DCA,"Washington, DC",VA,38,1236,1243,1359,1356,0,0,411
1/1/2022 0:00,AA,3540,SRQ,"Sarasota/Bradenton, FL",FL,33,DCA,"Washington, DC",VA,38,1742,1859,1959,2107,0,0,851
1/1/2022 0:00,AA,360,BNA,"Nashville, TN",TN,54,DCA,"Washington, DC",VA,38,633,623,915,910,0,0,562
1/1/2022 0:00,AA,3790,JAX,"Jacksonville, FL",FL,33,DCA,"Washington, DC",VA,38,1110,1058,1259,1236,0,0,634
1/1/2022 0:00,AA,391,MIA,"Miami, FL",FL,33,DCA,"Washington, DC",VA,38,1026,1029,1259,1252,0,0,919
1/1/2022 0:00,AA,4026,CVG,"Cincinnati, OH",KY,52,DCA,"Washington, DC",VA,38,621,618,749,739,0,0,411
