FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,4833,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1149,1144,1148,1130,0,0,170
1/1/2022 0:00,DL,5061,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1914,1919,1913,1916,0,0,170
1/2/2022 0:00,DL,4833,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1149,1145,1149,1136,0,0,170
1/2/2022 0:00,DL,5061,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1914,1944,1914,2023,0,0,170
1/2/2022 0:00,DL,5368,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1525,1557,1526,1556,0,0,170
1/3/2022 0:00,DL,4833,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1149,1335,1149,1356,0,0,170
1/3/2022 0:00,DL,5061,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1914,1909,1914,1903,0,0,170
1/3/2022 0:00,DL,5368,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1525,1549,1526,1546,0,0,170
1/4/2022 0:00,DL,4833,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1149,1234,1149,1228,0,0,170
1/4/2022 0:00,DL,5061,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1914,1911,1914,1901,0,0,170
1/4/2022 0:00,DL,5368,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1525,1522,1526,1526,0,0,170
