FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,3716,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,2135,2135,2237,2217,0,0,144
1/1/2022 0:00,DL,4490,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1530,1530,1637,1627,0,0,144
1/1/2022 0:00,DL,5255,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,854,858,1007,957,0,0,144
1/1/2022 0:00,UA,3592,ORD,"Chicago, IL",IL,41,DLH,"Duluth, MN",MN,63,2000,,2148,,1,0,397
1/1/2022 0:00,UA,3660,ORD,"Chicago, IL",IL,41,DLH,"Duluth, MN",MN,63,1245,,1432,,1,0,397
1/2/2022 0:00,DL,3705,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,2246,2320,2353,36,0,0,144
1/2/2022 0:00,DL,4047,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1817,1817,1933,1910,0,0,144
1/2/2022 0:00,DL,4490,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1535,1620,1643,1704,0,0,144
1/2/2022 0:00,DL,4721,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1245,1240,1352,1352,0,0,144
1/2/2022 0:00,DL,5255,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,851,921,1005,1008,0,0,144
1/2/2022 0:00,UA,3592,ORD,"Chicago, IL",IL,41,DLH,"Duluth, MN",MN,63,2000,2013,2148,2155,0,0,397
1/2/2022 0:00,UA,3660,ORD,"Chicago, IL",IL,41,DLH,"Duluth, MN",MN,63,1245,,1432,,1,0,397
1/3/2022 0:00,DL,3705,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,2246,,2353,,1,0,144
1/3/2022 0:00,DL,4047,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1817,1913,1933,2020,0,0,144
1/3/2022 0:00,DL,4490,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1535,1601,1643,1642,0,0,144
1/3/2022 0:00,DL,4721,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1245,1242,1352,1327,0,0,144
1/3/2022 0:00,DL,5255,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,851,948,1005,1041,0,0,144
1/3/2022 0:00,UA,5375,ORD,"Chicago, IL",IL,41,DLH,"Duluth, MN",MN,63,1250,1402,1437,1542,0,0,397
1/3/2022 0:00,UA,5502,ORD,"Chicago, IL",IL,41,DLH,"Duluth, MN",MN,63,2000,1955,2148,2129,0,0,397
1/4/2022 0:00,DL,3682,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,2246,2258,2353,9,0,0,144
1/4/2022 0:00,DL,4047,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1817,,1933,,1,0,144
1/4/2022 0:00,DL,4490,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1535,1533,1643,1612,0,0,144
1/4/2022 0:00,DL,4721,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1245,1241,1352,1330,0,0,144
1/4/2022 0:00,DL,5255,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,851,1043,1005,1138,0,0,144
1/4/2022 0:00,UA,3774,ORD,"Chicago, IL",IL,41,DLH,"Duluth, MN",MN,63,2000,1954,2148,2120,0,0,397
1/4/2022 0:00,UA,3943,ORD,"Chicago, IL",IL,41,DLH,"Duluth, MN",MN,63,925,920,1113,1049,0,0,397
1/5/2022 0:00,DL,3884,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1258,1437,1406,1546,0,0,144
1/5/2022 0:00,DL,3905,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,2245,2251,2,6,0,0,144
1/5/2022 0:00,DL,3946,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,900,931,1009,1102,0,0,144
1/5/2022 0:00,UA,3774,ORD,"Chicago, IL",IL,41,DLH,"Duluth, MN",MN,63,2000,1952,2148,2106,0,0,397
1/5/2022 0:00,UA,3943,ORD,"Chicago, IL",IL,41,DLH,"Duluth, MN",MN,63,925,923,1113,1209,0,0,397
1/6/2022 0:00,DL,3884,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1258,1435,1405,1523,0,0,144
1/6/2022 0:00,DL,3905,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,2245,2245,2,8,0,0,144
1/6/2022 0:00,DL,3946,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,900,906,1009,949,0,0,144
1/6/2022 0:00,DL,4175,MSP,"Minneapolis, MN",MN,63,DLH,"Duluth, MN",MN,63,1530,1530,1632,1618,0,0,144
1/6/2022 0:00,UA,3774,ORD,"Chicago, IL",IL,41,DLH,"Duluth, MN",MN,63,2000,2004,2148,2209,0,0,397
1/6/2022 0:00,UA,3943,ORD,"Chicago, IL",IL,41,DLH,"Duluth, MN",MN,63,925,915,1113,1140,0,0,397
