FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1525,DFW,"Dallas/Fort Worth, TX",TX,74,ELP,"El Paso, TX",TX,74,1912,1910,1959,2020,0,0,551
1/1/2022 0:00,AA,2103,DFW,"Dallas/Fort Worth, TX",TX,74,ELP,"El Paso, TX",TX,74,1716,1824,1800,1916,0,0,551
1/1/2022 0:00,AA,2385,DFW,"Dallas/Fort Worth, TX",TX,74,ELP,"El Paso, TX",TX,74,1015,1030,1059,1133,0,0,551
1/1/2022 0:00,AA,2999,LAX,"Los Angeles, CA",CA,91,ELP,"El Paso, TX",TX,74,1451,1447,1756,1734,0,0,715
1/1/2022 0:00,AA,3027,AUS,"Austin, TX",TX,74,ELP,"El Paso, TX",TX,74,2030,2135,2112,2219,0,0,528
1/1/2022 0:00,AA,3258,LAX,"Los Angeles, CA",CA,91,ELP,"El Paso, TX",TX,74,2030,2102,2335,2346,0,0,715
1/1/2022 0:00,AA,3785,AUS,"Austin, TX",TX,74,ELP,"El Paso, TX",TX,74,1345,1337,1427,1421,0,0,528
1/1/2022 0:00,AA,3900,DFW,"Dallas/Fort Worth, TX",TX,74,ELP,"El Paso, TX",TX,74,1357,1356,1446,1457,0,0,551
1/1/2022 0:00,AA,3931,ORD,"Chicago, IL",IL,41,ELP,"El Paso, TX",TX,74,910,929,1145,1223,0,0,1236
1/1/2022 0:00,AA,5778,PHX,"Phoenix, AZ",AZ,81,ELP,"El Paso, TX",TX,74,1336,1328,1454,1437,0,0,347
1/1/2022 0:00,AA,5815,PHX,"Phoenix, AZ",AZ,81,ELP,"El Paso, TX",TX,74,1626,1625,1743,1736,0,0,347
1/1/2022 0:00,AA,5857,PHX,"Phoenix, AZ",AZ,81,ELP,"El Paso, TX",TX,74,2035,2033,2153,2144,0,0,347
1/1/2022 0:00,AA,5860,DFW,"Dallas/Fort Worth, TX",TX,74,ELP,"El Paso, TX",TX,74,1529,1534,1616,1647,0,0,551
