FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1825,1817,2010,1957,0,0,476
1/1/2022 0:00,AA,5650,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1316,1309,1502,1452,0,0,476
1/1/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,1735,1822,1902,1944,0,0,259
1/1/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1400,,1634,,1,0,398
1/1/2022 0:00,UA,3906,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1800,,2040,,1,0,398
1/2/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2254,2248,41,25,0,0,476
1/2/2022 0:00,AA,5650,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1316,1347,1502,1527,0,0,476
1/2/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,1735,1732,1902,1844,0,0,259
1/2/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1400,1431,1634,1659,0,0,398
1/2/2022 0:00,UA,3906,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1800,1758,2040,2020,0,0,398
1/3/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2254,2345,41,129,0,0,476
1/3/2022 0:00,AA,5650,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1316,1418,1502,1610,0,0,476
1/3/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1400,1409,1634,1635,0,0,398
1/4/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2015,2010,2158,2155,0,0,476
1/4/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1307,1259,1451,1444,0,0,476
1/4/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,2200,2322,2311,0,0,259
1/4/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,1359,1624,1623,0,0,398
1/5/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2255,2250,46,39,0,0,476
1/5/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1307,1323,1451,1451,0,0,476
1/5/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,2155,2322,2310,0,0,259
1/5/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,1346,1624,1646,0,0,398
1/6/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2255,2301,46,30,0,0,476
1/6/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1307,1301,1451,1438,0,0,476
1/6/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,2157,2322,2309,0,0,259
1/6/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,1353,1624,1618,0,0,398
1/7/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2255,2308,46,45,0,0,476
1/7/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1307,1305,1451,1455,0,0,476
1/7/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,2200,2322,2315,0,0,259
1/7/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,1444,1624,1739,0,0,398
1/8/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2015,2032,2158,2216,0,0,476
1/8/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1312,1307,1457,1440,0,0,476
1/8/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,,2322,,1,0,259
1/8/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,1358,1624,1610,0,0,398
1/9/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2255,,46,,1,0,476
1/9/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1307,1308,1451,1441,0,0,476
1/9/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,2208,2322,2336,0,0,259
1/9/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,1944,1624,2201,0,0,398
1/10/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2015,2011,2158,2208,0,0,476
1/10/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1307,1303,1451,1610,0,0,476
1/10/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,,2322,,1,0,259
1/10/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,1353,1624,1619,0,0,398
1/11/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2015,2013,2158,2201,0,0,476
1/11/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1307,1300,1451,1436,0,0,476
1/11/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,,2322,,1,0,259
1/11/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,1401,1624,1613,0,0,398
1/12/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2255,2246,46,34,0,0,476
1/12/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1307,1307,1451,1447,0,0,476
1/12/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,2157,2322,2315,0,0,259
1/12/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,1341,1624,1603,0,0,398
1/13/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2255,2243,46,27,0,0,476
1/13/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1307,1304,1451,1435,0,0,476
1/13/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,2159,2322,2324,0,0,259
1/13/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,1343,1624,1558,0,0,398
1/14/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2255,2251,46,27,0,0,476
1/14/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1307,1344,1451,1525,0,0,476
1/14/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,2151,2322,2255,0,0,259
1/14/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,1343,1624,1601,0,0,398
1/15/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2015,2011,2158,2149,0,0,476
1/15/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1312,1305,1457,1433,0,0,476
1/15/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,2256,2322,25,0,0,259
1/15/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,1704,1624,1927,0,0,398
1/16/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2255,,46,,1,0,476
1/16/2022 0:00,AA,5715,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,1307,,1451,,1,0,476
1/16/2022 0:00,UA,3772,IAD,"Washington, DC",VA,38,ERI,"Erie, PA",PA,23,2204,,2322,,1,0,259
1/16/2022 0:00,UA,3807,ORD,"Chicago, IL",IL,41,ERI,"Erie, PA",PA,23,1350,,1624,,1,0,398
1/17/2022 0:00,AA,5060,CLT,"Charlotte, NC",NC,36,ERI,"Erie, PA",PA,23,2015,,2158,,1,0,476
