FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,5075,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1821,1815,1922,1906,0,0,118
1/1/2022 0:00,AA,5557,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1635,1639,1738,1725,0,0,118
1/1/2022 0:00,AA,5979,DFW,"Dallas/Fort Worth, TX",TX,74,FAY,"Fayetteville, NC",NC,36,1900,2005,2239,2348,0,0,1051
1/1/2022 0:00,AA,6151,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,925,917,1035,1016,0,0,118
1/1/2022 0:00,AA,6152,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1301,1335,1404,1420,0,0,118
1/1/2022 0:00,DL,2671,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1147,1143,1257,1245,0,0,331
1/1/2022 0:00,DL,2844,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1755,1753,1907,1900,0,0,331
1/2/2022 0:00,AA,5075,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1829,1858,1930,1950,0,0,118
1/2/2022 0:00,AA,5557,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1635,1644,1738,1730,0,0,118
1/2/2022 0:00,AA,5688,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,2302,251,3,337,0,0,118
1/2/2022 0:00,AA,5979,DFW,"Dallas/Fort Worth, TX",TX,74,FAY,"Fayetteville, NC",NC,36,1900,2112,2239,56,0,0,1051
1/2/2022 0:00,AA,6151,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,925,920,1035,1021,0,0,118
1/2/2022 0:00,AA,6152,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1301,1337,1404,1441,0,0,118
1/2/2022 0:00,DL,2671,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1147,1216,1258,1321,0,0,331
1/2/2022 0:00,DL,2844,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1759,1756,1912,1901,0,0,331
1/3/2022 0:00,AA,5075,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1829,1832,1930,1918,0,0,118
1/3/2022 0:00,AA,5557,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1635,,1738,,1,0,118
1/3/2022 0:00,AA,5688,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,2302,2347,3,41,0,0,118
1/3/2022 0:00,AA,5979,DFW,"Dallas/Fort Worth, TX",TX,74,FAY,"Fayetteville, NC",NC,36,1900,1912,2239,2247,0,0,1051
1/3/2022 0:00,AA,6151,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,925,931,1035,1045,0,0,118
1/3/2022 0:00,AA,6152,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1301,1252,1404,1404,0,0,118
1/3/2022 0:00,DL,2671,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1147,1229,1258,1334,0,0,331
1/3/2022 0:00,DL,2844,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1759,1804,1912,1914,0,0,331
1/4/2022 0:00,AA,5210,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1635,1824,1736,1917,0,0,118
1/4/2022 0:00,AA,5301,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1305,1304,1405,1403,0,0,118
1/4/2022 0:00,AA,5932,DFW,"Dallas/Fort Worth, TX",TX,74,FAY,"Fayetteville, NC",NC,36,1900,1929,2236,2252,0,0,1051
1/4/2022 0:00,AA,6151,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,929,919,1040,1017,0,0,118
1/4/2022 0:00,DL,2671,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1147,1147,1258,1252,0,0,331
1/4/2022 0:00,DL,5134,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1759,1758,1912,1904,0,0,331
1/5/2022 0:00,AA,5210,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1823,1823,1927,1925,0,0,118
1/5/2022 0:00,AA,5301,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1305,1301,1405,1347,0,0,118
1/5/2022 0:00,AA,5688,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,2252,2247,2359,2335,0,0,118
1/5/2022 0:00,AA,5932,DFW,"Dallas/Fort Worth, TX",TX,74,FAY,"Fayetteville, NC",NC,36,1900,1902,2236,2243,0,0,1051
1/5/2022 0:00,AA,6151,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,920,932,1029,1027,0,0,118
1/5/2022 0:00,AA,6156,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1105,1100,1209,1156,0,0,118
1/5/2022 0:00,DL,5134,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,2112,2109,2225,2218,0,0,331
1/5/2022 0:00,DL,5298,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1515,1510,1622,1622,0,0,331
1/5/2022 0:00,DL,5385,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1005,1000,1126,1112,0,0,331
1/6/2022 0:00,AA,5210,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1823,1827,1927,1921,0,0,118
1/6/2022 0:00,AA,5301,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1305,1301,1405,1345,0,0,118
1/6/2022 0:00,AA,5688,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,2252,2241,2359,2331,0,0,118
1/6/2022 0:00,AA,5932,DFW,"Dallas/Fort Worth, TX",TX,74,FAY,"Fayetteville, NC",NC,36,1900,1948,2236,2309,0,0,1051
1/6/2022 0:00,AA,6151,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,929,933,1040,1034,0,0,118
1/6/2022 0:00,AA,6156,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,733,730,831,819,0,0,118
1/6/2022 0:00,DL,5134,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,2112,2111,2225,2220,0,0,331
1/6/2022 0:00,DL,5298,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1515,1512,1622,1623,0,0,331
1/6/2022 0:00,DL,5385,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1005,1002,1126,1112,0,0,331
1/7/2022 0:00,AA,5210,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1823,1823,1927,1927,0,0,118
1/7/2022 0:00,AA,5301,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1305,1300,1405,1358,0,0,118
1/7/2022 0:00,AA,5688,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,2252,2314,2359,2356,0,0,118
1/7/2022 0:00,AA,5932,DFW,"Dallas/Fort Worth, TX",TX,74,FAY,"Fayetteville, NC",NC,36,1900,1857,2236,2224,0,0,1051
1/7/2022 0:00,AA,6151,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,929,921,1040,1021,0,0,118
1/7/2022 0:00,AA,6156,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,733,742,831,836,0,0,118
1/7/2022 0:00,DL,5134,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,2112,2141,2225,2247,0,0,331
1/7/2022 0:00,DL,5298,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1515,1512,1622,1621,0,0,331
1/7/2022 0:00,DL,5385,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1005,1004,1126,1111,0,0,331
1/8/2022 0:00,AA,5210,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1635,1635,1736,1739,0,0,118
1/8/2022 0:00,AA,5301,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1305,1327,1405,1413,0,0,118
1/8/2022 0:00,AA,5932,DFW,"Dallas/Fort Worth, TX",TX,74,FAY,"Fayetteville, NC",NC,36,1900,1853,2236,2306,0,0,1051
1/8/2022 0:00,AA,6151,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,929,920,1040,1021,0,0,118
1/8/2022 0:00,DL,5134,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,2112,2111,2225,2212,0,0,331
1/8/2022 0:00,DL,5385,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1005,1003,1126,1115,0,0,331
1/9/2022 0:00,AA,5210,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1823,1825,1927,1951,0,0,118
1/9/2022 0:00,AA,5301,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1305,1413,1405,1455,0,0,118
1/9/2022 0:00,AA,5688,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,2252,2252,2359,2342,0,0,118
1/9/2022 0:00,AA,5932,DFW,"Dallas/Fort Worth, TX",TX,74,FAY,"Fayetteville, NC",NC,36,1900,1852,2236,2217,0,0,1051
1/9/2022 0:00,AA,6151,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,920,914,1029,1002,0,0,118
1/9/2022 0:00,AA,6156,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1105,1100,1209,1214,0,0,118
1/9/2022 0:00,DL,5134,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,2112,2110,2225,2221,0,0,331
1/9/2022 0:00,DL,5298,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1515,1513,1622,1618,0,0,331
1/9/2022 0:00,DL,5385,ATL,"Atlanta, GA",GA,34,FAY,"Fayetteville, NC",NC,36,1005,1001,1126,1110,0,0,331
1/10/2022 0:00,AA,5210,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1823,1822,1927,1931,0,0,118
1/10/2022 0:00,AA,5301,CLT,"Charlotte, NC",NC,36,FAY,"Fayetteville, NC",NC,36,1305,1300,1405,1358,0,0,118
