FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AS,2270,SEA,"Seattle, WA",WA,93,FCA,"Kalispell, MT",MT,84,1021,1017,1250,1237,0,0,379
1/1/2022 0:00,AS,2284,SEA,"Seattle, WA",WA,93,FCA,"Kalispell, MT",MT,84,2125,2120,2350,2338,0,0,379
1/1/2022 0:00,DL,1671,MSP,"Minneapolis, MN",MN,63,FCA,"Kalispell, MT",MT,84,2125,2144,2325,2339,0,0,1026
1/1/2022 0:00,DL,3504,MSP,"Minneapolis, MN",MN,63,FCA,"Kalispell, MT",MT,84,1140,1150,1354,1345,0,0,1026
1/1/2022 0:00,DL,3578,SLC,"Salt Lake City, UT",UT,87,FCA,"Kalispell, MT",MT,84,933,941,1148,1127,0,0,531
1/1/2022 0:00,DL,3910,SLC,"Salt Lake City, UT",UT,87,FCA,"Kalispell, MT",MT,84,2118,2132,2315,2318,0,0,531
1/1/2022 0:00,UA,309,DEN,"Denver, CO",CO,82,FCA,"Kalispell, MT",MT,84,1115,1202,1335,1446,0,0,752
1/1/2022 0:00,UA,5768,ORD,"Chicago, IL",IL,41,FCA,"Kalispell, MT",MT,84,850,,1159,,1,0,1352
1/1/2022 0:00,UA,696,DEN,"Denver, CO",CO,82,FCA,"Kalispell, MT",MT,84,1920,2303,2141,116,0,0,752
1/2/2022 0:00,AS,2270,SEA,"Seattle, WA",WA,93,FCA,"Kalispell, MT",MT,84,1021,1016,1250,1233,0,0,379
1/2/2022 0:00,AS,2284,SEA,"Seattle, WA",WA,93,FCA,"Kalispell, MT",MT,84,2125,2124,2350,2350,0,0,379
1/2/2022 0:00,DL,1671,MSP,"Minneapolis, MN",MN,63,FCA,"Kalispell, MT",MT,84,2125,2238,2326,52,0,0,1026
1/2/2022 0:00,DL,3504,MSP,"Minneapolis, MN",MN,63,FCA,"Kalispell, MT",MT,84,1140,,1357,,1,0,1026
1/2/2022 0:00,DL,3578,SLC,"Salt Lake City, UT",UT,87,FCA,"Kalispell, MT",MT,84,933,931,1148,1117,0,0,531
1/2/2022 0:00,DL,3822,SLC,"Salt Lake City, UT",UT,87,FCA,"Kalispell, MT",MT,84,1525,1521,1722,1713,0,0,531
1/2/2022 0:00,DL,3894,SLC,"Salt Lake City, UT",UT,87,FCA,"Kalispell, MT",MT,84,2240,2259,47,36,0,0,531
1/2/2022 0:00,G4,184,LAS,"Las Vegas, NV",NV,85,FCA,"Kalispell, MT",MT,84,620,610,941,940,0,0,845
1/2/2022 0:00,UA,309,DEN,"Denver, CO",CO,82,FCA,"Kalispell, MT",MT,84,1115,1237,1335,1444,0,0,752
1/2/2022 0:00,UA,5628,DEN,"Denver, CO",CO,82,FCA,"Kalispell, MT",MT,84,805,,1038,,1,0,752
1/2/2022 0:00,UA,5661,SFO,"San Francisco, CA",CA,91,FCA,"Kalispell, MT",MT,84,1125,,1442,,1,0,844
1/2/2022 0:00,UA,5768,ORD,"Chicago, IL",IL,41,FCA,"Kalispell, MT",MT,84,850,,1159,,1,0,1352
1/2/2022 0:00,UA,696,DEN,"Denver, CO",CO,82,FCA,"Kalispell, MT",MT,84,1915,2106,2136,2316,0,0,752
1/3/2022 0:00,AS,2270,SEA,"Seattle, WA",WA,93,FCA,"Kalispell, MT",MT,84,1021,1056,1250,1318,0,0,379
1/3/2022 0:00,AS,2284,SEA,"Seattle, WA",WA,93,FCA,"Kalispell, MT",MT,84,2125,,2350,,1,0,379
1/3/2022 0:00,DL,1671,MSP,"Minneapolis, MN",MN,63,FCA,"Kalispell, MT",MT,84,2125,2136,2326,2343,0,0,1026
1/3/2022 0:00,DL,3504,MSP,"Minneapolis, MN",MN,63,FCA,"Kalispell, MT",MT,84,1140,,1357,,1,0,1026
1/3/2022 0:00,DL,3578,SLC,"Salt Lake City, UT",UT,87,FCA,"Kalispell, MT",MT,84,933,,1148,,1,0,531
1/3/2022 0:00,DL,3822,SLC,"Salt Lake City, UT",UT,87,FCA,"Kalispell, MT",MT,84,1525,1645,1722,1820,0,0,531
1/3/2022 0:00,DL,3894,SLC,"Salt Lake City, UT",UT,87,FCA,"Kalispell, MT",MT,84,2240,2238,47,11,0,0,531
