FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3043,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,2025,2022,2120,2110,0,0,119
1/1/2022 0:00,AA,3202,DFW,"Dallas/Fort Worth, TX",TX,74,FLG,"Flagstaff, AZ",AZ,81,1239,1236,1439,1418,0,0,853
1/1/2022 0:00,AA,3249,DFW,"Dallas/Fort Worth, TX",TX,74,FLG,"Flagstaff, AZ",AZ,81,1015,1114,1212,1249,0,0,853
1/1/2022 0:00,AA,3263,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,1615,1606,1711,1702,0,0,119
1/1/2022 0:00,UA,4232,DEN,"Denver, CO",CO,82,FLG,"Flagstaff, AZ",AZ,81,1155,,1343,,1,0,503
1/2/2022 0:00,AA,3007,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,925,920,1021,1009,0,0,119
1/2/2022 0:00,AA,3043,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,2025,,2120,,1,0,119
1/2/2022 0:00,AA,3202,DFW,"Dallas/Fort Worth, TX",TX,74,FLG,"Flagstaff, AZ",AZ,81,1239,1235,1439,1402,0,0,853
1/2/2022 0:00,AA,3249,DFW,"Dallas/Fort Worth, TX",TX,74,FLG,"Flagstaff, AZ",AZ,81,1015,1010,1212,1133,0,0,853
1/2/2022 0:00,AA,3263,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,1615,1609,1711,1654,0,0,119
1/2/2022 0:00,UA,4232,DEN,"Denver, CO",CO,82,FLG,"Flagstaff, AZ",AZ,81,1155,1211,1343,1346,0,0,503
1/3/2022 0:00,AA,3007,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,925,920,1021,1003,0,0,119
1/3/2022 0:00,AA,3043,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,2025,2019,2120,2104,0,0,119
1/3/2022 0:00,AA,3202,DFW,"Dallas/Fort Worth, TX",TX,74,FLG,"Flagstaff, AZ",AZ,81,1239,1232,1439,1428,0,0,853
1/3/2022 0:00,AA,3249,DFW,"Dallas/Fort Worth, TX",TX,74,FLG,"Flagstaff, AZ",AZ,81,1015,1214,1212,1348,0,0,853
1/3/2022 0:00,AA,3263,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,1615,1629,1711,1715,0,0,119
1/3/2022 0:00,UA,4232,DEN,"Denver, CO",CO,82,FLG,"Flagstaff, AZ",AZ,81,1155,,1343,,1,0,503
1/4/2022 0:00,AA,3007,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,945,938,1037,1025,0,0,119
1/4/2022 0:00,AA,3129,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,1306,1301,1400,1403,0,0,119
1/4/2022 0:00,AA,3165,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,1811,,1903,,1,0,119
1/4/2022 0:00,AA,3249,DFW,"Dallas/Fort Worth, TX",TX,74,FLG,"Flagstaff, AZ",AZ,81,1015,1012,1208,1144,0,0,853
1/4/2022 0:00,UA,4333,DEN,"Denver, CO",CO,82,FLG,"Flagstaff, AZ",AZ,81,1915,,2107,,1,0,503
1/5/2022 0:00,AA,3007,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,945,936,1037,1027,0,0,119
1/5/2022 0:00,AA,3129,PHX,"Phoenix, AZ",AZ,81,FLG,"Flagstaff, AZ",AZ,81,1306,1300,1400,1348,0,0,119
