FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1004,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,1830,937,2239,1349,0,0,1182
1/1/2022 0:00,AA,1390,DFW,"Dallas/Fort Worth, TX",TX,74,FLL,"Fort Lauderdale, FL",FL,33,1045,1047,1439,1443,0,0,1119
1/1/2022 0:00,AA,1552,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,1315,1328,1717,1801,0,0,1182
1/1/2022 0:00,AA,1562,BOS,"Boston, MA",MA,13,FLL,"Fort Lauderdale, FL",FL,33,1620,1615,1954,1944,0,0,1237
1/1/2022 0:00,AA,1735,PHL,"Philadelphia, PA",PA,23,FLL,"Fort Lauderdale, FL",FL,33,800,750,1049,1023,0,0,992
1/1/2022 0:00,AA,1864,PHL,"Philadelphia, PA",PA,23,FLL,"Fort Lauderdale, FL",FL,33,2035,2031,2342,2321,0,0,992
1/1/2022 0:00,AA,1884,PHL,"Philadelphia, PA",PA,23,FLL,"Fort Lauderdale, FL",FL,33,1220,1222,1509,1451,0,0,992
1/1/2022 0:00,AA,1931,CLT,"Charlotte, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1319,1314,1524,1459,0,0,632
1/1/2022 0:00,AA,2010,CLT,"Charlotte, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1835,1829,2040,2022,0,0,632
1/1/2022 0:00,AA,2397,CLT,"Charlotte, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1449,1459,1647,1646,0,0,632
1/1/2022 0:00,AA,2399,DFW,"Dallas/Fort Worth, TX",TX,74,FLL,"Fort Lauderdale, FL",FL,33,1443,1452,1822,1831,0,0,1119
1/1/2022 0:00,AA,2538,LAX,"Los Angeles, CA",CA,91,FLL,"Fort Lauderdale, FL",FL,33,2330,2329,725,705,0,0,2343
1/1/2022 0:00,AA,2945,CLT,"Charlotte, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1134,,1341,,1,0,632
1/1/2022 0:00,AA,469,CLT,"Charlotte, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,2040,2045,2242,2229,0,0,632
1/1/2022 0:00,AA,606,DFW,"Dallas/Fort Worth, TX",TX,74,FLL,"Fort Lauderdale, FL",FL,33,1236,1235,1622,1617,0,0,1119
1/1/2022 0:00,AA,608,DFW,"Dallas/Fort Worth, TX",TX,74,FLL,"Fort Lauderdale, FL",FL,33,1735,1732,2114,2121,0,0,1119
