FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3085,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1834,2005,1946,2122,0,0,227
1/1/2022 0:00,AA,4139,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1227,1224,1336,1320,0,0,227
1/1/2022 0:00,AA,4215,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,2230,2227,2337,2331,0,0,227
1/2/2022 0:00,AA,3085,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1834,1830,1946,1941,0,0,227
1/2/2022 0:00,AA,4139,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1227,1223,1336,1335,0,0,227
1/2/2022 0:00,AA,4215,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,2230,2235,2337,2342,0,0,227
1/2/2022 0:00,AA,4416,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,855,854,1011,1017,0,0,227
1/3/2022 0:00,AA,3085,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1834,1840,1946,1946,0,0,227
1/3/2022 0:00,AA,4139,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1227,1225,1336,1318,0,0,227
1/3/2022 0:00,AA,4215,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,2230,2227,2337,2326,0,0,227
1/3/2022 0:00,AA,4416,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,855,916,1011,1013,0,0,227
1/4/2022 0:00,AA,3154,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1049,1049,1208,1153,0,0,227
1/4/2022 0:00,AA,3195,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,2118,2113,2224,2212,0,0,227
1/4/2022 0:00,AA,4139,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1435,1446,1541,1542,0,0,227
