FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2989,DFW,"Dallas/Fort Worth, TX",TX,74,FWA,"Fort Wayne, IN",IN,42,1844,1835,2210,2124,0,0,859
1/1/2022 0:00,AA,3032,ORD,"Chicago, IL",IL,41,FWA,"Fort Wayne, IN",IN,42,1244,1311,1500,1558,0,0,157
1/1/2022 0:00,AA,3299,ORD,"Chicago, IL",IL,41,FWA,"Fort Wayne, IN",IN,42,1745,,1954,,1,0,157
1/1/2022 0:00,AA,5040,CLT,"Charlotte, NC",NC,36,FWA,"Fort Wayne, IN",IN,42,1645,1641,1837,1824,0,0,460
1/1/2022 0:00,AA,5633,CLT,"Charlotte, NC",NC,36,FWA,"Fort Wayne, IN",IN,42,900,852,1044,1032,0,0,460
1/1/2022 0:00,AA,6146,PHL,"Philadelphia, PA",PA,23,FWA,"Fort Wayne, IN",IN,42,2040,2103,2302,8,0,0,530
1/1/2022 0:00,DL,4290,DTW,"Detroit, MI",MI,43,FWA,"Fort Wayne, IN",IN,42,1750,,1847,,1,0,128
1/1/2022 0:00,DL,4303,MSP,"Minneapolis, MN",MN,63,FWA,"Fort Wayne, IN",IN,42,1800,1813,2058,2047,0,0,488
1/1/2022 0:00,DL,5192,ATL,"Atlanta, GA",GA,34,FWA,"Fort Wayne, IN",IN,42,1005,1116,1144,1241,0,0,508
1/1/2022 0:00,DL,5492,ATL,"Atlanta, GA",GA,34,FWA,"Fort Wayne, IN",IN,42,2100,2057,2245,2246,0,0,508
1/1/2022 0:00,G4,1325,AZA,"Phoenix, AZ",AZ,81,FWA,"Fort Wayne, IN",IN,42,1529,1524,2042,2023,0,0,1546
1/1/2022 0:00,G4,1760,PGD,"Punta Gorda, FL",FL,33,FWA,"Fort Wayne, IN",IN,42,1040,1028,1304,1250,0,0,986
1/1/2022 0:00,UA,5574,ORD,"Chicago, IL",IL,41,FWA,"Fort Wayne, IN",IN,42,1400,,1611,,1,0,157
1/1/2022 0:00,UA,5648,ORD,"Chicago, IL",IL,41,FWA,"Fort Wayne, IN",IN,42,1800,,2020,,1,0,157
1/2/2022 0:00,AA,2989,DFW,"Dallas/Fort Worth, TX",TX,74,FWA,"Fort Wayne, IN",IN,42,1844,1839,2210,2156,0,0,859
1/2/2022 0:00,AA,3032,ORD,"Chicago, IL",IL,41,FWA,"Fort Wayne, IN",IN,42,1244,1330,1500,1536,0,0,157
1/2/2022 0:00,AA,3281,DFW,"Dallas/Fort Worth, TX",TX,74,FWA,"Fort Wayne, IN",IN,42,840,,1202,,1,0,859
1/2/2022 0:00,AA,3282,DFW,"Dallas/Fort Worth, TX",TX,74,FWA,"Fort Wayne, IN",IN,42,1557,1620,1916,1927,0,0,859
1/2/2022 0:00,AA,3299,ORD,"Chicago, IL",IL,41,FWA,"Fort Wayne, IN",IN,42,1750,1746,1959,2004,0,0,157
1/2/2022 0:00,AA,3830,ORD,"Chicago, IL",IL,41,FWA,"Fort Wayne, IN",IN,42,1050,1142,1303,1355,0,0,157
1/2/2022 0:00,AA,5040,CLT,"Charlotte, NC",NC,36,FWA,"Fort Wayne, IN",IN,42,2220,27,2359,154,0,0,460
1/2/2022 0:00,AA,5633,CLT,"Charlotte, NC",NC,36,FWA,"Fort Wayne, IN",IN,42,900,853,1044,1031,0,0,460
1/2/2022 0:00,AA,6146,PHL,"Philadelphia, PA",PA,23,FWA,"Fort Wayne, IN",IN,42,2040,2031,2302,2241,0,0,530
1/2/2022 0:00,DL,4263,DTW,"Detroit, MI",MI,43,FWA,"Fort Wayne, IN",IN,42,845,1004,948,1159,0,0,128
1/2/2022 0:00,DL,4286,DTW,"Detroit, MI",MI,43,FWA,"Fort Wayne, IN",IN,42,1750,1813,1848,1857,0,0,128
1/2/2022 0:00,DL,4303,MSP,"Minneapolis, MN",MN,63,FWA,"Fort Wayne, IN",IN,42,1800,1757,2059,2040,0,0,488
1/2/2022 0:00,DL,5192,ATL,"Atlanta, GA",GA,34,FWA,"Fort Wayne, IN",IN,42,1005,1000,1145,1132,0,0,508
1/2/2022 0:00,DL,5250,ATL,"Atlanta, GA",GA,34,FWA,"Fort Wayne, IN",IN,42,1525,1520,1712,1716,0,0,508
1/2/2022 0:00,DL,5492,ATL,"Atlanta, GA",GA,34,FWA,"Fort Wayne, IN",IN,42,2100,2112,2246,2238,0,0,508
1/2/2022 0:00,G4,1768,PGD,"Punta Gorda, FL",FL,33,FWA,"Fort Wayne, IN",IN,42,620,,844,,1,0,986
1/2/2022 0:00,G4,2322,SFB,"Sanford, FL",FL,33,FWA,"Fort Wayne, IN",IN,42,1258,1333,1516,1540,0,0,870
1/2/2022 0:00,G4,619,PIE,"St. Petersburg, FL",FL,33,FWA,"Fort Wayne, IN",IN,42,1636,1815,1854,2037,0,0,912
1/2/2022 0:00,UA,5574,ORD,"Chicago, IL",IL,41,FWA,"Fort Wayne, IN",IN,42,1400,1359,1611,1546,0,0,157
1/2/2022 0:00,UA,5648,ORD,"Chicago, IL",IL,41,FWA,"Fort Wayne, IN",IN,42,1800,1758,2020,2011,0,0,157
