FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3048,PHX,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,1603,1600,1736,1731,0,0,438
1/1/2022 0:00,AA,3295,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,1814,1836,1946,1954,0,0,773
1/1/2022 0:00,AA,4100,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,2230,2255,2359,24,0,0,773
1/1/2022 0:00,DL,4228,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,1520,1512,1626,1613,0,0,216
1/1/2022 0:00,DL,4285,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,940,1137,1106,1229,0,0,216
1/1/2022 0:00,DL,4309,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,2045,2045,2154,2155,0,0,216
1/1/2022 0:00,UA,4236,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,945,1146,1058,1333,0,0,212
1/1/2022 0:00,UA,4241,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1145,1624,1253,1801,0,0,212
1/1/2022 0:00,UA,5314,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1850,2103,2004,2239,0,0,212
1/1/2022 0:00,UA,5488,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1337,,1445,,1,0,212
1/2/2022 0:00,AA,2972,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,830,829,1003,948,0,0,773
1/2/2022 0:00,AA,2981,PHX,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,1025,1058,1200,1223,0,0,438
1/2/2022 0:00,AA,3048,PHX,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,1603,1601,1736,1756,0,0,438
1/2/2022 0:00,AA,3295,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,1639,1745,1812,1900,0,0,773
1/2/2022 0:00,AA,4100,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,2230,2304,2359,19,0,0,773
1/2/2022 0:00,DL,4228,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,1347,1345,1455,1442,0,0,216
1/2/2022 0:00,DL,4285,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,940,939,1106,1033,0,0,216
1/2/2022 0:00,DL,4309,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,2045,2049,2154,2141,0,0,216
1/2/2022 0:00,F9,783,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1540,1542,1647,1648,0,0,212
1/2/2022 0:00,G4,31,LAS,"Las Vegas, NV",NV,85,GJT,"Grand Junction, CO",CO,82,1420,1415,1642,1630,0,0,420
1/2/2022 0:00,G4,34,SNA,"Santa Ana, CA",CA,91,GJT,"Grand Junction, CO",CO,82,1909,1933,2154,2213,0,0,641
1/2/2022 0:00,UA,4236,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,945,947,1058,1043,0,0,212
1/2/2022 0:00,UA,4241,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1145,,1253,,1,0,212
1/2/2022 0:00,UA,4306,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1555,1621,1703,1745,0,0,212
1/2/2022 0:00,UA,5314,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1850,1904,2004,2003,0,0,212
1/2/2022 0:00,UA,5488,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1337,,1445,,1,0,212
1/3/2022 0:00,AA,2972,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,830,,1003,,1,0,773
1/3/2022 0:00,AA,2981,PHX,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,1025,1021,1200,1151,0,0,438
1/3/2022 0:00,AA,3048,PHX,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,1603,,1736,,1,0,438
1/3/2022 0:00,AA,3295,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,1639,1640,1812,1808,0,0,773
1/3/2022 0:00,AA,4100,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,2230,2230,2359,2358,0,0,773
1/3/2022 0:00,DL,4228,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,1347,1347,1455,1437,0,0,216
1/3/2022 0:00,DL,4285,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,940,942,1106,1100,0,0,216
1/3/2022 0:00,DL,4309,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,2045,2040,2154,2129,0,0,216
1/3/2022 0:00,G4,1337,AZA,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,640,639,759,753,0,0,437
1/3/2022 0:00,UA,4236,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,945,941,1058,1040,0,0,212
1/3/2022 0:00,UA,4241,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1145,1137,1253,1245,0,0,212
1/3/2022 0:00,UA,4306,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1555,1555,1703,1701,0,0,212
1/3/2022 0:00,UA,5314,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1850,1900,2004,2016,0,0,212
1/3/2022 0:00,UA,5488,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1337,,1445,,1,0,212
1/4/2022 0:00,AA,3009,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,2129,2124,2252,2252,0,0,773
1/4/2022 0:00,AA,3032,PHX,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,931,922,1102,1056,0,0,438
1/4/2022 0:00,AA,3135,PHX,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,1959,1950,2127,2115,0,0,438
1/4/2022 0:00,AA,3198,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,1635,1755,1801,1914,0,0,773
1/4/2022 0:00,AA,3786,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,1045,1042,1222,1215,0,0,773
1/4/2022 0:00,DL,4228,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,1347,1340,1455,1436,0,0,216
1/4/2022 0:00,DL,4285,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,940,940,1106,1041,0,0,216
1/4/2022 0:00,DL,4309,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,2045,2044,2154,2157,0,0,216
1/4/2022 0:00,UA,5314,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1850,,2000,,1,0,212
1/4/2022 0:00,UA,5397,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1130,1135,1238,1239,0,0,212
1/4/2022 0:00,UA,5488,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1340,,1448,,1,0,212
1/4/2022 0:00,UA,5817,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1615,,1723,,1,0,212
1/5/2022 0:00,AA,3009,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,2231,2224,2355,2357,0,0,773
1/5/2022 0:00,AA,3032,PHX,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,931,932,1102,1102,0,0,438
1/5/2022 0:00,AA,3135,PHX,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,1959,,2127,,1,0,438
1/5/2022 0:00,AA,3198,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,1635,,1801,,1,0,773
1/5/2022 0:00,AA,3786,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,1045,1058,1222,1225,0,0,773
1/5/2022 0:00,DL,4228,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,1346,1345,1454,1438,0,0,216
1/5/2022 0:00,DL,4285,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,940,939,1051,1035,0,0,216
1/5/2022 0:00,DL,4309,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,2245,214,2351,302,0,0,216
1/5/2022 0:00,UA,5314,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1850,,2000,,1,0,212
1/5/2022 0:00,UA,5397,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1130,1206,1238,1305,0,0,212
1/5/2022 0:00,UA,5488,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1340,1337,1448,1434,0,0,212
1/5/2022 0:00,UA,5817,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1615,,1723,,1,0,212
1/6/2022 0:00,AA,3009,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,2231,2226,2355,5,0,0,773
1/6/2022 0:00,AA,3032,PHX,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,931,924,1102,1051,0,0,438
1/6/2022 0:00,AA,3135,PHX,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,1959,2007,2127,2129,0,0,438
1/6/2022 0:00,AA,3198,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,1635,1632,1801,1745,0,0,773
1/6/2022 0:00,AA,3786,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,1045,1040,1222,1157,0,0,773
1/6/2022 0:00,DL,4228,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,1346,1340,1454,1437,0,0,216
1/6/2022 0:00,DL,4285,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,940,1002,1051,1104,0,0,216
1/6/2022 0:00,DL,4309,SLC,"Salt Lake City, UT",UT,87,GJT,"Grand Junction, CO",CO,82,2245,2234,2351,2330,0,0,216
1/6/2022 0:00,G4,29,LAS,"Las Vegas, NV",NV,85,GJT,"Grand Junction, CO",CO,82,650,651,913,915,0,0,420
1/6/2022 0:00,G4,32,SNA,"Santa Ana, CA",CA,91,GJT,"Grand Junction, CO",CO,82,1140,1130,1425,1419,0,0,641
1/6/2022 0:00,UA,5314,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1850,,2000,,1,0,212
1/6/2022 0:00,UA,5397,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1130,1835,1238,1952,0,0,212
1/6/2022 0:00,UA,5488,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1340,1353,1448,1500,0,0,212
1/6/2022 0:00,UA,5817,DEN,"Denver, CO",CO,82,GJT,"Grand Junction, CO",CO,82,1615,1624,1723,1731,0,0,212
1/7/2022 0:00,AA,3009,DFW,"Dallas/Fort Worth, TX",TX,74,GJT,"Grand Junction, CO",CO,82,2231,2222,2355,2346,0,0,773
1/7/2022 0:00,AA,3032,PHX,"Phoenix, AZ",AZ,81,GJT,"Grand Junction, CO",CO,82,931,921,1102,1040,0,0,438
