FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,4124,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,2050,2127,2247,2319,0,0,561
1/1/2022 0:00,AA,4495,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,1322,1320,1514,1501,0,0,561
1/2/2022 0:00,AA,4124,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,2050,2051,2247,2242,0,0,561
1/2/2022 0:00,AA,4495,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,1307,1304,1500,1501,0,0,561
1/2/2022 0:00,G4,1402,AZA,"Phoenix, AZ",AZ,81,GRI,"Grand Island, NE",NE,65,1811,1848,2126,2200,0,0,905
1/2/2022 0:00,G4,188,LAS,"Las Vegas, NV",NV,85,GRI,"Grand Island, NE",NE,65,1038,1026,1503,1451,0,0,971
1/3/2022 0:00,AA,4124,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,2050,2049,2247,2227,0,0,561
1/3/2022 0:00,AA,4495,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,1307,1305,1500,1454,0,0,561
1/4/2022 0:00,AA,4124,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,2040,2034,2234,2236,0,0,561
1/4/2022 0:00,AA,4177,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,1230,1226,1425,1412,0,0,561
1/5/2022 0:00,AA,4124,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,2040,2036,2234,2217,0,0,561
1/5/2022 0:00,AA,4177,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,1230,1228,1425,1414,0,0,561
1/5/2022 0:00,G4,1369,AZA,"Phoenix, AZ",AZ,81,GRI,"Grand Island, NE",NE,65,1609,1723,1929,2040,0,0,905
1/6/2022 0:00,AA,4124,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,2040,2149,2234,2328,0,0,561
1/6/2022 0:00,AA,4177,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,1230,1305,1425,1449,0,0,561
1/6/2022 0:00,G4,87,LAS,"Las Vegas, NV",NV,85,GRI,"Grand Island, NE",NE,65,600,552,1029,1008,0,0,971
1/7/2022 0:00,AA,4124,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,2040,2036,2234,2222,0,0,561
1/7/2022 0:00,AA,4177,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,1230,1252,1425,1441,0,0,561
1/7/2022 0:00,G4,1189,AZA,"Phoenix, AZ",AZ,81,GRI,"Grand Island, NE",NE,65,640,635,1000,942,0,0,905
1/8/2022 0:00,AA,4124,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,2040,2243,2234,17,0,0,561
1/8/2022 0:00,AA,4177,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,1230,1250,1425,1430,0,0,561
1/9/2022 0:00,AA,4124,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,2040,2037,2234,2221,0,0,561
1/9/2022 0:00,AA,4177,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,1230,1222,1425,1409,0,0,561
1/9/2022 0:00,G4,87,LAS,"Las Vegas, NV",NV,85,GRI,"Grand Island, NE",NE,65,1308,1259,1737,1728,0,0,971
1/10/2022 0:00,AA,4124,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,2040,2039,2234,2215,0,0,561
1/10/2022 0:00,AA,4177,DFW,"Dallas/Fort Worth, TX",TX,74,GRI,"Grand Island, NE",NE,65,1230,1225,1425,1409,0,0,561
