FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1889,PHX,"Phoenix, AZ",AZ,81,GRR,"Grand Rapids, MI",MI,43,1035,1101,1612,1659,0,0,1574
1/1/2022 0:00,AA,2966,DFW,"Dallas/Fort Worth, TX",TX,74,GRR,"Grand Rapids, MI",MI,43,2012,,2345,,1,0,931
1/1/2022 0:00,AA,3575,DFW,"Dallas/Fort Worth, TX",TX,74,GRR,"Grand Rapids, MI",MI,43,1532,1529,1902,2011,0,0,931
1/1/2022 0:00,AA,3840,ORD,"Chicago, IL",IL,41,GRR,"Grand Rapids, MI",MI,43,1341,,1544,,1,0,137
1/1/2022 0:00,AA,3932,MIA,"Miami, FL",FL,33,GRR,"Grand Rapids, MI",MI,43,1935,2106,2254,26,0,0,1214
1/1/2022 0:00,AA,4304,ORD,"Chicago, IL",IL,41,GRR,"Grand Rapids, MI",MI,43,1735,,1941,,1,0,137
1/1/2022 0:00,AA,5039,DCA,"Washington, DC",VA,38,GRR,"Grand Rapids, MI",MI,43,1001,1031,1214,1230,0,0,524
1/1/2022 0:00,AA,5503,CLT,"Charlotte, NC",NC,36,GRR,"Grand Rapids, MI",MI,43,1252,1247,1458,1508,0,0,583
1/1/2022 0:00,AA,5712,DCA,"Washington, DC",VA,38,GRR,"Grand Rapids, MI",MI,43,1359,1358,1608,1601,0,0,524
1/1/2022 0:00,AA,6101,ORD,"Chicago, IL",IL,41,GRR,"Grand Rapids, MI",MI,43,1014,,1224,,1,0,137
1/1/2022 0:00,AA,676,CLT,"Charlotte, NC",NC,36,GRR,"Grand Rapids, MI",MI,43,2124,2125,2322,2339,0,0,583
1/1/2022 0:00,DL,1736,ATL,"Atlanta, GA",GA,34,GRR,"Grand Rapids, MI",MI,43,1420,1431,1608,1609,0,0,640
1/1/2022 0:00,DL,2151,ATL,"Atlanta, GA",GA,34,GRR,"Grand Rapids, MI",MI,43,906,930,1056,1106,0,0,640
1/1/2022 0:00,DL,2160,ATL,"Atlanta, GA",GA,34,GRR,"Grand Rapids, MI",MI,43,2105,2101,2254,2257,0,0,640
1/1/2022 0:00,DL,2950,DTW,"Detroit, MI",MI,43,GRR,"Grand Rapids, MI",MI,43,2120,,2215,,1,0,120
1/1/2022 0:00,DL,2992,MSP,"Minneapolis, MN",MN,63,GRR,"Grand Rapids, MI",MI,43,2035,2049,2311,2315,0,0,408
1/1/2022 0:00,DL,3552,DTW,"Detroit, MI",MI,43,GRR,"Grand Rapids, MI",MI,43,1630,1633,1733,1808,0,0,120
1/1/2022 0:00,DL,3657,DTW,"Detroit, MI",MI,43,GRR,"Grand Rapids, MI",MI,43,845,939,948,1025,0,0,120
1/1/2022 0:00,DL,3845,MSP,"Minneapolis, MN",MN,63,GRR,"Grand Rapids, MI",MI,43,1320,1317,1546,1541,0,0,408
1/1/2022 0:00,DL,4103,MSP,"Minneapolis, MN",MN,63,GRR,"Grand Rapids, MI",MI,43,1005,,1234,,1,0,408
