FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2931,DFW,"Dallas/Fort Worth, TX",TX,74,GSO,"Greensboro/High Point, NC",NC,36,2035,2052,2359,13,0,0,999
1/1/2022 0:00,AA,3648,ORD,"Chicago, IL",IL,41,GSO,"Greensboro/High Point, NC",NC,36,1725,,2017,,1,0,589
1/1/2022 0:00,AA,3754,MIA,"Miami, FL",FL,33,GSO,"Greensboro/High Point, NC",NC,36,2002,2036,2212,2230,0,0,710
1/1/2022 0:00,AA,3829,ORD,"Chicago, IL",IL,41,GSO,"Greensboro/High Point, NC",NC,36,946,951,1239,1244,0,0,589
1/1/2022 0:00,AA,4250,DFW,"Dallas/Fort Worth, TX",TX,74,GSO,"Greensboro/High Point, NC",NC,36,1339,1342,1703,1705,0,0,999
1/1/2022 0:00,AA,4574,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1545,1544,1735,1752,0,0,461
1/1/2022 0:00,AA,4577,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1829,1823,2019,2005,0,0,461
1/1/2022 0:00,AA,4618,PHL,"Philadelphia, PA",PA,23,GSO,"Greensboro/High Point, NC",NC,36,2144,2216,2316,2350,0,0,365
1/1/2022 0:00,AA,4755,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1104,1106,1256,1257,0,0,461
1/1/2022 0:00,AA,4937,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1000,953,1100,1039,0,0,83
1/1/2022 0:00,AA,5111,DCA,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,2100,2051,2218,2157,0,0,248
1/1/2022 0:00,AA,5354,DCA,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,1359,1353,1520,1502,0,0,248
1/1/2022 0:00,AA,5390,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1441,1441,1540,1531,0,0,83
1/1/2022 0:00,AA,5460,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,2049,2101,2151,2145,0,0,83
1/1/2022 0:00,AA,5463,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1834,2101,1936,2142,0,0,83
1/1/2022 0:00,AA,6087,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1640,1636,1746,1719,0,0,83
1/1/2022 0:00,AA,6102,PHL,"Philadelphia, PA",PA,23,GSO,"Greensboro/High Point, NC",NC,36,929,1354,1104,1518,0,0,365
1/1/2022 0:00,AA,6162,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1110,1106,1215,1158,0,0,83
1/1/2022 0:00,DL,1307,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,1745,1921,1855,2029,0,0,306
1/1/2022 0:00,DL,2512,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,2244,2242,2355,2346,0,0,306
1/1/2022 0:00,DL,2977,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,944,948,1057,1100,0,0,306
1/1/2022 0:00,DL,4976,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1059,1054,1300,1233,0,0,461
1/1/2022 0:00,DL,5433,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,1400,1355,1514,1514,0,0,306
1/1/2022 0:00,UA,3609,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,1200,1155,1349,1333,0,0,445
1/1/2022 0:00,UA,3737,IAD,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,1725,1820,1847,1926,0,0,239
1/1/2022 0:00,UA,3821,ORD,"Chicago, IL",IL,41,GSO,"Greensboro/High Point, NC",NC,36,1755,,2102,,1,0,589
1/1/2022 0:00,UA,3844,IAD,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,1105,1153,1223,1310,0,0,239
1/1/2022 0:00,UA,4390,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,2159,2242,2353,21,0,0,445
1/1/2022 0:00,UA,4452,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,1830,1820,2025,1957,0,0,445
1/1/2022 0:00,UA,4504,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,1543,1550,1737,1725,0,0,445
1/1/2022 0:00,UA,4619,ORD,"Chicago, IL",IL,41,GSO,"Greensboro/High Point, NC",NC,36,1408,,1704,,1,0,589
1/2/2022 0:00,AA,2931,DFW,"Dallas/Fort Worth, TX",TX,74,GSO,"Greensboro/High Point, NC",NC,36,2035,2143,2359,108,0,0,999
1/2/2022 0:00,AA,3648,ORD,"Chicago, IL",IL,41,GSO,"Greensboro/High Point, NC",NC,36,1725,1730,2017,2042,0,0,589
1/2/2022 0:00,AA,3754,MIA,"Miami, FL",FL,33,GSO,"Greensboro/High Point, NC",NC,36,2015,2103,2220,2259,0,0,710
1/2/2022 0:00,AA,3829,ORD,"Chicago, IL",IL,41,GSO,"Greensboro/High Point, NC",NC,36,816,,1108,,1,0,589
1/2/2022 0:00,AA,4250,DFW,"Dallas/Fort Worth, TX",TX,74,GSO,"Greensboro/High Point, NC",NC,36,1339,1427,1703,1749,0,0,999
1/2/2022 0:00,AA,4574,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1529,1527,1719,1756,0,0,461
1/2/2022 0:00,AA,4577,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1929,1943,2116,2136,0,0,461
1/2/2022 0:00,AA,4618,PHL,"Philadelphia, PA",PA,23,GSO,"Greensboro/High Point, NC",NC,36,2144,2135,2316,2306,0,0,365
1/2/2022 0:00,AA,4755,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1104,1100,1255,1250,0,0,461
1/2/2022 0:00,AA,4937,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,926,920,1028,1006,0,0,83
1/2/2022 0:00,AA,5111,DCA,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,2241,35,2358,146,0,0,248
1/2/2022 0:00,AA,5277,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,2303,2350,3,46,0,0,83
1/2/2022 0:00,AA,5354,DCA,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,1359,1352,1520,1506,0,0,248
1/2/2022 0:00,AA,5390,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1441,1516,1540,1605,0,0,83
1/2/2022 0:00,AA,5460,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,2049,2330,2151,57,0,0,83
1/2/2022 0:00,AA,6087,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1640,1704,1746,1812,0,0,83
1/2/2022 0:00,AA,6097,PHL,"Philadelphia, PA",PA,23,GSO,"Greensboro/High Point, NC",NC,36,1536,1543,1709,1733,0,0,365
1/2/2022 0:00,AA,6102,PHL,"Philadelphia, PA",PA,23,GSO,"Greensboro/High Point, NC",NC,36,929,940,1104,1115,0,0,365
1/2/2022 0:00,AA,6162,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1110,1106,1215,1158,0,0,83
1/2/2022 0:00,AA,6169,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1834,1833,1940,1928,0,0,83
1/2/2022 0:00,DL,2512,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,2244,2317,2356,24,0,0,306
1/2/2022 0:00,DL,2628,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,1439,,1547,,1,0,306
1/2/2022 0:00,DL,2656,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,1908,1905,2020,2009,0,0,306
1/2/2022 0:00,DL,2977,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,944,941,1058,1043,0,0,306
1/2/2022 0:00,DL,4850,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,757,747,949,925,0,0,461
1/2/2022 0:00,DL,4976,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,2015,2013,2209,2217,0,0,461
1/2/2022 0:00,DL,4977,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,1215,1301,1328,1409,0,0,306
1/2/2022 0:00,DL,5164,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1505,1500,1659,1659,0,0,461
1/2/2022 0:00,DL,5215,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,1636,1718,1752,1820,0,0,306
1/2/2022 0:00,DL,5473,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1159,1155,1355,1404,0,0,461
1/2/2022 0:00,G4,2214,SFB,"Sanford, FL",FL,33,GSO,"Greensboro/High Point, NC",NC,36,620,634,751,800,0,0,510
1/2/2022 0:00,UA,3609,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,1200,1153,1349,1355,0,0,445
1/2/2022 0:00,UA,3737,IAD,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,1725,1722,1847,1832,0,0,239
1/2/2022 0:00,UA,3821,ORD,"Chicago, IL",IL,41,GSO,"Greensboro/High Point, NC",NC,36,1755,2007,2102,2304,0,0,589
1/2/2022 0:00,UA,3844,IAD,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,1105,1103,1223,1225,0,0,239
1/2/2022 0:00,UA,4390,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,2159,2352,2352,137,0,0,445
1/2/2022 0:00,UA,4438,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,900,942,1103,1117,0,0,445
1/2/2022 0:00,UA,4452,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,1825,1927,2020,2142,0,0,445
1/2/2022 0:00,UA,4504,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,1545,1609,1737,1819,0,0,445
1/2/2022 0:00,UA,4619,ORD,"Chicago, IL",IL,41,GSO,"Greensboro/High Point, NC",NC,36,1408,1411,1704,1705,0,0,589
1/3/2022 0:00,AA,2931,DFW,"Dallas/Fort Worth, TX",TX,74,GSO,"Greensboro/High Point, NC",NC,36,2035,2206,2359,111,0,0,999
1/3/2022 0:00,AA,3648,ORD,"Chicago, IL",IL,41,GSO,"Greensboro/High Point, NC",NC,36,1725,1725,2017,2017,0,0,589
1/3/2022 0:00,AA,3754,MIA,"Miami, FL",FL,33,GSO,"Greensboro/High Point, NC",NC,36,2015,2012,2220,2220,0,0,710
1/3/2022 0:00,AA,3829,ORD,"Chicago, IL",IL,41,GSO,"Greensboro/High Point, NC",NC,36,816,815,1108,1102,0,0,589
1/3/2022 0:00,AA,4250,DFW,"Dallas/Fort Worth, TX",TX,74,GSO,"Greensboro/High Point, NC",NC,36,1339,1410,1703,1753,0,0,999
1/3/2022 0:00,AA,4574,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1529,1528,1719,1719,0,0,461
1/3/2022 0:00,AA,4577,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1929,1927,2116,2112,0,0,461
1/3/2022 0:00,AA,4618,PHL,"Philadelphia, PA",PA,23,GSO,"Greensboro/High Point, NC",NC,36,2144,2318,2316,42,0,0,365
1/3/2022 0:00,AA,4755,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1104,1050,1256,1243,0,0,461
1/3/2022 0:00,AA,4937,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,926,,1028,,1,0,83
1/3/2022 0:00,AA,5111,DCA,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,2241,,2358,,1,0,248
1/3/2022 0:00,AA,5237,DCA,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,742,,858,,1,0,248
1/3/2022 0:00,AA,5277,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,2303,2309,3,2355,0,0,83
1/3/2022 0:00,AA,5354,DCA,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,1359,,1520,,1,0,248
1/3/2022 0:00,AA,5390,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1441,1631,1540,1716,0,0,83
1/3/2022 0:00,AA,5460,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,2049,2140,2151,2225,0,0,83
1/3/2022 0:00,AA,6087,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1640,1753,1746,1858,0,0,83
1/3/2022 0:00,AA,6097,PHL,"Philadelphia, PA",PA,23,GSO,"Greensboro/High Point, NC",NC,36,1536,1542,1709,1709,0,0,365
1/3/2022 0:00,AA,6102,PHL,"Philadelphia, PA",PA,23,GSO,"Greensboro/High Point, NC",NC,36,929,,1104,,1,0,365
1/3/2022 0:00,AA,6162,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1110,1118,1215,1230,0,0,83
1/3/2022 0:00,AA,6169,CLT,"Charlotte, NC",NC,36,GSO,"Greensboro/High Point, NC",NC,36,1834,2105,1940,2146,0,0,83
1/3/2022 0:00,DL,2512,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,2244,2250,2356,3,0,0,306
1/3/2022 0:00,DL,2628,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,1439,1437,1547,1547,0,0,306
1/3/2022 0:00,DL,2656,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,1908,1903,2020,2030,0,0,306
1/3/2022 0:00,DL,2977,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,944,941,1058,1049,0,0,306
1/3/2022 0:00,DL,4850,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,757,,949,,1,0,461
1/3/2022 0:00,DL,4976,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,2015,,2209,,1,0,461
1/3/2022 0:00,DL,4977,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,1215,1222,1328,1334,0,0,306
1/3/2022 0:00,DL,5164,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1505,,1659,,1,0,461
1/3/2022 0:00,DL,5215,ATL,"Atlanta, GA",GA,34,GSO,"Greensboro/High Point, NC",NC,36,1636,1755,1752,1904,0,0,306
1/3/2022 0:00,DL,5473,LGA,"New York, NY",NY,22,GSO,"Greensboro/High Point, NC",NC,36,1159,1347,1355,1537,0,0,461
1/3/2022 0:00,G4,1803,PIE,"St. Petersburg, FL",FL,33,GSO,"Greensboro/High Point, NC",NC,36,630,618,811,748,0,0,587
1/3/2022 0:00,UA,3609,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,1200,1156,1349,1333,0,0,445
1/3/2022 0:00,UA,3737,IAD,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,1725,,1847,,1,0,239
1/3/2022 0:00,UA,3844,IAD,"Washington, DC",VA,38,GSO,"Greensboro/High Point, NC",NC,36,1105,,1223,,1,0,239
1/3/2022 0:00,UA,4387,ORD,"Chicago, IL",IL,41,GSO,"Greensboro/High Point, NC",NC,36,1755,1753,2055,2032,0,0,589
1/3/2022 0:00,UA,4438,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,900,903,1103,1113,0,0,445
1/3/2022 0:00,UA,4452,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,1825,1831,2020,2018,0,0,445
1/3/2022 0:00,UA,4504,EWR,"Newark, NJ",NJ,21,GSO,"Greensboro/High Point, NC",NC,36,1543,1555,1737,1745,0,0,445
