FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/2/2022 0:00,G4,1868,PIE,"St. Petersburg, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1127,1111,1342,1315,0,0,861
1/3/2022 0:00,G4,2459,SFB,"Sanford, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1808,1815,2013,2024,0,0,780
1/6/2022 0:00,G4,588,PIE,"St. Petersburg, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1556,,1811,,1,0,861
1/7/2022 0:00,G4,2317,SFB,"Sanford, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1257,1311,1508,1526,0,0,780
1/9/2022 0:00,G4,588,PIE,"St. Petersburg, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1556,1545,1811,1819,0,0,861
1/10/2022 0:00,G4,2317,SFB,"Sanford, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1257,1247,1508,1458,0,0,780
1/13/2022 0:00,G4,588,PIE,"St. Petersburg, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1556,1532,1811,1744,0,0,861
1/14/2022 0:00,G4,2317,SFB,"Sanford, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1257,1253,1508,1510,0,0,780
1/16/2022 0:00,G4,588,PIE,"St. Petersburg, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1556,,1811,,1,0,861
1/17/2022 0:00,G4,2317,SFB,"Sanford, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1257,1316,1508,1539,0,0,780
1/20/2022 0:00,G4,588,PIE,"St. Petersburg, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1556,1549,1811,1825,0,0,861
1/21/2022 0:00,G4,2317,SFB,"Sanford, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1257,1302,1508,1449,0,0,780
1/23/2022 0:00,G4,588,PIE,"St. Petersburg, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1556,1539,1811,1753,0,0,861
1/24/2022 0:00,G4,2317,SFB,"Sanford, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1257,1248,1508,1500,0,0,780
1/27/2022 0:00,G4,588,PIE,"St. Petersburg, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1556,1544,1811,1802,0,0,861
1/28/2022 0:00,G4,2317,SFB,"Sanford, FL",FL,33,HGR,"Hagerstown, MD",MD,35,808,753,1019,951,0,0,780
1/30/2022 0:00,G4,588,PIE,"St. Petersburg, FL",FL,33,HGR,"Hagerstown, MD",MD,35,1556,1621,1811,1840,0,0,861
1/31/2022 0:00,G4,2317,SFB,"Sanford, FL",FL,33,HGR,"Hagerstown, MD",MD,35,808,808,1019,1024,0,0,780
