FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1815,825,1927,944,0,0,174
1/2/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1815,,1928,,1,0,174
1/2/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,855,1047,1007,1131,0,0,174
1/3/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1815,1814,1928,1904,0,0,174
1/3/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,855,849,1007,952,0,0,174
1/4/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1845,1844,1958,1937,0,0,174
1/5/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2144,2228,2245,0,0,174
1/5/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1230,1252,1338,0,0,174
1/6/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2154,2228,2236,0,0,174
1/6/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1341,1252,1428,0,0,174
1/7/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,,2228,,1,0,174
1/7/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1215,1252,1307,0,0,174
1/8/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2127,2228,2213,0,0,174
1/9/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,,2228,,1,0,174
1/9/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,,1252,,1,0,174
1/10/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2119,2228,2211,0,0,174
1/10/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1153,1252,1248,0,0,174
1/11/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2119,2228,2224,0,0,174
1/12/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2118,2228,2221,0,0,174
1/12/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,,1252,,1,0,174
1/13/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2126,2228,2205,0,0,174
1/13/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1150,1252,1237,0,0,174
1/14/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2210,2228,2253,0,0,174
1/14/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1146,1252,1316,0,0,174
1/15/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2125,2228,2213,0,0,174
1/16/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2126,2228,2231,0,0,174
1/16/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1146,1252,1233,0,0,174
1/17/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2124,2228,2211,0,0,174
1/17/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1148,1252,1249,0,0,174
1/18/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,,2228,,1,0,174
1/19/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2127,2228,2210,0,0,174
1/19/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1152,1252,1240,0,0,174
1/20/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2219,2228,2309,0,0,174
1/20/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1212,1252,1257,0,0,174
1/21/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2145,2228,2312,0,0,174
1/21/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1201,1252,1301,0,0,174
1/22/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2128,2228,2251,0,0,174
1/23/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2128,2228,2240,0,0,174
1/23/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1220,1252,1312,0,0,174
1/24/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,751,2228,842,0,0,174
1/24/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1152,1252,1250,0,0,174
1/25/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2124,2228,2210,0,0,174
1/26/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2128,2228,2214,0,0,174
1/27/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2125,2228,2209,0,0,174
1/28/2022 0:00,DL,4257,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,2130,2122,2228,2207,0,0,174
1/28/2022 0:00,DL,4327,MSP,"Minneapolis, MN",MN,63,HIB,"Hibbing, MN",MN,63,1156,1148,1252,1235,0,0,174
