FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,123,DFW,"Dallas/Fort Worth, TX",TX,74,HNL,"Honolulu, HI",HI,2,1050,1044,1539,1544,0,0,3784
1/1/2022 0:00,AA,143,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,1445,1445,1844,1832,0,0,2556
1/1/2022 0:00,AA,178,CLT,"Charlotte, NC",NC,36,HNL,"Honolulu, HI",HI,2,920,925,1412,1419,0,0,4678
1/1/2022 0:00,AA,2205,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,1830,1826,2229,2201,0,0,2556
1/1/2022 0:00,AA,297,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,1710,1705,2109,2104,0,0,2556
1/1/2022 0:00,AA,31,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,810,805,1211,1215,0,0,2556
1/1/2022 0:00,AA,5,DFW,"Dallas/Fort Worth, TX",TX,74,HNL,"Honolulu, HI",HI,2,1230,1229,1706,1644,0,0,3784
1/1/2022 0:00,AA,692,PHX,"Phoenix, AZ",AZ,81,HNL,"Honolulu, HI",HI,2,1140,1139,1533,1449,0,0,2917
1/1/2022 0:00,AA,694,PHX,"Phoenix, AZ",AZ,81,HNL,"Honolulu, HI",HI,2,1524,1514,1923,1840,0,0,2917
1/1/2022 0:00,AS,103,SEA,"Seattle, WA",WA,93,HNL,"Honolulu, HI",HI,2,1120,1206,1545,1652,0,0,2677
1/1/2022 0:00,AS,129,SEA,"Seattle, WA",WA,93,HNL,"Honolulu, HI",HI,2,1805,1828,2225,2315,0,0,2677
1/1/2022 0:00,AS,174,SEA,"Seattle, WA",WA,93,HNL,"Honolulu, HI",HI,2,802,805,1230,1228,0,0,2677
