FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,6153,CLT,"Charlotte, NC",NC,36,HTS,"Ashland, WV",WV,39,1057,1047,1217,1156,0,0,235
1/1/2022 0:00,G4,2281,SFB,"Sanford, FL",FL,33,HTS,"Ashland, WV",WV,39,1744,1806,1933,1949,0,0,665
1/2/2022 0:00,AA,6145,CLT,"Charlotte, NC",NC,36,HTS,"Ashland, WV",WV,39,2232,2307,2357,36,0,0,235
1/2/2022 0:00,AA,6153,CLT,"Charlotte, NC",NC,36,HTS,"Ashland, WV",WV,39,1057,1051,1217,1234,0,0,235
1/2/2022 0:00,G4,1639,PGD,"Punta Gorda, FL",FL,33,HTS,"Ashland, WV",WV,39,1237,,1436,,1,0,790
1/3/2022 0:00,AA,6145,CLT,"Charlotte, NC",NC,36,HTS,"Ashland, WV",WV,39,2232,2229,2357,2344,0,0,235
1/3/2022 0:00,AA,6153,CLT,"Charlotte, NC",NC,36,HTS,"Ashland, WV",WV,39,1057,1421,1217,1543,0,0,235
1/3/2022 0:00,G4,1944,PIE,"St. Petersburg, FL",FL,33,HTS,"Ashland, WV",WV,39,1227,1251,1419,1500,0,0,721
1/3/2022 0:00,G4,2281,SFB,"Sanford, FL",FL,33,HTS,"Ashland, WV",WV,39,1842,1858,2031,2051,0,0,665
1/4/2022 0:00,AA,6145,CLT,"Charlotte, NC",NC,36,HTS,"Ashland, WV",WV,39,1830,1839,1955,1956,0,0,235
1/4/2022 0:00,AA,6153,CLT,"Charlotte, NC",NC,36,HTS,"Ashland, WV",WV,39,1057,1133,1218,1244,0,0,235
1/5/2022 0:00,AA,6145,CLT,"Charlotte, NC",NC,36,HTS,"Ashland, WV",WV,39,2237,2228,2359,2346,0,0,235
1/5/2022 0:00,AA,6153,CLT,"Charlotte, NC",NC,36,HTS,"Ashland, WV",WV,39,1057,1047,1218,1158,0,0,235
