FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/2/2022 0:00,G4,1675,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,810,834,1054,1106,0,0,1129
1/2/2022 0:00,G4,1881,PIE,"St. Petersburg, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1628,1620,1902,1843,0,0,1069
1/3/2022 0:00,G4,1675,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,830,813,1114,1055,0,0,1129
1/3/2022 0:00,G4,2301,SFB,"Sanford, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1556,1547,1828,1816,0,0,996
1/6/2022 0:00,G4,1911,PIE,"St. Petersburg, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1603,1600,1839,1833,0,0,1069
1/7/2022 0:00,G4,1632,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,750,741,1037,1027,0,0,1129
1/7/2022 0:00,G4,508,SFB,"Sanford, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1530,1601,1759,1827,0,0,996
1/8/2022 0:00,G4,1616,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1506,1528,1753,1805,0,0,1129
1/9/2022 0:00,G4,1911,PIE,"St. Petersburg, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1606,1605,1842,1836,0,0,1069
1/10/2022 0:00,G4,1632,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,750,744,1037,1019,0,0,1129
1/10/2022 0:00,G4,508,SFB,"Sanford, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1530,1512,1759,1749,0,0,996
1/13/2022 0:00,G4,1911,PIE,"St. Petersburg, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1603,1557,1839,,1,0,1069
1/14/2022 0:00,G4,1632,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,740,734,1027,1039,0,0,1129
1/14/2022 0:00,G4,454,SFB,"Sanford, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1449,1437,1718,1720,0,0,996
1/15/2022 0:00,G4,1616,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1506,1543,1753,1829,0,0,1129
1/16/2022 0:00,G4,1911,PIE,"St. Petersburg, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1606,1559,1842,1829,0,0,1069
1/17/2022 0:00,G4,1632,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,740,,1027,,1,0,1129
1/17/2022 0:00,G4,454,SFB,"Sanford, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1449,,1718,,1,0,996
1/20/2022 0:00,G4,1911,PIE,"St. Petersburg, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1603,1606,1839,1910,0,0,1069
1/21/2022 0:00,G4,1632,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,740,725,1027,1000,0,0,1129
1/21/2022 0:00,G4,454,SFB,"Sanford, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1449,1454,1718,1715,0,0,996
1/22/2022 0:00,G4,1616,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1506,1533,1753,1811,0,0,1129
1/23/2022 0:00,G4,1911,PIE,"St. Petersburg, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1606,1611,1842,1843,0,0,1069
1/24/2022 0:00,G4,1632,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,740,733,1027,1020,0,0,1129
1/24/2022 0:00,G4,454,SFB,"Sanford, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1449,1516,1718,1754,0,0,996
1/27/2022 0:00,G4,1911,PIE,"St. Petersburg, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1603,1559,1839,1836,0,0,1069
1/28/2022 0:00,G4,1632,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,750,737,1037,1026,0,0,1129
1/28/2022 0:00,G4,2299,SFB,"Sanford, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,615,606,844,841,0,0,996
1/29/2022 0:00,G4,1616,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1506,1535,1753,1829,0,0,1129
1/30/2022 0:00,G4,1911,PIE,"St. Petersburg, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,1606,1554,1842,1845,0,0,1069
1/31/2022 0:00,G4,1632,PGD,"Punta Gorda, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,750,801,1037,1107,0,0,1129
1/31/2022 0:00,G4,2299,SFB,"Sanford, FL",FL,33,IAG,"Niagara Falls, NY",NY,22,615,602,844,839,0,0,996
