FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1022,LGA,"New York, NY",NY,22,IAH,"Houston, TX",TX,74,1915,1908,2226,2217,0,0,1416
1/1/2022 0:00,AA,1050,MIA,"Miami, FL",FL,33,IAH,"Houston, TX",TX,74,2210,2204,4,2339,0,0,964
1/1/2022 0:00,AA,1465,MIA,"Miami, FL",FL,33,IAH,"Houston, TX",TX,74,903,1116,1103,1303,0,0,964
1/1/2022 0:00,AA,1472,DFW,"Dallas/Fort Worth, TX",TX,74,IAH,"Houston, TX",TX,74,1020,1016,1130,1128,0,0,224
1/1/2022 0:00,AA,1474,DFW,"Dallas/Fort Worth, TX",TX,74,IAH,"Houston, TX",TX,74,1435,1441,1548,1548,0,0,224
1/1/2022 0:00,AA,1478,CLT,"Charlotte, NC",NC,36,IAH,"Houston, TX",TX,74,1115,1110,1312,1235,0,0,912
1/1/2022 0:00,AA,1840,CLT,"Charlotte, NC",NC,36,IAH,"Houston, TX",TX,74,2240,2232,31,12,0,0,912
1/1/2022 0:00,AA,2209,DFW,"Dallas/Fort Worth, TX",TX,74,IAH,"Houston, TX",TX,74,2104,2127,2218,2248,0,0,224
1/1/2022 0:00,AA,2212,DFW,"Dallas/Fort Worth, TX",TX,74,IAH,"Houston, TX",TX,74,1855,1951,2013,2112,0,0,224
1/1/2022 0:00,AA,2230,MIA,"Miami, FL",FL,33,IAH,"Houston, TX",TX,74,2105,2100,2306,2236,0,0,964
1/1/2022 0:00,AA,2438,DFW,"Dallas/Fort Worth, TX",TX,74,IAH,"Houston, TX",TX,74,1640,1646,1750,1753,0,0,224
1/1/2022 0:00,AA,3662,MIA,"Miami, FL",FL,33,IAH,"Houston, TX",TX,74,1019,1018,1218,1200,0,0,964
1/1/2022 0:00,AA,3971,MIA,"Miami, FL",FL,33,IAH,"Houston, TX",TX,74,1426,1424,1621,1607,0,0,964
1/1/2022 0:00,AA,414,ORD,"Chicago, IL",IL,41,IAH,"Houston, TX",TX,74,1510,1508,1800,1835,0,0,925
1/1/2022 0:00,AA,4813,PHL,"Philadelphia, PA",PA,23,IAH,"Houston, TX",TX,74,1950,2237,2252,132,0,0,1325
1/1/2022 0:00,AA,5018,LGA,"New York, NY",NY,22,IAH,"Houston, TX",TX,74,1329,1417,1643,1719,0,0,1416
1/1/2022 0:00,AA,5741,PHX,"Phoenix, AZ",AZ,81,IAH,"Houston, TX",TX,74,1733,1736,2112,2057,0,0,1009
1/1/2022 0:00,AA,5813,PHX,"Phoenix, AZ",AZ,81,IAH,"Houston, TX",TX,74,1332,1323,1710,1703,0,0,1009
1/1/2022 0:00,AA,6249,LAX,"Los Angeles, CA",CA,91,IAH,"Houston, TX",TX,74,1803,1800,2330,2301,0,0,1379
1/1/2022 0:00,AS,698,SEA,"Seattle, WA",WA,93,IAH,"Houston, TX",TX,74,831,825,1447,1435,0,0,1874
1/1/2022 0:00,AS,709,SEA,"Seattle, WA",WA,93,IAH,"Houston, TX",TX,74,1745,1753,2359,2351,0,0,1874
1/1/2022 0:00,B6,1881,JFK,"New York, NY",NY,22,IAH,"Houston, TX",TX,74,1310,1308,1629,1559,0,0,1417
1/1/2022 0:00,B6,2033,BOS,"Boston, MA",MA,13,IAH,"Houston, TX",TX,74,700,728,1048,1138,0,0,1597
1/1/2022 0:00,DL,1297,SLC,"Salt Lake City, UT",UT,87,IAH,"Houston, TX",TX,74,954,953,1406,1351,0,0,1195
1/1/2022 0:00,DL,1443,SLC,"Salt Lake City, UT",UT,87,IAH,"Houston, TX",TX,74,1750,1801,2154,2147,0,0,1195
1/1/2022 0:00,DL,1484,ATL,"Atlanta, GA",GA,34,IAH,"Houston, TX",TX,74,955,1019,1115,1130,0,0,689
1/1/2022 0:00,DL,1687,ATL,"Atlanta, GA",GA,34,IAH,"Houston, TX",TX,74,2247,2259,2356,18,0,0,689
1/1/2022 0:00,DL,2521,ATL,"Atlanta, GA",GA,34,IAH,"Houston, TX",TX,74,1555,1554,1707,1659,0,0,689
1/1/2022 0:00,DL,2695,ATL,"Atlanta, GA",GA,34,IAH,"Houston, TX",TX,74,1240,1238,1352,1345,0,0,689
1/1/2022 0:00,DL,2904,ATL,"Atlanta, GA",GA,34,IAH,"Houston, TX",TX,74,1835,,1946,,1,0,689
1/1/2022 0:00,DL,2931,LGA,"New York, NY",NY,22,IAH,"Houston, TX",TX,74,1059,1107,1430,1359,0,0,1416
1/1/2022 0:00,DL,3547,MSP,"Minneapolis, MN",MN,63,IAH,"Houston, TX",TX,74,1940,1946,2246,2251,0,0,1034
