FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1582,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,1110,1104,1209,1147,0,0,185
1/1/2022 0:00,AA,1999,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,2010,2007,2105,2056,0,0,185
1/1/2022 0:00,AA,4579,LGA,"New York, NY",NY,22,ILM,"Wilmington, NC",NC,36,840,837,1035,1013,0,0,500
1/1/2022 0:00,AA,4696,DCA,"Washington, DC",VA,38,ILM,"Wilmington, NC",NC,36,831,907,1005,1032,0,0,319
1/1/2022 0:00,AA,4834,LGA,"New York, NY",NY,22,ILM,"Wilmington, NC",NC,36,1710,1706,1902,1907,0,0,500
1/1/2022 0:00,AA,4855,LGA,"New York, NY",NY,22,ILM,"Wilmington, NC",NC,36,1240,1237,1432,1416,0,0,500
1/1/2022 0:00,AA,5054,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,902,857,1012,949,0,0,185
1/1/2022 0:00,AA,5308,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,1435,1433,1541,1529,0,0,185
1/1/2022 0:00,AA,5317,DCA,"Washington, DC",VA,38,ILM,"Wilmington, NC",NC,36,1359,1359,1532,1517,0,0,319
1/1/2022 0:00,AA,5385,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,1624,1631,1733,1725,0,0,185
1/1/2022 0:00,AA,6099,PHL,"Philadelphia, PA",PA,23,ILM,"Wilmington, NC",NC,36,2020,2014,2218,2153,0,0,413
1/1/2022 0:00,AA,884,DFW,"Dallas/Fort Worth, TX",TX,74,ILM,"Wilmington, NC",NC,36,2006,2012,2335,2349,0,0,1106
1/1/2022 0:00,DL,4653,ATL,"Atlanta, GA",GA,34,ILM,"Wilmington, NC",NC,36,1300,1258,1414,1420,0,0,377
1/1/2022 0:00,DL,4675,ATL,"Atlanta, GA",GA,34,ILM,"Wilmington, NC",NC,36,2055,2050,2212,2205,0,0,377
1/1/2022 0:00,DL,5147,ATL,"Atlanta, GA",GA,34,ILM,"Wilmington, NC",NC,36,920,917,1040,1029,0,0,377
1/1/2022 0:00,UA,3873,IAD,"Washington, DC",VA,38,ILM,"Wilmington, NC",NC,36,1100,1111,1234,1245,0,0,323
1/2/2022 0:00,AA,1582,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,1110,1133,1209,1222,0,0,185
1/2/2022 0:00,AA,1999,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,2010,2005,2105,2055,0,0,185
1/2/2022 0:00,AA,4579,LGA,"New York, NY",NY,22,ILM,"Wilmington, NC",NC,36,838,833,1033,1029,0,0,500
1/2/2022 0:00,AA,4696,DCA,"Washington, DC",VA,38,ILM,"Wilmington, NC",NC,36,831,830,1005,1003,0,0,319
1/2/2022 0:00,AA,4834,LGA,"New York, NY",NY,22,ILM,"Wilmington, NC",NC,36,1944,2104,2135,2305,0,0,500
1/2/2022 0:00,AA,4855,LGA,"New York, NY",NY,22,ILM,"Wilmington, NC",NC,36,1550,1545,1743,1816,0,0,500
1/2/2022 0:00,AA,5054,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,921,915,1037,1012,0,0,185
1/2/2022 0:00,AA,5308,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,1435,1449,1541,1542,0,0,185
1/2/2022 0:00,AA,5317,DCA,"Washington, DC",VA,38,ILM,"Wilmington, NC",NC,36,1506,1731,1643,1917,0,0,319
1/2/2022 0:00,AA,5385,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,1624,1638,1733,1738,0,0,185
1/2/2022 0:00,AA,5483,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,2242,105,2355,200,0,0,185
1/2/2022 0:00,AA,6099,PHL,"Philadelphia, PA",PA,23,ILM,"Wilmington, NC",NC,36,2020,2012,2218,2147,0,0,413
1/2/2022 0:00,AA,6174,PHL,"Philadelphia, PA",PA,23,ILM,"Wilmington, NC",NC,36,1515,1540,1657,1722,0,0,413
1/2/2022 0:00,AA,6209,PHL,"Philadelphia, PA",PA,23,ILM,"Wilmington, NC",NC,36,930,927,1117,1102,0,0,413
1/2/2022 0:00,AA,884,DFW,"Dallas/Fort Worth, TX",TX,74,ILM,"Wilmington, NC",NC,36,2006,2110,2335,42,0,0,1106
1/2/2022 0:00,DL,4653,ATL,"Atlanta, GA",GA,34,ILM,"Wilmington, NC",NC,36,1220,1515,1336,1640,0,0,377
1/2/2022 0:00,DL,4675,ATL,"Atlanta, GA",GA,34,ILM,"Wilmington, NC",NC,36,2055,2052,2213,2206,0,0,377
1/2/2022 0:00,DL,5147,ATL,"Atlanta, GA",GA,34,ILM,"Wilmington, NC",NC,36,920,915,1041,1036,0,0,377
1/2/2022 0:00,DL,5524,ATL,"Atlanta, GA",GA,34,ILM,"Wilmington, NC",NC,36,1620,,1737,,1,0,377
1/2/2022 0:00,UA,3873,IAD,"Washington, DC",VA,38,ILM,"Wilmington, NC",NC,36,1100,1054,1234,1217,0,0,323
1/3/2022 0:00,AA,1582,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,1110,1114,1209,1208,0,0,185
1/3/2022 0:00,AA,1999,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,2010,2016,2105,2110,0,0,185
1/3/2022 0:00,AA,4579,LGA,"New York, NY",NY,22,ILM,"Wilmington, NC",NC,36,840,840,1035,1038,0,0,500
1/3/2022 0:00,AA,4696,DCA,"Washington, DC",VA,38,ILM,"Wilmington, NC",NC,36,831,,1005,,1,0,319
1/3/2022 0:00,AA,4834,LGA,"New York, NY",NY,22,ILM,"Wilmington, NC",NC,36,1944,1941,2135,2125,0,0,500
1/3/2022 0:00,AA,4855,LGA,"New York, NY",NY,22,ILM,"Wilmington, NC",NC,36,1550,1604,1743,1807,0,0,500
1/3/2022 0:00,AA,5054,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,921,928,1037,1047,0,0,185
1/3/2022 0:00,AA,5308,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,1435,1633,1541,1733,0,0,185
1/3/2022 0:00,AA,5317,DCA,"Washington, DC",VA,38,ILM,"Wilmington, NC",NC,36,1459,,1632,,1,0,319
1/3/2022 0:00,AA,5385,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,1624,1753,1733,1853,0,0,185
1/3/2022 0:00,AA,5483,CLT,"Charlotte, NC",NC,36,ILM,"Wilmington, NC",NC,36,2242,2245,2355,3,0,0,185
1/3/2022 0:00,AA,6099,PHL,"Philadelphia, PA",PA,23,ILM,"Wilmington, NC",NC,36,2020,2014,2218,2156,0,0,413
1/3/2022 0:00,AA,6174,PHL,"Philadelphia, PA",PA,23,ILM,"Wilmington, NC",NC,36,1515,1558,1657,1729,0,0,413
1/3/2022 0:00,AA,6209,PHL,"Philadelphia, PA",PA,23,ILM,"Wilmington, NC",NC,36,930,930,1117,1125,0,0,413
1/3/2022 0:00,AA,884,DFW,"Dallas/Fort Worth, TX",TX,74,ILM,"Wilmington, NC",NC,36,2006,2055,2335,28,0,0,1106
