FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,6071,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1250,1241,1449,1430,0,0,557
1/1/2022 0:00,AA,6122,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,2029,,2231,,1,0,557
1/1/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1550,1545,1717,904,0,1,353
1/1/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1105,1312,1224,1414,0,0,250
1/1/2022 0:00,UA,3866,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1730,,1855,,1,0,250
1/2/2022 0:00,AA,6071,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1250,1241,1449,1434,0,0,557
1/2/2022 0:00,AA,6122,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,2029,2039,2231,2246,0,0,557
1/2/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1434,1513,1617,0,0,353
1/2/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1105,1058,1224,1215,0,0,250
1/2/2022 0:00,UA,3866,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1730,1738,1855,1915,0,0,250
1/3/2022 0:00,AA,6071,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1250,1431,1449,1630,0,0,557
1/3/2022 0:00,AA,6122,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,2029,2044,2231,2235,0,0,557
1/3/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1356,1513,1511,0,0,353
1/3/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1105,,1224,,1,0,250
1/3/2022 0:00,UA,3866,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1730,1907,1855,2022,0,0,250
1/4/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1254,1402,1446,1536,0,0,557
1/4/2022 0:00,AA,5694,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1650,1639,1847,1841,0,0,557
1/4/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1342,1513,1445,0,0,353
1/4/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1105,1057,1224,1207,0,0,250
1/4/2022 0:00,UA,3940,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,2205,2205,2319,2320,0,0,250
1/5/2022 0:00,AA,5121,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,2051,2048,2250,2235,0,0,557
1/5/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1254,1247,1446,1422,0,0,557
1/5/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1342,1513,1455,0,0,353
1/5/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1108,1118,1227,1236,0,0,250
1/5/2022 0:00,UA,3940,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,2205,,2319,,1,0,250
1/6/2022 0:00,AA,5121,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,2051,2051,2250,2230,0,0,557
1/6/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1254,1249,1446,1423,0,0,557
1/6/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1344,1513,1454,0,0,353
1/6/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1108,1102,1227,1218,0,0,250
1/6/2022 0:00,UA,3940,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,2205,2155,2319,2305,0,0,250
1/7/2022 0:00,AA,5121,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,2051,2043,2250,2231,0,0,557
1/7/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1254,1245,1446,1439,0,0,557
1/7/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1344,1513,1500,0,0,353
1/7/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1108,1229,1227,1328,0,0,250
1/7/2022 0:00,UA,3940,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,2205,2200,2319,2320,0,0,250
1/8/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1254,1241,1446,1421,0,0,557
1/8/2022 0:00,AA,5694,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1650,1726,1847,1906,0,0,557
1/8/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1344,1513,1449,0,0,353
1/8/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1108,1230,1227,1332,0,0,250
1/8/2022 0:00,UA,3940,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,2205,2200,2319,2305,0,0,250
1/9/2022 0:00,AA,5121,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,2051,2141,2250,2352,0,0,557
1/9/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1254,1243,1446,1418,0,0,557
1/9/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1342,1513,1455,0,0,353
1/9/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1108,1056,1227,1210,0,0,250
1/9/2022 0:00,UA,3940,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,2205,2155,2319,2258,0,0,250
1/10/2022 0:00,AA,5121,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,2051,2045,2250,2232,0,0,557
1/10/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1254,1250,1446,1429,0,0,557
1/10/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1342,1513,1454,0,0,353
1/10/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1108,1101,1227,1203,0,0,250
1/10/2022 0:00,UA,3940,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,2205,2209,2319,2316,0,0,250
1/11/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1254,1557,1446,1733,0,0,557
1/11/2022 0:00,AA,5694,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1650,1645,1847,1833,0,0,557
1/11/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1340,1513,1453,0,0,353
1/11/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1108,1057,1227,1208,0,0,250
1/11/2022 0:00,UA,3940,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,2205,2154,2319,2309,0,0,250
1/12/2022 0:00,AA,5121,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,2051,2045,2250,2231,0,0,557
1/12/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1254,1242,1446,1432,0,0,557
1/12/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1344,1513,1449,0,0,353
1/12/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1108,1210,1227,1314,0,0,250
1/12/2022 0:00,UA,3940,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,2205,,2319,,1,0,250
1/13/2022 0:00,AA,5121,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,2051,2046,2250,2230,0,0,557
1/13/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1254,1246,1446,1426,0,0,557
1/13/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1340,1513,1447,0,0,353
1/13/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1108,,1227,,1,0,250
1/13/2022 0:00,UA,3940,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,2205,2206,2319,2314,0,0,250
1/14/2022 0:00,AA,5121,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,2051,2043,2250,2239,0,0,557
1/14/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1254,1242,1446,1436,0,0,557
1/14/2022 0:00,DL,5338,DTW,"Detroit, MI",MI,43,ITH,"Ithaca/Cortland, NY",NY,22,1345,1340,1513,1518,0,0,353
1/14/2022 0:00,UA,3729,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,1108,1058,1227,1205,0,0,250
1/14/2022 0:00,UA,3940,IAD,"Washington, DC",VA,38,ITH,"Ithaca/Cortland, NY",NY,22,2205,2203,2319,2305,0,0,250
1/15/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1254,1248,1446,1427,0,0,557
1/15/2022 0:00,AA,5694,CLT,"Charlotte, NC",NC,36,ITH,"Ithaca/Cortland, NY",NY,22,1650,,1847,,1,0,557
