FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1270,DFW,"Dallas/Fort Worth, TX",TX,74,JAX,"Jacksonville, FL",FL,33,1515,1513,1829,1834,0,0,918
1/1/2022 0:00,AA,1305,DFW,"Dallas/Fort Worth, TX",TX,74,JAX,"Jacksonville, FL",FL,33,2041,2047,2359,13,0,0,918
1/1/2022 0:00,AA,1545,MIA,"Miami, FL",FL,33,JAX,"Jacksonville, FL",FL,33,1819,1816,1937,1945,0,0,335
1/1/2022 0:00,AA,1606,MIA,"Miami, FL",FL,33,JAX,"Jacksonville, FL",FL,33,1702,1726,1821,1838,0,0,335
1/1/2022 0:00,AA,1818,DCA,"Washington, DC",VA,38,JAX,"Jacksonville, FL",FL,33,1945,2000,2159,2155,0,0,634
1/1/2022 0:00,AA,2004,CLT,"Charlotte, NC",NC,36,JAX,"Jacksonville, FL",FL,33,1832,1828,1959,1943,0,0,328
1/1/2022 0:00,AA,2100,MIA,"Miami, FL",FL,33,JAX,"Jacksonville, FL",FL,33,1230,1237,1354,1351,0,0,335
1/1/2022 0:00,AA,2449,DFW,"Dallas/Fort Worth, TX",TX,74,JAX,"Jacksonville, FL",FL,33,1917,2015,2234,2340,0,0,918
1/1/2022 0:00,AA,3562,MIA,"Miami, FL",FL,33,JAX,"Jacksonville, FL",FL,33,1105,,1254,,1,0,335
1/1/2022 0:00,AA,3563,MIA,"Miami, FL",FL,33,JAX,"Jacksonville, FL",FL,33,851,909,1017,1022,0,0,335
1/1/2022 0:00,AA,3570,MIA,"Miami, FL",FL,33,JAX,"Jacksonville, FL",FL,33,2243,2259,5,15,0,0,335
1/1/2022 0:00,AA,3709,ORD,"Chicago, IL",IL,41,JAX,"Jacksonville, FL",FL,33,1259,1304,1633,1644,0,0,864
1/1/2022 0:00,AA,3790,DCA,"Washington, DC",VA,38,JAX,"Jacksonville, FL",FL,33,829,826,1040,1024,0,0,634
1/1/2022 0:00,AA,4223,AUS,"Austin, TX",TX,74,JAX,"Jacksonville, FL",FL,33,1347,1343,1709,1652,0,0,954
1/1/2022 0:00,AA,4908,PHL,"Philadelphia, PA",PA,23,JAX,"Jacksonville, FL",FL,33,2010,2015,2244,2225,0,0,742
1/1/2022 0:00,AA,5410,CLT,"Charlotte, NC",NC,36,JAX,"Jacksonville, FL",FL,33,1620,1623,1747,1733,0,0,328
1/1/2022 0:00,AA,5509,CLT,"Charlotte, NC",NC,36,JAX,"Jacksonville, FL",FL,33,1314,1308,1450,1431,0,0,328
1/1/2022 0:00,AA,5615,DCA,"Washington, DC",VA,38,JAX,"Jacksonville, FL",FL,33,1425,1424,1636,1628,0,0,634
1/1/2022 0:00,AA,5676,PHL,"Philadelphia, PA",PA,23,JAX,"Jacksonville, FL",FL,33,800,818,1016,1028,0,0,742
1/1/2022 0:00,AA,677,CLT,"Charlotte, NC",NC,36,JAX,"Jacksonville, FL",FL,33,2054,2048,2224,2158,0,0,328
1/1/2022 0:00,AA,687,DFW,"Dallas/Fort Worth, TX",TX,74,JAX,"Jacksonville, FL",FL,33,1015,1019,1329,1337,0,0,918
1/1/2022 0:00,AA,843,MIA,"Miami, FL",FL,33,JAX,"Jacksonville, FL",FL,33,2155,2213,2314,2331,0,0,335
1/1/2022 0:00,B6,1018,FLL,"Fort Lauderdale, FL",FL,33,JAX,"Jacksonville, FL",FL,33,1135,1131,1258,1300,0,0,319
1/1/2022 0:00,B6,109,BOS,"Boston, MA",MA,13,JAX,"Jacksonville, FL",FL,33,845,900,1150,1150,0,0,1010
1/1/2022 0:00,B6,1209,BOS,"Boston, MA",MA,13,JAX,"Jacksonville, FL",FL,33,1230,1422,1534,1707,0,0,1010
1/1/2022 0:00,B6,1277,JFK,"New York, NY",NY,22,JAX,"Jacksonville, FL",FL,33,2030,2222,2314,113,0,0,828
1/1/2022 0:00,B6,1677,JFK,"New York, NY",NY,22,JAX,"Jacksonville, FL",FL,33,1530,1525,1815,1802,0,0,828
1/1/2022 0:00,B6,2339,LGA,"New York, NY",NY,22,JAX,"Jacksonville, FL",FL,33,1610,1632,1859,1902,0,0,833
1/1/2022 0:00,B6,249,LGA,"New York, NY",NY,22,JAX,"Jacksonville, FL",FL,33,630,616,909,821,0,0,833
1/1/2022 0:00,B6,2618,FLL,"Fort Lauderdale, FL",FL,33,JAX,"Jacksonville, FL",FL,33,2240,2233,2356,2340,0,0,319
1/1/2022 0:00,B6,2797,LAX,"Los Angeles, CA",CA,91,JAX,"Jacksonville, FL",FL,33,2315,,644,,1,0,2153
1/1/2022 0:00,B6,463,EWR,"Newark, NJ",NJ,21,JAX,"Jacksonville, FL",FL,33,920,915,1213,1135,0,0,820
1/1/2022 0:00,B6,677,JFK,"New York, NY",NY,22,JAX,"Jacksonville, FL",FL,33,800,1042,1043,1313,0,0,828
