FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5137,ORD,"Chicago, IL",IL,41,JST,"Johnstown, PA",PA,23,1945,,2232,,1,0,487
1/1/2022 0:00,UA,5166,IAD,"Washington, DC",VA,38,JST,"Johnstown, PA",PA,23,1110,1105,1215,1227,0,0,120
1/2/2022 0:00,UA,5137,ORD,"Chicago, IL",IL,41,JST,"Johnstown, PA",PA,23,1945,1951,2232,2248,0,0,487
1/2/2022 0:00,UA,5166,IAD,"Washington, DC",VA,38,JST,"Johnstown, PA",PA,23,1110,1106,1215,1201,0,0,120
1/3/2022 0:00,UA,5137,ORD,"Chicago, IL",IL,41,JST,"Johnstown, PA",PA,23,1945,1941,2232,2226,0,0,487
1/3/2022 0:00,UA,5166,IAD,"Washington, DC",VA,38,JST,"Johnstown, PA",PA,23,1110,,1215,,1,0,120
1/4/2022 0:00,UA,5137,ORD,"Chicago, IL",IL,41,JST,"Johnstown, PA",PA,23,1815,1823,2102,2126,0,0,487
1/4/2022 0:00,UA,5166,IAD,"Washington, DC",VA,38,JST,"Johnstown, PA",PA,23,1035,1030,1140,1143,0,0,120
1/5/2022 0:00,UA,5137,ORD,"Chicago, IL",IL,41,JST,"Johnstown, PA",PA,23,1815,1808,2102,2044,0,0,487
1/5/2022 0:00,UA,5166,IAD,"Washington, DC",VA,38,JST,"Johnstown, PA",PA,23,1035,1025,1140,1117,0,0,120
1/6/2022 0:00,UA,5137,ORD,"Chicago, IL",IL,41,JST,"Johnstown, PA",PA,23,1815,,2102,,1,0,487
1/6/2022 0:00,UA,5166,IAD,"Washington, DC",VA,38,JST,"Johnstown, PA",PA,23,1035,1051,1140,1134,0,0,120
1/7/2022 0:00,UA,5137,ORD,"Chicago, IL",IL,41,JST,"Johnstown, PA",PA,23,1815,1807,2102,2105,0,0,487
1/7/2022 0:00,UA,5166,IAD,"Washington, DC",VA,38,JST,"Johnstown, PA",PA,23,1035,,1140,,1,0,120
1/8/2022 0:00,UA,5137,ORD,"Chicago, IL",IL,41,JST,"Johnstown, PA",PA,23,1815,2124,2102,31,0,0,487
