FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1341,1344,1541,1650,0,0,179
1/1/2022 0:00,AA,4406,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1730,,1930,,1,0,179
1/1/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1319,1341,1510,1530,0,0,479
1/1/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,905,900,1002,937,0,0,74
1/1/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2120,,2211,,1,0,74
1/1/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1645,1641,1738,1741,0,0,74
1/1/2022 0:00,UA,5730,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,2110,,2317,,1,0,179
1/2/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1040,,1247,,1,0,179
1/2/2022 0:00,AA,4406,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1505,1551,1705,1749,0,0,179
1/2/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1355,1505,1550,1642,0,0,479
1/2/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1025,1259,1121,1350,0,0,74
1/2/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2259,2306,2351,2352,0,0,74
1/2/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1645,1654,1739,1730,0,0,74
1/2/2022 0:00,UA,5730,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,2110,2107,2317,2259,0,0,179
1/3/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1040,1040,1247,1246,0,0,179
1/3/2022 0:00,AA,4406,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1505,1507,1705,1652,0,0,179
1/3/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1305,,1457,,1,0,479
1/3/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1025,1136,1121,1213,0,0,74
1/3/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2259,2257,2351,2352,0,0,74
1/3/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1645,1643,1739,1723,0,0,74
1/4/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1510,1459,1715,1647,0,0,179
1/4/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,1353,1453,1554,0,0,479
1/4/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1025,1025,1121,1058,0,0,74
1/4/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2259,2303,2351,2346,0,0,74
1/4/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1645,1653,1739,1731,0,0,74
1/5/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1510,1509,1715,1709,0,0,179
1/5/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,1258,1453,1435,0,0,479
1/5/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1245,1342,1323,0,0,74
1/5/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,835,942,907,0,0,74
1/5/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2255,13,2357,105,0,0,74
1/5/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1630,1634,1721,1732,0,0,74
1/6/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1510,1509,1715,1705,0,0,179
1/6/2022 0:00,AA,4406,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,2030,2042,2247,2243,0,0,179
1/6/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,,1453,,1,0,479
1/6/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1245,1342,1331,0,0,74
1/6/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,835,942,937,0,0,74
1/6/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2255,2301,2357,2352,0,0,74
1/6/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1630,1709,1721,1809,0,0,74
1/7/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1510,1541,1715,1733,0,0,179
1/7/2022 0:00,AA,4406,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,2030,2028,2247,2256,0,0,179
1/7/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,,1453,,1,0,479
1/7/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1247,1342,1329,0,0,74
1/7/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,847,942,929,0,0,74
1/7/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2255,2300,2357,2339,0,0,74
1/7/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1630,1648,1721,1724,0,0,74
1/8/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1245,1241,1450,1429,0,0,179
1/8/2022 0:00,AA,4406,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1540,1538,1746,1816,0,0,179
1/8/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1245,1342,1324,0,0,74
1/8/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,839,942,937,0,0,74
1/8/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2150,2148,2244,2251,0,0,74
1/9/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1510,1513,1715,1703,0,0,179
1/9/2022 0:00,AA,4406,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,2030,2024,2247,2218,0,0,179
1/9/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,1302,1453,1450,0,0,479
1/9/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1248,1342,1326,0,0,74
1/9/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,835,942,910,0,0,74
1/9/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2255,2252,2357,2323,0,0,74
1/9/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1630,1627,1721,1708,0,0,74
1/10/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1510,1507,1715,1705,0,0,179
1/10/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,1259,1453,1449,0,0,479
1/10/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1253,1342,1328,0,0,74
1/10/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,840,942,915,0,0,74
1/10/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2255,2252,2357,2331,0,0,74
1/10/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1630,1701,1721,1739,0,0,74
1/11/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1510,1505,1715,1651,0,0,179
1/11/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,1252,1453,1447,0,0,479
1/11/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1245,1342,1317,0,0,74
1/11/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,836,942,924,0,0,74
1/11/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2255,2254,2357,130,0,1,74
1/11/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1630,1627,1721,1705,0,0,74
1/12/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1510,1509,1715,1707,0,0,179
1/12/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,1319,1453,1456,0,0,479
1/12/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1246,1342,1330,0,0,74
1/12/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,833,942,923,0,0,74
1/12/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2255,2251,2357,2333,0,0,74
1/12/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1630,1626,1721,1703,0,0,74
1/13/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1510,1507,1715,1701,0,0,179
1/13/2022 0:00,AA,4406,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,2030,2027,2247,2233,0,0,179
1/13/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,1334,1453,1512,0,0,479
1/13/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1245,1342,1322,0,0,74
1/13/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,835,942,912,0,0,74
1/13/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2255,2256,2357,2333,0,0,74
1/13/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1630,1635,1721,1706,0,0,74
1/14/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,1254,1453,1446,0,0,479
1/14/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1248,1342,1346,0,0,74
1/14/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,839,942,957,0,0,74
1/14/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2255,2303,2357,2400,0,0,74
1/14/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1630,1628,1721,1702,0,0,74
1/15/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1245,1245,1450,1502,0,0,179
1/15/2022 0:00,AA,4406,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1540,1545,1746,1743,0,0,179
1/15/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1245,1342,1317,0,0,74
1/15/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,837,942,909,0,0,74
1/15/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2150,2145,2244,2226,0,0,74
1/16/2022 0:00,AA,4406,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,2030,2026,2247,2247,0,0,179
1/16/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,1513,1453,,1,0,479
1/16/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1245,1342,1323,0,0,74
1/16/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,835,942,930,0,0,74
1/16/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2255,2300,2357,2351,0,0,74
1/17/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1510,1504,1715,1655,0,0,179
1/17/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,,1453,,1,0,479
1/17/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1245,1342,1323,0,0,74
1/17/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,1056,942,1146,0,0,74
1/17/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2255,2251,2357,2,0,0,74
1/17/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1630,1631,1721,1730,0,0,74
1/18/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1510,1519,1715,1726,0,0,179
1/18/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1300,1501,1453,1655,0,0,479
1/18/2022 0:00,DL,4815,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1250,1240,1342,1321,0,0,74
1/18/2022 0:00,DL,5321,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,840,836,942,929,0,0,74
1/18/2022 0:00,DL,5443,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,2255,2254,2357,2327,0,0,74
1/18/2022 0:00,DL,5505,DTW,"Detroit, MI",MI,43,LAN,"Lansing, MI",MI,43,1630,1626,1721,1713,0,0,74
1/19/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1510,1505,1715,1652,0,0,179
