FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1615,,1831,,1,0,280
1/2/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1617,1616,1833,1817,0,0,280
1/2/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,,1044,,1,0,280
1/3/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1615,1805,1831,2001,0,0,280
1/3/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,814,1044,1022,0,0,280
1/4/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1615,1836,1822,0,0,280
1/5/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,,1836,,1,0,280
1/5/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,,1044,,1,0,280
1/6/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1909,1836,2113,0,0,280
1/6/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,823,1044,1044,0,0,280
1/7/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1645,1836,1845,0,0,280
1/7/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,823,1044,1028,0,0,280
1/8/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1615,1836,1824,0,0,280
1/9/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1620,1836,1828,0,0,280
1/9/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,939,1044,1145,0,0,280
1/10/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1610,1836,1817,0,0,280
1/10/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,814,1044,1009,0,0,280
1/11/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1607,1836,1817,0,0,280
1/12/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1611,1836,1817,0,0,280
1/12/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,,1044,,1,0,280
1/13/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1626,1836,1832,0,0,280
1/13/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,818,1044,1019,0,0,280
1/14/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1611,1836,1834,0,0,280
1/14/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,815,1044,1022,0,0,280
1/15/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1616,1836,1818,0,0,280
1/16/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1613,1836,1815,0,0,280
1/16/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,815,1044,1013,0,0,280
1/17/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1611,1836,1818,0,0,280
1/17/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,815,1044,1013,0,0,280
1/18/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1614,1836,1814,0,0,280
1/19/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1613,1836,1857,0,0,280
1/19/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,822,1044,1051,0,0,280
1/20/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1607,1836,1823,0,0,280
1/20/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,814,1044,1038,0,0,280
1/21/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1604,1836,1828,0,0,280
1/21/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,839,1044,1047,0,0,280
1/22/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1609,1836,1808,0,0,280
1/23/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1615,1836,1815,0,0,280
1/23/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,816,1044,1016,0,0,280
1/24/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1615,1836,1817,0,0,280
1/24/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,827,1044,1032,0,0,280
1/25/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1612,1836,1820,0,0,280
1/26/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1613,1836,1818,0,0,280
1/26/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,825,1044,1057,0,0,280
1/27/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1645,1836,1852,0,0,280
1/27/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,,1044,,1,0,280
1/28/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1719,1836,2140,0,1,280
1/28/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,816,1044,1010,0,0,280
1/29/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1609,1836,1808,0,0,280
1/30/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1610,1836,1814,0,0,280
1/30/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,815,1044,1017,0,0,280
1/31/2022 0:00,UA,5086,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,1620,1610,1836,1820,0,0,280
1/31/2022 0:00,UA,5087,DEN,"Denver, CO",CO,82,LBL,"Liberal, KS",KS,62,825,814,1044,1016,0,0,280
