FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3623,ORD,"Chicago, IL",IL,41,LSE,"La Crosse, WI",WI,45,1720,,1834,,1,0,215
1/1/2022 0:00,AA,3624,ORD,"Chicago, IL",IL,41,LSE,"La Crosse, WI",WI,45,1245,1240,1408,1408,0,0,215
1/1/2022 0:00,DL,4295,DTW,"Detroit, MI",MI,43,LSE,"La Crosse, WI",WI,45,1236,1236,1318,1302,0,0,416
1/1/2022 0:00,DL,4301,MSP,"Minneapolis, MN",MN,63,LSE,"La Crosse, WI",WI,45,1105,,1210,,1,0,119
1/1/2022 0:00,DL,4334,MSP,"Minneapolis, MN",MN,63,LSE,"La Crosse, WI",WI,45,1805,1804,1911,1920,0,0,119
1/2/2022 0:00,AA,3623,ORD,"Chicago, IL",IL,41,LSE,"La Crosse, WI",WI,45,1720,1732,1834,1833,0,0,215
1/2/2022 0:00,AA,3624,ORD,"Chicago, IL",IL,41,LSE,"La Crosse, WI",WI,45,1035,,1156,,1,0,215
1/2/2022 0:00,DL,4295,DTW,"Detroit, MI",MI,43,LSE,"La Crosse, WI",WI,45,1236,1353,1319,1415,0,0,416
1/2/2022 0:00,DL,4301,MSP,"Minneapolis, MN",MN,63,LSE,"La Crosse, WI",WI,45,1105,1120,1211,1206,0,0,119
1/2/2022 0:00,DL,4334,MSP,"Minneapolis, MN",MN,63,LSE,"La Crosse, WI",WI,45,1805,1801,1912,1904,0,0,119
1/3/2022 0:00,AA,3623,ORD,"Chicago, IL",IL,41,LSE,"La Crosse, WI",WI,45,1720,1715,1834,1818,0,0,215
1/3/2022 0:00,AA,3624,ORD,"Chicago, IL",IL,41,LSE,"La Crosse, WI",WI,45,1035,1033,1156,1159,0,0,215
1/3/2022 0:00,DL,4295,DTW,"Detroit, MI",MI,43,LSE,"La Crosse, WI",WI,45,1236,,1319,,1,0,416
1/3/2022 0:00,DL,4301,MSP,"Minneapolis, MN",MN,63,LSE,"La Crosse, WI",WI,45,1105,1105,1211,1210,0,0,119
1/3/2022 0:00,DL,4334,MSP,"Minneapolis, MN",MN,63,LSE,"La Crosse, WI",WI,45,1805,1811,1912,1856,0,0,119
