FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,4810,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,855,845,1005,922,0,0,98
1/1/2022 0:00,DL,4935,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1245,1240,1341,1325,0,0,98
1/1/2022 0:00,DL,4971,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2120,2118,2216,2238,0,0,98
1/1/2022 0:00,UA,3794,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1400,,1613,,1,0,222
1/1/2022 0:00,UA,5468,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2110,,2321,,1,0,222
1/2/2022 0:00,DL,4810,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1000,1025,1103,1202,0,0,98
1/2/2022 0:00,DL,4935,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1345,1351,1443,1434,0,0,98
1/2/2022 0:00,DL,4971,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2255,2255,2352,2348,0,0,98
1/2/2022 0:00,UA,3794,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1400,1437,1613,1640,0,0,222
1/2/2022 0:00,UA,5468,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2110,,2321,,1,0,222
1/3/2022 0:00,DL,4810,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1000,956,1103,1049,0,0,98
1/3/2022 0:00,DL,4935,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1345,1408,1443,1453,0,0,98
1/3/2022 0:00,DL,4971,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2255,2254,2352,2354,0,0,98
1/3/2022 0:00,UA,3794,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1400,1839,1613,2043,0,0,222
1/3/2022 0:00,UA,5468,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2110,2121,2321,2324,0,0,222
1/4/2022 0:00,DL,4810,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1000,1000,1103,1058,0,0,98
1/4/2022 0:00,DL,4935,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1345,1345,1443,1454,0,0,98
1/4/2022 0:00,DL,4971,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2255,2300,2352,2341,0,0,98
1/4/2022 0:00,UA,3794,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1355,1353,1608,1549,0,0,222
1/4/2022 0:00,UA,3862,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2015,2008,2235,2208,0,0,222
1/5/2022 0:00,DL,4037,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1015,,1113,,1,0,98
1/5/2022 0:00,DL,4935,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1554,1634,1650,1745,0,0,98
1/5/2022 0:00,DL,5319,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2255,2251,2352,2356,0,0,98
1/5/2022 0:00,UA,3794,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1355,1353,1608,1634,0,0,222
1/5/2022 0:00,UA,3862,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2015,2032,2235,2233,0,0,222
1/6/2022 0:00,DL,4037,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1015,1014,1113,1118,0,0,98
1/6/2022 0:00,DL,4935,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1554,1553,1650,1638,0,0,98
1/6/2022 0:00,DL,5319,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2255,2252,2352,2356,0,0,98
1/6/2022 0:00,UA,3794,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1355,1350,1608,1615,0,0,222
1/6/2022 0:00,UA,3862,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2015,2015,2235,2219,0,0,222
1/7/2022 0:00,DL,4037,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1015,1042,1113,1134,0,0,98
1/7/2022 0:00,DL,4935,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1554,1550,1650,1632,0,0,98
1/7/2022 0:00,DL,5319,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2255,2256,2352,2344,0,0,98
1/7/2022 0:00,UA,3794,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1355,1544,1608,1800,0,0,222
1/7/2022 0:00,UA,3862,ORD,"Chicago, IL",IL,41,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2015,2010,2235,2226,0,0,222
1/8/2022 0:00,DL,4037,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,1015,1338,1113,1417,0,0,98
1/8/2022 0:00,DL,5319,DTW,"Detroit, MI",MI,43,MBS,"Saginaw/Bay City/Midland, MI",MI,43,2150,2336,2248,102,0,0,98
