FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1618,DFW,"Dallas/Fort Worth, TX",TX,74,MCI,"Kansas City, MO",MO,64,1640,1717,1814,1859,0,0,460
1/1/2022 0:00,AA,1677,CLT,"Charlotte, NC",NC,36,MCI,"Kansas City, MO",MO,64,1620,1736,1749,1910,0,0,808
1/1/2022 0:00,AA,1793,ORD,"Chicago, IL",IL,41,MCI,"Kansas City, MO",MO,64,1730,,1902,,1,0,403
1/1/2022 0:00,AA,1903,CLT,"Charlotte, NC",NC,36,MCI,"Kansas City, MO",MO,64,2225,2224,2356,2348,0,0,808
1/1/2022 0:00,AA,2043,DFW,"Dallas/Fort Worth, TX",TX,74,MCI,"Kansas City, MO",MO,64,1335,1510,1509,1647,0,0,460
1/1/2022 0:00,AA,2181,MIA,"Miami, FL",FL,33,MCI,"Kansas City, MO",MO,64,2115,2150,2350,7,0,0,1251
1/1/2022 0:00,AA,2713,PHX,"Phoenix, AZ",AZ,81,MCI,"Kansas City, MO",MO,64,1647,1706,2023,2050,0,0,1044
1/1/2022 0:00,AA,3697,DFW,"Dallas/Fort Worth, TX",TX,74,MCI,"Kansas City, MO",MO,64,2225,,3,,1,0,460
1/1/2022 0:00,AA,3703,DFW,"Dallas/Fort Worth, TX",TX,74,MCI,"Kansas City, MO",MO,64,1537,1533,1713,1714,0,0,460
1/1/2022 0:00,AA,3747,DFW,"Dallas/Fort Worth, TX",TX,74,MCI,"Kansas City, MO",MO,64,1035,,1222,,1,0,460
1/1/2022 0:00,AA,3783,ORD,"Chicago, IL",IL,41,MCI,"Kansas City, MO",MO,64,1515,1513,1656,1735,0,0,403
1/1/2022 0:00,AA,4128,MIA,"Miami, FL",FL,33,MCI,"Kansas City, MO",MO,64,907,,1132,,1,0,1251
1/1/2022 0:00,AA,4248,AUS,"Austin, TX",TX,74,MCI,"Kansas City, MO",MO,64,2015,2048,2206,2232,0,0,650
1/1/2022 0:00,AA,4592,LGA,"New York, NY",NY,22,MCI,"Kansas City, MO",MO,64,1729,1723,1953,2003,0,0,1107
1/1/2022 0:00,AA,4660,DCA,"Washington, DC",VA,38,MCI,"Kansas City, MO",MO,64,1555,1550,1757,1807,0,0,949
1/1/2022 0:00,AA,4751,PHL,"Philadelphia, PA",PA,23,MCI,"Kansas City, MO",MO,64,2129,2158,2337,42,0,0,1038
1/1/2022 0:00,AA,4786,LGA,"New York, NY",NY,22,MCI,"Kansas City, MO",MO,64,1415,1416,1645,1653,0,0,1107
1/1/2022 0:00,AA,4948,PHL,"Philadelphia, PA",PA,23,MCI,"Kansas City, MO",MO,64,914,910,1122,1137,0,0,1038
1/1/2022 0:00,AA,5224,CLT,"Charlotte, NC",NC,36,MCI,"Kansas City, MO",MO,64,1408,1407,1549,1530,0,0,808
1/1/2022 0:00,AA,5235,CLT,"Charlotte, NC",NC,36,MCI,"Kansas City, MO",MO,64,1000,952,1147,1138,0,0,808
1/1/2022 0:00,AA,5718,DCA,"Washington, DC",VA,38,MCI,"Kansas City, MO",MO,64,1959,1954,2157,2235,0,0,949
1/1/2022 0:00,AS,418,SEA,"Seattle, WA",WA,93,MCI,"Kansas City, MO",MO,64,827,,1355,,1,0,1489
1/1/2022 0:00,AS,434,SEA,"Seattle, WA",WA,93,MCI,"Kansas City, MO",MO,64,1835,1838,2357,2353,0,0,1489
1/1/2022 0:00,DL,1218,SLC,"Salt Lake City, UT",UT,87,MCI,"Kansas City, MO",MO,64,1736,1753,2102,2116,0,0,920
1/1/2022 0:00,DL,1630,ATL,"Atlanta, GA",GA,34,MCI,"Kansas City, MO",MO,64,1455,,1604,,1,0,692
1/1/2022 0:00,DL,2475,DTW,"Detroit, MI",MI,43,MCI,"Kansas City, MO",MO,64,2115,2119,2221,2254,0,0,629
1/1/2022 0:00,DL,2676,ATL,"Atlanta, GA",GA,34,MCI,"Kansas City, MO",MO,64,1745,1746,1855,1850,0,0,692
1/1/2022 0:00,DL,2918,DTW,"Detroit, MI",MI,43,MCI,"Kansas City, MO",MO,64,1250,,1358,,1,0,629
1/1/2022 0:00,DL,2944,ATL,"Atlanta, GA",GA,34,MCI,"Kansas City, MO",MO,64,1215,,1323,,1,0,692
1/1/2022 0:00,DL,2979,ATL,"Atlanta, GA",GA,34,MCI,"Kansas City, MO",MO,64,2240,2240,2350,2354,0,0,692
1/1/2022 0:00,DL,3534,SEA,"Seattle, WA",WA,93,MCI,"Kansas City, MO",MO,64,1327,,1905,,1,0,1489
1/1/2022 0:00,DL,3626,MSP,"Minneapolis, MN",MN,63,MCI,"Kansas City, MO",MO,64,2115,2232,2305,7,0,0,393
1/1/2022 0:00,DL,3770,MSP,"Minneapolis, MN",MN,63,MCI,"Kansas City, MO",MO,64,1035,1038,1221,1256,0,0,393
1/1/2022 0:00,DL,5637,LGA,"New York, NY",NY,22,MCI,"Kansas City, MO",MO,64,1140,1138,1409,1429,0,0,1107
1/1/2022 0:00,DL,5786,BOS,"Boston, MA",MA,13,MCI,"Kansas City, MO",MO,64,850,919,1140,1456,0,1,1256
1/1/2022 0:00,DL,799,LAX,"Los Angeles, CA",CA,91,MCI,"Kansas City, MO",MO,64,1742,1804,2252,2315,0,0,1363
1/1/2022 0:00,G4,1689,PGD,"Punta Gorda, FL",FL,33,MCI,"Kansas City, MO",MO,64,1030,1021,1227,1256,0,0,1125
1/1/2022 0:00,G4,2002,PIE,"St. Petersburg, FL",FL,33,MCI,"Kansas City, MO",MO,64,1219,1213,1405,1405,0,0,1045
1/1/2022 0:00,NK,1181,TPA,"Tampa, FL",FL,33,MCI,"Kansas City, MO",MO,64,1050,1044,1231,1241,0,0,1048
1/1/2022 0:00,NK,1198,MCO,"Orlando, FL",FL,33,MCI,"Kansas City, MO",MO,64,1710,1742,1903,1946,0,0,1072
1/1/2022 0:00,NK,397,FLL,"Fort Lauderdale, FL",FL,33,MCI,"Kansas City, MO",MO,64,2140,2133,2350,2347,0,0,1242
1/1/2022 0:00,NK,490,LAS,"Las Vegas, NV",NV,85,MCI,"Kansas City, MO",MO,64,905,913,1350,1350,0,0,1139
1/1/2022 0:00,NK,816,LAX,"Los Angeles, CA",CA,91,MCI,"Kansas City, MO",MO,64,941,932,1500,1451,0,0,1363
1/1/2022 0:00,UA,2054,ORD,"Chicago, IL",IL,41,MCI,"Kansas City, MO",MO,64,905,909,1048,1100,0,0,403
1/1/2022 0:00,UA,2213,EWR,"Newark, NJ",NJ,21,MCI,"Kansas City, MO",MO,64,2025,2206,2248,46,0,0,1092
1/1/2022 0:00,UA,4730,DEN,"Denver, CO",CO,82,MCI,"Kansas City, MO",MO,64,1325,1607,1606,1839,0,0,533
1/1/2022 0:00,UA,5422,IAH,"Houston, TX",TX,74,MCI,"Kansas City, MO",MO,64,1420,1420,1625,1611,0,0,643
1/1/2022 0:00,UA,5447,DEN,"Denver, CO",CO,82,MCI,"Kansas City, MO",MO,64,1830,,2114,,1,0,533
1/1/2022 0:00,UA,5513,ORD,"Chicago, IL",IL,41,MCI,"Kansas City, MO",MO,64,1257,,1446,,1,0,403
1/1/2022 0:00,UA,5760,DEN,"Denver, CO",CO,82,MCI,"Kansas City, MO",MO,64,1035,1038,1319,1402,0,0,533
1/1/2022 0:00,UA,593,EWR,"Newark, NJ",NJ,21,MCI,"Kansas City, MO",MO,64,1533,,1752,,1,0,1092
1/1/2022 0:00,UA,6126,IAD,"Washington, DC",VA,38,MCI,"Kansas City, MO",MO,64,1830,1845,2028,2049,0,0,926
1/1/2022 0:00,UA,6245,IAH,"Houston, TX",TX,74,MCI,"Kansas City, MO",MO,64,1845,1919,2048,2111,0,0,643
1/1/2022 0:00,UA,6258,ORD,"Chicago, IL",IL,41,MCI,"Kansas City, MO",MO,64,1938,,2125,,1,0,403
