FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2465,DFW,"Dallas/Fort Worth, TX",TX,74,MDT,"Harrisburg, PA",PA,23,1841,1838,2235,2204,0,0,1231
1/1/2022 0:00,AA,3073,ORD,"Chicago, IL",IL,41,MDT,"Harrisburg, PA",PA,23,1505,,1755,,1,0,594
1/1/2022 0:00,AA,4085,ORD,"Chicago, IL",IL,41,MDT,"Harrisburg, PA",PA,23,1015,1017,1304,1255,0,0,594
1/1/2022 0:00,AA,4613,CLT,"Charlotte, NC",NC,36,MDT,"Harrisburg, PA",PA,23,1129,1122,1308,1245,0,0,413
1/1/2022 0:00,AA,4738,CLT,"Charlotte, NC",NC,36,MDT,"Harrisburg, PA",PA,23,1838,1940,2018,2056,0,0,413
1/1/2022 0:00,AA,5241,CLT,"Charlotte, NC",NC,36,MDT,"Harrisburg, PA",PA,23,1444,1439,1624,1616,0,0,413
1/1/2022 0:00,AA,6135,PHL,"Philadelphia, PA",PA,23,MDT,"Harrisburg, PA",PA,23,1015,1351,1126,1436,0,0,84
1/1/2022 0:00,AA,6171,PHL,"Philadelphia, PA",PA,23,MDT,"Harrisburg, PA",PA,23,1554,1545,1649,1644,0,0,84
1/1/2022 0:00,AA,6217,PHL,"Philadelphia, PA",PA,23,MDT,"Harrisburg, PA",PA,23,2005,2008,2113,2111,0,0,84
1/1/2022 0:00,AA,6220,CLT,"Charlotte, NC",NC,36,MDT,"Harrisburg, PA",PA,23,1615,1727,1757,1910,0,0,413
1/1/2022 0:00,DL,4658,ATL,"Atlanta, GA",GA,34,MDT,"Harrisburg, PA",PA,23,2125,2122,2311,2305,0,0,620
1/1/2022 0:00,DL,4869,DTW,"Detroit, MI",MI,43,MDT,"Harrisburg, PA",PA,23,1600,1552,1731,1709,0,0,371
1/1/2022 0:00,DL,5407,ATL,"Atlanta, GA",GA,34,MDT,"Harrisburg, PA",PA,23,1005,1000,1149,1137,0,0,620
1/1/2022 0:00,G4,2366,SFB,"Sanford, FL",FL,33,MDT,"Harrisburg, PA",PA,23,1634,1626,1844,1824,0,0,827
1/1/2022 0:00,G4,2591,SRQ,"Sarasota/Bradenton, FL",FL,33,MDT,"Harrisburg, PA",PA,23,1030,,1253,,1,0,942
1/1/2022 0:00,G4,928,FLL,"Fort Lauderdale, FL",FL,33,MDT,"Harrisburg, PA",PA,23,1746,,2017,,1,0,993
1/1/2022 0:00,UA,3797,ORD,"Chicago, IL",IL,41,MDT,"Harrisburg, PA",PA,23,1815,,2116,,1,0,594
1/1/2022 0:00,UA,3819,IAD,"Washington, DC",VA,38,MDT,"Harrisburg, PA",PA,23,1120,1109,1218,1210,0,0,94
1/1/2022 0:00,UA,4182,ORD,"Chicago, IL",IL,41,MDT,"Harrisburg, PA",PA,23,1400,,1659,,1,0,594
1/2/2022 0:00,AA,2465,DFW,"Dallas/Fort Worth, TX",TX,74,MDT,"Harrisburg, PA",PA,23,1841,1905,2235,2244,0,0,1231
1/2/2022 0:00,AA,3073,ORD,"Chicago, IL",IL,41,MDT,"Harrisburg, PA",PA,23,1505,1546,1755,1844,0,0,594
1/2/2022 0:00,AA,4085,ORD,"Chicago, IL",IL,41,MDT,"Harrisburg, PA",PA,23,1015,1026,1304,1347,0,0,594
1/2/2022 0:00,AA,4613,CLT,"Charlotte, NC",NC,36,MDT,"Harrisburg, PA",PA,23,1129,1123,1308,1256,0,0,413
1/2/2022 0:00,AA,4738,CLT,"Charlotte, NC",NC,36,MDT,"Harrisburg, PA",PA,23,1838,1838,2018,2010,0,0,413
1/2/2022 0:00,AA,5241,CLT,"Charlotte, NC",NC,36,MDT,"Harrisburg, PA",PA,23,1444,1512,1624,1649,0,0,413
1/2/2022 0:00,AA,6025,BOS,"Boston, MA",MA,13,MDT,"Harrisburg, PA",PA,23,1913,1913,2050,2102,0,0,335
