FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,1346,ATL,"Atlanta, GA",GA,34,MDW,"Chicago, IL",IL,41,1005,,1102,,1,0,591
1/1/2022 0:00,DL,2537,ATL,"Atlanta, GA",GA,34,MDW,"Chicago, IL",IL,41,1457,,1546,,1,0,591
1/1/2022 0:00,DL,4828,DTW,"Detroit, MI",MI,43,MDW,"Chicago, IL",IL,41,1550,,1614,,1,0,228
1/1/2022 0:00,DL,4991,ATL,"Atlanta, GA",GA,34,MDW,"Chicago, IL",IL,41,1800,,1859,,1,0,591
1/1/2022 0:00,DL,5008,MSP,"Minneapolis, MN",MN,63,MDW,"Chicago, IL",IL,41,1010,,1158,,1,0,349
1/1/2022 0:00,DL,5058,DTW,"Detroit, MI",MI,43,MDW,"Chicago, IL",IL,41,825,822,848,835,0,0,228
1/1/2022 0:00,DL,5235,MSP,"Minneapolis, MN",MN,63,MDW,"Chicago, IL",IL,41,1955,,2144,,1,0,349
1/1/2022 0:00,WN,1031,RSW,"Fort Myers, FL",FL,33,MDW,"Chicago, IL",IL,41,2155,,2350,,1,0,1105
1/1/2022 0:00,WN,1178,MEM,"Memphis, TN",TN,54,MDW,"Chicago, IL",IL,41,1010,1009,1150,1125,0,0,480
1/1/2022 0:00,WN,1211,BWI,"Baltimore, MD",MD,35,MDW,"Chicago, IL",IL,41,705,703,820,823,0,0,611
1/1/2022 0:00,WN,1414,DEN,"Denver, CO",CO,82,MDW,"Chicago, IL",IL,41,1400,,1720,,1,0,895
1/1/2022 0:00,WN,1428,LGA,"New York, NY",NY,22,MDW,"Chicago, IL",IL,41,600,,730,,1,0,725
1/1/2022 0:00,WN,1470,ONT,"Ontario, CA",CA,91,MDW,"Chicago, IL",IL,41,600,,1155,,1,0,1706
1/1/2022 0:00,WN,1517,ABQ,"Albuquerque, NM",NM,86,MDW,"Chicago, IL",IL,41,820,,1205,,1,0,1121
1/1/2022 0:00,WN,1614,RSW,"Fort Myers, FL",FL,33,MDW,"Chicago, IL",IL,41,940,946,1140,1133,0,0,1105
1/1/2022 0:00,WN,1637,FLL,"Fort Lauderdale, FL",FL,33,MDW,"Chicago, IL",IL,41,1930,,2140,,1,0,1167
1/1/2022 0:00,WN,1661,MCI,"Kansas City, MO",MO,64,MDW,"Chicago, IL",IL,41,1125,,1250,,1,0,405
1/1/2022 0:00,WN,1663,RSW,"Fort Myers, FL",FL,33,MDW,"Chicago, IL",IL,41,1555,,1750,,1,0,1105
1/1/2022 0:00,WN,1671,LAS,"Las Vegas, NV",NV,85,MDW,"Chicago, IL",IL,41,1145,,1715,,1,0,1521
1/1/2022 0:00,WN,1737,BNA,"Nashville, TN",TN,54,MDW,"Chicago, IL",IL,41,1145,,1315,,1,0,395
1/1/2022 0:00,WN,1762,ABQ,"Albuquerque, NM",NM,86,MDW,"Chicago, IL",IL,41,1620,,2000,,1,0,1121
1/1/2022 0:00,WN,1775,CLE,"Cleveland, OH",OH,44,MDW,"Chicago, IL",IL,41,1805,,1825,,1,0,307
1/1/2022 0:00,WN,1871,OMA,"Omaha, NE",NE,65,MDW,"Chicago, IL",IL,41,515,,650,,1,0,423
1/1/2022 0:00,WN,1913,MYR,"Myrtle Beach, SC",SC,37,MDW,"Chicago, IL",IL,41,1255,,1410,,1,0,738
1/1/2022 0:00,WN,1936,DCA,"Washington, DC",VA,38,MDW,"Chicago, IL",IL,41,900,852,1010,943,0,0,601
1/1/2022 0:00,WN,1951,BWI,"Baltimore, MD",MD,35,MDW,"Chicago, IL",IL,41,1200,,1305,,1,0,611
1/1/2022 0:00,WN,2068,PIT,"Pittsburgh, PA",PA,23,MDW,"Chicago, IL",IL,41,615,607,700,639,0,0,402
1/1/2022 0:00,WN,2091,CLT,"Charlotte, NC",NC,36,MDW,"Chicago, IL",IL,41,1725,,1825,,1,0,584
1/1/2022 0:00,WN,2094,PHX,"Phoenix, AZ",AZ,81,MDW,"Chicago, IL",IL,41,800,,1215,,1,0,1444
1/1/2022 0:00,WN,2100,ATL,"Atlanta, GA",GA,34,MDW,"Chicago, IL",IL,41,700,,755,,1,0,591
1/1/2022 0:00,WN,2116,RDU,"Raleigh/Durham, NC",NC,36,MDW,"Chicago, IL",IL,41,605,558,710,658,0,0,632
1/1/2022 0:00,WN,2118,RSW,"Fort Myers, FL",FL,33,MDW,"Chicago, IL",IL,41,1230,,1430,,1,0,1105
1/1/2022 0:00,WN,2132,SEA,"Seattle, WA",WA,93,MDW,"Chicago, IL",IL,41,1355,,1955,,1,0,1733
1/1/2022 0:00,WN,2146,OKC,"Oklahoma City, OK",OK,73,MDW,"Chicago, IL",IL,41,1310,,1505,,1,0,691
1/1/2022 0:00,WN,2168,MIA,"Miami, FL",FL,33,MDW,"Chicago, IL",IL,41,1605,,1815,,1,0,1182
1/1/2022 0:00,WN,2304,GRR,"Grand Rapids, MI",MI,43,MDW,"Chicago, IL",IL,41,625,620,635,608,0,0,137
1/1/2022 0:00,WN,2308,SJC,"San Jose, CA",CA,91,MDW,"Chicago, IL",IL,41,630,,1245,,1,0,1838
1/1/2022 0:00,WN,2310,FLL,"Fort Lauderdale, FL",FL,33,MDW,"Chicago, IL",IL,41,1400,,1615,,1,0,1167
1/1/2022 0:00,WN,2341,OMA,"Omaha, NE",NE,65,MDW,"Chicago, IL",IL,41,1320,,1445,,1,0,423
1/1/2022 0:00,WN,2369,SAN,"San Diego, CA",CA,91,MDW,"Chicago, IL",IL,41,1445,,2035,,1,0,1728
1/1/2022 0:00,WN,2398,SFO,"San Francisco, CA",CA,91,MDW,"Chicago, IL",IL,41,605,,1215,,1,0,1855
1/1/2022 0:00,WN,2445,MIA,"Miami, FL",FL,33,MDW,"Chicago, IL",IL,41,1945,2039,2155,2242,0,0,1182
1/1/2022 0:00,WN,2448,PIT,"Pittsburgh, PA",PA,23,MDW,"Chicago, IL",IL,41,1825,,1855,,1,0,402
1/1/2022 0:00,WN,2452,OMA,"Omaha, NE",NE,65,MDW,"Chicago, IL",IL,41,1925,2243,2055,2359,0,0,423
1/1/2022 0:00,WN,2471,PHX,"Phoenix, AZ",AZ,81,MDW,"Chicago, IL",IL,41,1920,2044,2335,46,0,0,1444
1/1/2022 0:00,WN,2481,PHX,"Phoenix, AZ",AZ,81,MDW,"Chicago, IL",IL,41,1645,,2100,,1,0,1444
1/1/2022 0:00,WN,2491,TPA,"Tampa, FL",FL,33,MDW,"Chicago, IL",IL,41,545,,730,,1,0,997
1/1/2022 0:00,WN,2529,MCO,"Orlando, FL",FL,33,MDW,"Chicago, IL",IL,41,2105,2119,2250,2257,0,0,990
1/1/2022 0:00,WN,2558,RDU,"Raleigh/Durham, NC",NC,36,MDW,"Chicago, IL",IL,41,1705,,1805,,1,0,632
1/1/2022 0:00,WN,2579,MSY,"New Orleans, LA",LA,72,MDW,"Chicago, IL",IL,41,1830,,2050,,1,0,825
1/1/2022 0:00,WN,2602,SLC,"Salt Lake City, UT",UT,87,MDW,"Chicago, IL",IL,41,700,713,1115,1104,0,0,1259
1/1/2022 0:00,WN,2606,PVD,"Providence, RI",RI,15,MDW,"Chicago, IL",IL,41,1350,,1525,,1,0,842
1/1/2022 0:00,WN,2618,PHL,"Philadelphia, PA",PA,23,MDW,"Chicago, IL",IL,41,510,505,630,621,0,0,668
1/1/2022 0:00,WN,2622,FLL,"Fort Lauderdale, FL",FL,33,MDW,"Chicago, IL",IL,41,2155,,5,,1,0,1167
1/1/2022 0:00,WN,2657,ATL,"Atlanta, GA",GA,34,MDW,"Chicago, IL",IL,41,1205,,1300,,1,0,591
1/1/2022 0:00,WN,2668,CMH,"Columbus, OH",OH,44,MDW,"Chicago, IL",IL,41,1250,,1305,,1,0,283
1/1/2022 0:00,WN,2683,LAS,"Las Vegas, NV",NV,85,MDW,"Chicago, IL",IL,41,500,457,1030,1001,0,0,1521
1/1/2022 0:00,WN,2690,PHL,"Philadelphia, PA",PA,23,MDW,"Chicago, IL",IL,41,1920,,2035,,1,0,668
1/1/2022 0:00,WN,2692,CHS,"Charleston, SC",SC,37,MDW,"Chicago, IL",IL,41,605,,720,,1,0,745
1/1/2022 0:00,WN,2700,CLE,"Cleveland, OH",OH,44,MDW,"Chicago, IL",IL,41,1245,,1305,,1,0,307
1/1/2022 0:00,WN,2714,BOS,"Boston, MA",MA,13,MDW,"Chicago, IL",IL,41,1125,,1310,,1,0,861
1/1/2022 0:00,WN,2716,SNA,"Santa Ana, CA",CA,91,MDW,"Chicago, IL",IL,41,1455,,2050,,1,0,1731
1/1/2022 0:00,WN,2717,IAH,"Houston, TX",TX,74,MDW,"Chicago, IL",IL,41,1635,,1915,,1,0,917
1/1/2022 0:00,WN,2731,JAX,"Jacksonville, FL",FL,33,MDW,"Chicago, IL",IL,41,530,,705,,1,0,849
1/1/2022 0:00,WN,2740,CVG,"Cincinnati, OH",KY,52,MDW,"Chicago, IL",IL,41,615,608,635,610,0,0,249
1/1/2022 0:00,WN,2742,MCO,"Orlando, FL",FL,33,MDW,"Chicago, IL",IL,41,1000,1004,1150,1157,0,0,990
1/1/2022 0:00,WN,2749,STL,"St. Louis, MO",MO,64,MDW,"Chicago, IL",IL,41,1815,,1925,,1,0,251
1/1/2022 0:00,WN,2777,PHX,"Phoenix, AZ",AZ,81,MDW,"Chicago, IL",IL,41,1510,,1930,,1,0,1444
1/1/2022 0:00,WN,2811,LAX,"Los Angeles, CA",CA,91,MDW,"Chicago, IL",IL,41,555,,1200,,1,0,1750
1/1/2022 0:00,WN,2813,TPA,"Tampa, FL",FL,33,MDW,"Chicago, IL",IL,41,1820,,2005,,1,0,997
1/1/2022 0:00,WN,2815,JAX,"Jacksonville, FL",FL,33,MDW,"Chicago, IL",IL,41,1715,,1850,,1,0,849
1/1/2022 0:00,WN,2838,PDX,"Portland, OR",OR,92,MDW,"Chicago, IL",IL,41,535,532,1130,1109,0,0,1751
1/1/2022 0:00,WN,2841,DCA,"Washington, DC",VA,38,MDW,"Chicago, IL",IL,41,600,,705,,1,0,601
1/1/2022 0:00,WN,2846,DEN,"Denver, CO",CO,82,MDW,"Chicago, IL",IL,41,1915,,2235,,1,0,895
1/1/2022 0:00,WN,2847,PHL,"Philadelphia, PA",PA,23,MDW,"Chicago, IL",IL,41,1345,,1455,,1,0,668
1/1/2022 0:00,WN,2852,FLL,"Fort Lauderdale, FL",FL,33,MDW,"Chicago, IL",IL,41,1730,,1940,,1,0,1167
1/1/2022 0:00,WN,2855,BOS,"Boston, MA",MA,13,MDW,"Chicago, IL",IL,41,525,,715,,1,0,861
1/1/2022 0:00,WN,2859,LAS,"Las Vegas, NV",NV,85,MDW,"Chicago, IL",IL,41,1515,,2045,,1,0,1521
