FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1439,DFW,"Dallas/Fort Worth, TX",TX,74,MEM,"Memphis, TN",TN,54,2225,9,2350,125,0,0,431
1/1/2022 0:00,AA,1551,MIA,"Miami, FL",FL,33,MEM,"Memphis, TN",TN,54,2230,2228,6,2351,0,0,859
1/1/2022 0:00,AA,1641,CLT,"Charlotte, NC",NC,36,MEM,"Memphis, TN",TN,54,2025,2024,2119,2109,0,0,511
1/1/2022 0:00,AA,1737,CLT,"Charlotte, NC",NC,36,MEM,"Memphis, TN",TN,54,1120,1124,1218,1217,0,0,511
1/1/2022 0:00,AA,1758,DFW,"Dallas/Fort Worth, TX",TX,74,MEM,"Memphis, TN",TN,54,2002,2002,2127,2137,0,0,431
1/1/2022 0:00,AA,2436,CLT,"Charlotte, NC",NC,36,MEM,"Memphis, TN",TN,54,1655,1650,1754,1754,0,0,511
1/1/2022 0:00,AA,2559,DFW,"Dallas/Fort Worth, TX",TX,74,MEM,"Memphis, TN",TN,54,1018,1015,1143,1138,0,0,431
1/1/2022 0:00,AA,2875,PHX,"Phoenix, AZ",AZ,81,MEM,"Memphis, TN",TN,54,1945,1941,2355,2321,0,0,1264
1/1/2022 0:00,AA,3206,ORD,"Chicago, IL",IL,41,MEM,"Memphis, TN",TN,54,1310,,1510,,1,0,491
1/1/2022 0:00,AA,3810,DFW,"Dallas/Fort Worth, TX",TX,74,MEM,"Memphis, TN",TN,54,1557,1559,1728,1728,0,0,431
1/1/2022 0:00,AA,4582,LGA,"New York, NY",NY,22,MEM,"Memphis, TN",TN,54,1825,1822,2036,2032,0,0,963
1/1/2022 0:00,AA,4801,DCA,"Washington, DC",VA,38,MEM,"Memphis, TN",TN,54,900,923,1045,1105,0,0,762
1/1/2022 0:00,AA,4807,LGA,"New York, NY",NY,22,MEM,"Memphis, TN",TN,54,1040,1038,1249,1316,0,0,963
1/1/2022 0:00,AA,4951,DCA,"Washington, DC",VA,38,MEM,"Memphis, TN",TN,54,1659,1755,1838,1926,0,0,762
1/1/2022 0:00,AA,5248,CLT,"Charlotte, NC",NC,36,MEM,"Memphis, TN",TN,54,1440,1458,1543,1615,0,0,511
1/1/2022 0:00,AA,5283,CLT,"Charlotte, NC",NC,36,MEM,"Memphis, TN",TN,54,855,849,956,937,0,0,511
1/1/2022 0:00,AA,5548,PHL,"Philadelphia, PA",PA,23,MEM,"Memphis, TN",TN,54,1105,1058,1253,1312,0,0,875
1/1/2022 0:00,AA,5748,DFW,"Dallas/Fort Worth, TX",TX,74,MEM,"Memphis, TN",TN,54,1732,1800,1900,1932,0,0,431
1/1/2022 0:00,DL,1535,ATL,"Atlanta, GA",GA,34,MEM,"Memphis, TN",TN,54,1813,1956,1830,2010,0,0,332
1/1/2022 0:00,DL,1598,ATL,"Atlanta, GA",GA,34,MEM,"Memphis, TN",TN,54,905,907,926,919,0,0,332
1/1/2022 0:00,DL,2231,ATL,"Atlanta, GA",GA,34,MEM,"Memphis, TN",TN,54,1540,1537,1600,1547,0,0,332
1/1/2022 0:00,DL,2431,ATL,"Atlanta, GA",GA,34,MEM,"Memphis, TN",TN,54,1110,1106,1132,1123,0,0,332
1/1/2022 0:00,DL,2617,ATL,"Atlanta, GA",GA,34,MEM,"Memphis, TN",TN,54,2250,2245,2309,2303,0,0,332
1/1/2022 0:00,DL,2825,SLC,"Salt Lake City, UT",UT,87,MEM,"Memphis, TN",TN,54,1525,1529,1924,1941,0,0,1262
1/1/2022 0:00,DL,3545,MSP,"Minneapolis, MN",MN,63,MEM,"Memphis, TN",TN,54,1530,2148,1748,2352,0,0,700
1/1/2022 0:00,DL,3600,DTW,"Detroit, MI",MI,43,MEM,"Memphis, TN",TN,54,2105,,2217,,1,0,610
1/1/2022 0:00,DL,3717,DTW,"Detroit, MI",MI,43,MEM,"Memphis, TN",TN,54,1245,1300,1359,1413,0,0,610
1/1/2022 0:00,DL,4766,LGA,"New York, NY",NY,22,MEM,"Memphis, TN",TN,54,820,819,1035,1440,0,1,963
1/1/2022 0:00,DL,5160,LGA,"New York, NY",NY,22,MEM,"Memphis, TN",TN,54,1300,1259,1511,1506,0,0,963
1/1/2022 0:00,G4,1418,LAX,"Los Angeles, CA",CA,91,MEM,"Memphis, TN",TN,54,600,559,1138,1134,0,0,1619
1/1/2022 0:00,G4,242,LAS,"Las Vegas, NV",NV,85,MEM,"Memphis, TN",TN,54,1210,1209,1723,1719,0,0,1416
1/1/2022 0:00,UA,3484,EWR,"Newark, NJ",NJ,21,MEM,"Memphis, TN",TN,54,2035,2130,2250,21,0,0,946
1/1/2022 0:00,UA,4582,ORD,"Chicago, IL",IL,41,MEM,"Memphis, TN",TN,54,845,842,1047,1321,0,1,491
1/1/2022 0:00,UA,4807,IAH,"Houston, TX",TX,74,MEM,"Memphis, TN",TN,54,2130,,2308,,1,0,468
1/1/2022 0:00,UA,4982,IAH,"Houston, TX",TX,74,MEM,"Memphis, TN",TN,54,1435,1432,1616,1616,0,0,468
1/1/2022 0:00,UA,5240,DEN,"Denver, CO",CO,82,MEM,"Memphis, TN",TN,54,946,1714,1304,2146,0,0,872
1/1/2022 0:00,UA,5395,ORD,"Chicago, IL",IL,41,MEM,"Memphis, TN",TN,54,1945,,2150,,1,0,491
1/1/2022 0:00,UA,5571,IAH,"Houston, TX",TX,74,MEM,"Memphis, TN",TN,54,935,936,1116,1703,0,1,468
1/1/2022 0:00,UA,5624,DEN,"Denver, CO",CO,82,MEM,"Memphis, TN",TN,54,1850,2348,2214,338,0,0,872
1/1/2022 0:00,WN,1044,ATL,"Atlanta, GA",GA,34,MEM,"Memphis, TN",TN,54,1315,1413,1340,1426,0,0,332
1/1/2022 0:00,WN,1178,MCO,"Orlando, FL",FL,33,MEM,"Memphis, TN",TN,54,810,811,920,909,0,0,684
1/1/2022 0:00,WN,2448,MDW,"Chicago, IL",IL,41,MEM,"Memphis, TN",TN,54,1940,,2120,,1,0,480
1/1/2022 0:00,WN,2669,HOU,"Houston, TX",TX,74,MEM,"Memphis, TN",TN,54,2000,2115,2130,2225,0,0,484
1/1/2022 0:00,WN,3213,DAL,"Dallas, TX",TX,74,MEM,"Memphis, TN",TN,54,2120,2211,2240,2323,0,0,423
1/1/2022 0:00,WN,3290,DAL,"Dallas, TX",TX,74,MEM,"Memphis, TN",TN,54,1425,1610,1545,1723,0,0,423
1/1/2022 0:00,WN,3304,MCO,"Orlando, FL",FL,33,MEM,"Memphis, TN",TN,54,1555,,1705,,1,0,684
1/1/2022 0:00,WN,3474,BWI,"Baltimore, MD",MD,35,MEM,"Memphis, TN",TN,54,1000,1048,1130,1219,0,0,787
1/1/2022 0:00,WN,3542,DEN,"Denver, CO",CO,82,MEM,"Memphis, TN",TN,54,2005,2145,2320,49,0,0,872
1/1/2022 0:00,WN,3723,TPA,"Tampa, FL",FL,33,MEM,"Memphis, TN",TN,54,1615,1713,1720,1843,0,0,655
1/2/2022 0:00,AA,1439,DFW,"Dallas/Fort Worth, TX",TX,74,MEM,"Memphis, TN",TN,54,2225,2238,2350,11,0,0,431
1/2/2022 0:00,AA,1551,MIA,"Miami, FL",FL,33,MEM,"Memphis, TN",TN,54,2230,2256,6,28,0,0,859
1/2/2022 0:00,AA,1641,CLT,"Charlotte, NC",NC,36,MEM,"Memphis, TN",TN,54,2025,2031,2119,2124,0,0,511
1/2/2022 0:00,AA,1737,CLT,"Charlotte, NC",NC,36,MEM,"Memphis, TN",TN,54,1120,1118,1218,1231,0,0,511
