FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3248,DFW,"Dallas/Fort Worth, TX",TX,74,MHK,"Manhattan/Ft. Riley, KS",KS,62,2235,,11,,1,0,431
1/1/2022 0:00,AA,3532,ORD,"Chicago, IL",IL,41,MHK,"Manhattan/Ft. Riley, KS",KS,62,1735,,1927,,1,0,501
1/1/2022 0:00,AA,3686,ORD,"Chicago, IL",IL,41,MHK,"Manhattan/Ft. Riley, KS",KS,62,1230,1251,1423,1453,0,0,501
1/1/2022 0:00,AA,4164,DFW,"Dallas/Fort Worth, TX",TX,74,MHK,"Manhattan/Ft. Riley, KS",KS,62,1601,1558,1733,1717,0,0,431
1/2/2022 0:00,AA,3040,DFW,"Dallas/Fort Worth, TX",TX,74,MHK,"Manhattan/Ft. Riley, KS",KS,62,835,831,1011,1001,0,0,431
1/2/2022 0:00,AA,3248,DFW,"Dallas/Fort Worth, TX",TX,74,MHK,"Manhattan/Ft. Riley, KS",KS,62,2100,,2237,,1,0,431
1/2/2022 0:00,AA,3532,ORD,"Chicago, IL",IL,41,MHK,"Manhattan/Ft. Riley, KS",KS,62,1735,1740,1927,1948,0,0,501
1/2/2022 0:00,AA,3686,ORD,"Chicago, IL",IL,41,MHK,"Manhattan/Ft. Riley, KS",KS,62,1230,1324,1423,1456,0,0,501
1/2/2022 0:00,AA,4164,DFW,"Dallas/Fort Worth, TX",TX,74,MHK,"Manhattan/Ft. Riley, KS",KS,62,1601,1600,1733,1730,0,0,431
1/3/2022 0:00,AA,3040,DFW,"Dallas/Fort Worth, TX",TX,74,MHK,"Manhattan/Ft. Riley, KS",KS,62,835,836,1011,1007,0,0,431
1/3/2022 0:00,AA,3248,DFW,"Dallas/Fort Worth, TX",TX,74,MHK,"Manhattan/Ft. Riley, KS",KS,62,2100,2058,2237,2230,0,0,431
1/3/2022 0:00,AA,3532,ORD,"Chicago, IL",IL,41,MHK,"Manhattan/Ft. Riley, KS",KS,62,1735,1730,1927,1901,0,0,501
1/3/2022 0:00,AA,3686,ORD,"Chicago, IL",IL,41,MHK,"Manhattan/Ft. Riley, KS",KS,62,1230,1228,1423,1401,0,0,501
1/3/2022 0:00,AA,4164,DFW,"Dallas/Fort Worth, TX",TX,74,MHK,"Manhattan/Ft. Riley, KS",KS,62,1601,1604,1733,1738,0,0,431
