FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,3699,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2127,,2316,,1,0,449
1/1/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,,1703,,1,0,449
1/1/2022 0:00,DL,5208,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,910,911,1107,1054,0,0,449
1/1/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,1000,,1302,,1,0,604
1/1/2022 0:00,UA,5745,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,1855,1956,2157,2328,0,0,604
1/2/2022 0:00,DL,3573,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1020,1038,1219,1206,0,0,449
1/2/2022 0:00,DL,3699,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2135,2143,2329,2323,0,0,449
1/2/2022 0:00,DL,4817,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1631,1637,1822,1901,0,0,449
1/2/2022 0:00,DL,5208,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,738,740,934,955,0,0,449
1/2/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,1000,1004,1302,1308,0,0,604
1/2/2022 0:00,UA,5745,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,1855,1955,2157,2252,0,0,604
1/3/2022 0:00,DL,3573,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1020,,1219,,1,0,449
1/3/2022 0:00,DL,3699,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2135,2244,2329,111,0,0,449
1/3/2022 0:00,DL,4817,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1631,1702,1822,1841,0,0,449
1/3/2022 0:00,DL,5208,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,738,748,934,1005,0,0,449
1/3/2022 0:00,G4,1288,AZA,"Phoenix, AZ",AZ,81,MOT,"Minot, ND",ND,66,1248,1317,1635,1700,0,0,1164
1/3/2022 0:00,G4,41,LAS,"Las Vegas, NV",NV,85,MOT,"Minot, ND",ND,66,610,,1049,,1,0,1098
1/3/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,1000,959,1302,1247,0,0,604
1/3/2022 0:00,UA,5745,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,1855,1949,2157,2234,0,0,604
1/4/2022 0:00,DL,3573,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1020,1548,1219,1750,0,0,449
1/4/2022 0:00,DL,3699,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2135,2139,2329,2331,0,0,449
1/4/2022 0:00,DL,3946,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1810,2222,2007,9,0,0,449
1/4/2022 0:00,DL,4817,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1631,1822,1822,2020,0,0,449
1/4/2022 0:00,DL,5208,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,738,733,934,924,0,0,449
1/4/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,1004,1257,,1,0,604
1/4/2022 0:00,UA,5745,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,1755,1815,2057,2117,0,0,604
1/5/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,,2014,,1,0,449
1/5/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,,2325,,1,0,449
1/5/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1015,1019,1214,1248,0,0,449
1/5/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1515,1658,1647,0,0,449
1/5/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,953,1257,1311,0,0,604
1/5/2022 0:00,UA,5745,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,1755,,2057,,1,0,604
1/6/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,1838,2014,2011,0,0,449
1/6/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1015,1015,1214,1155,0,0,449
1/6/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1558,1658,1725,0,0,449
1/6/2022 0:00,G4,1340,AZA,"Phoenix, AZ",AZ,81,MOT,"Minot, ND",ND,66,1529,,1924,,1,0,1164
1/6/2022 0:00,G4,45,LAS,"Las Vegas, NV",NV,85,MOT,"Minot, ND",ND,66,605,554,1051,1050,0,0,1098
1/6/2022 0:00,UA,4701,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,2030,2155,2331,56,0,0,604
1/6/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,953,1257,1317,0,0,604
1/7/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,,2014,,1,0,449
1/7/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2206,2325,1,0,0,449
1/7/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1015,1015,1214,1201,0,0,449
1/7/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1609,1658,1753,0,0,449
1/7/2022 0:00,UA,4701,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,2030,,2331,,1,0,604
1/7/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,1001,1257,806,0,1,604
1/8/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,,2325,,1,0,449
1/8/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1015,1037,1214,1211,0,0,449
1/8/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1515,1658,1649,0,0,449
1/8/2022 0:00,G4,1405,AZA,"Phoenix, AZ",AZ,81,MOT,"Minot, ND",ND,66,810,813,1205,1151,0,0,1164
1/8/2022 0:00,UA,4701,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,2030,2047,2331,2341,0,0,604
1/8/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,1002,1257,1256,0,0,604
1/9/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,1953,2014,2132,0,0,449
1/9/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2203,2325,2350,0,0,449
1/9/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1015,1036,1214,1214,0,0,449
1/9/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1515,1658,1656,0,0,449
1/9/2022 0:00,UA,4701,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,2030,2029,2331,2344,0,0,604
1/9/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,1047,1257,1348,0,0,604
1/10/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,1941,2014,2121,0,0,449
1/10/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2142,2325,2335,0,0,449
1/10/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1025,1020,1219,1201,0,0,449
1/10/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1535,1658,1711,0,0,449
1/10/2022 0:00,G4,1384,AZA,"Phoenix, AZ",AZ,81,MOT,"Minot, ND",ND,66,640,633,1035,1032,0,0,1164
1/10/2022 0:00,G4,45,LAS,"Las Vegas, NV",NV,85,MOT,"Minot, ND",ND,66,1636,1629,2122,2105,0,0,1098
1/10/2022 0:00,UA,4701,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,2030,2026,2331,2317,0,0,604
1/10/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,954,1257,1302,0,0,604
1/11/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,1810,2014,1953,0,0,449
1/11/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2120,2325,2254,0,0,449
1/11/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1025,1020,1219,1206,0,0,449
1/11/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1514,1658,1646,0,0,449
1/11/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,948,1257,1242,0,0,604
1/11/2022 0:00,UA,5745,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,1755,1751,2057,2106,0,0,604
1/12/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,1816,2014,1950,0,0,449
1/12/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2121,2325,2310,0,0,449
1/12/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1025,1018,1219,1151,0,0,449
1/12/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1512,1658,1645,0,0,449
1/12/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,950,1257,1252,0,0,604
1/12/2022 0:00,UA,5745,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,1755,1747,2057,2048,0,0,604
1/13/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,1816,2014,,1,0,449
1/13/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2143,2325,2351,0,0,449
1/13/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1025,1020,1219,1213,0,0,449
1/13/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1515,1658,1649,0,0,449
1/13/2022 0:00,G4,1277,AZA,"Phoenix, AZ",AZ,81,MOT,"Minot, ND",ND,66,1529,1523,1923,1938,0,0,1164
1/13/2022 0:00,G4,45,LAS,"Las Vegas, NV",NV,85,MOT,"Minot, ND",ND,66,605,559,1051,1041,0,0,1098
1/13/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,949,1257,1245,0,0,604
1/14/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,1922,2014,2121,0,0,449
1/14/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2124,2325,2327,0,0,449
1/14/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1652,1658,1850,0,0,449
1/14/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,945,1257,1246,0,0,604
1/15/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2127,2325,2308,0,0,449
1/15/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1025,1021,1219,1219,0,0,449
1/15/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1548,1658,1720,0,0,449
1/15/2022 0:00,G4,1405,AZA,"Phoenix, AZ",AZ,81,MOT,"Minot, ND",ND,66,810,753,1204,1149,0,0,1164
1/15/2022 0:00,UA,4701,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,2030,2026,2331,2329,0,0,604
1/16/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2144,2325,2313,0,0,449
1/16/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1025,1021,1219,1159,0,0,449
1/16/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1603,1658,1724,0,0,449
1/16/2022 0:00,UA,4701,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,2030,2023,2331,2321,0,0,604
1/16/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,954,1257,1301,0,0,604
1/17/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,1833,2014,2018,0,0,449
1/17/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2119,2325,2320,0,0,449
1/17/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1025,1025,1219,1214,0,0,449
1/17/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1520,1658,1700,0,0,449
1/17/2022 0:00,G4,1408,AZA,"Phoenix, AZ",AZ,81,MOT,"Minot, ND",ND,66,710,734,1104,1129,0,0,1164
1/17/2022 0:00,G4,45,LAS,"Las Vegas, NV",NV,85,MOT,"Minot, ND",ND,66,1548,1540,2034,2019,0,0,1098
1/17/2022 0:00,UA,4701,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,2030,2020,2331,2304,0,0,604
1/17/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,1124,1257,1410,0,0,604
1/18/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,1819,2014,1956,0,0,449
1/18/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2125,2325,2300,0,0,449
1/18/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1513,1658,1654,0,0,449
1/18/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,947,1257,1309,0,0,604
1/18/2022 0:00,UA,5745,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,1755,1750,2057,2059,0,0,604
1/19/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,1814,2014,1944,0,0,449
1/19/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2124,2325,2258,0,0,449
1/19/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1025,1020,1219,1154,0,0,449
1/19/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1511,1658,1633,0,0,449
1/19/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,945,1257,1312,0,0,604
1/19/2022 0:00,UA,5745,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,1755,1755,2057,2138,0,0,604
1/20/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,1811,2014,1937,0,0,449
1/20/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2119,2325,2302,0,0,449
1/20/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1607,1658,1737,0,0,449
1/20/2022 0:00,G4,1340,AZA,"Phoenix, AZ",AZ,81,MOT,"Minot, ND",ND,66,1529,1507,1924,1920,0,0,1164
1/20/2022 0:00,G4,45,LAS,"Las Vegas, NV",NV,85,MOT,"Minot, ND",ND,66,605,600,1051,1106,0,0,1098
1/20/2022 0:00,UA,4701,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,2030,,2331,,1,0,604
1/20/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,949,1257,1309,0,0,604
1/21/2022 0:00,DL,3564,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1817,1817,2014,2023,0,0,449
1/21/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2123,2325,2351,0,0,449
1/21/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1025,1020,1219,1154,0,0,449
1/21/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1512,1658,1657,0,0,449
1/21/2022 0:00,UA,4701,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,2030,2036,2331,2335,0,0,604
1/21/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,1417,1257,1737,0,0,604
1/22/2022 0:00,DL,3883,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,2125,2125,2325,2355,0,0,449
1/22/2022 0:00,DL,4051,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1025,1024,1219,1201,0,0,449
1/22/2022 0:00,DL,4467,MSP,"Minneapolis, MN",MN,63,MOT,"Minot, ND",ND,66,1515,1513,1658,1703,0,0,449
1/22/2022 0:00,G4,1405,AZA,"Phoenix, AZ",AZ,81,MOT,"Minot, ND",ND,66,810,757,1205,1212,0,0,1164
1/22/2022 0:00,UA,4701,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,2030,2022,2331,2324,0,0,604
1/22/2022 0:00,UA,4702,DEN,"Denver, CO",CO,82,MOT,"Minot, ND",ND,66,955,1303,1257,1606,0,0,604
