FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3880,DFW,"Dallas/Fort Worth, TX",TX,74,MRY,"Monterey, CA",CA,91,1914,1912,2113,2115,0,0,1430
1/1/2022 0:00,AA,5793,PHX,"Phoenix, AZ",AZ,81,MRY,"Monterey, CA",CA,91,1055,1054,1154,1153,0,0,598
1/1/2022 0:00,AS,2056,SEA,"Seattle, WA",WA,93,MRY,"Monterey, CA",CA,91,900,858,1112,1056,0,0,750
1/1/2022 0:00,AS,2580,SAN,"San Diego, CA",CA,91,MRY,"Monterey, CA",CA,91,1205,,1330,,1,0,375
1/1/2022 0:00,UA,4723,DEN,"Denver, CO",CO,82,MRY,"Monterey, CA",CA,91,1345,1516,1539,1700,0,0,959
1/1/2022 0:00,UA,5310,LAX,"Los Angeles, CA",CA,91,MRY,"Monterey, CA",CA,91,820,816,942,917,0,0,266
1/1/2022 0:00,UA,5850,SFO,"San Francisco, CA",CA,91,MRY,"Monterey, CA",CA,91,2259,2304,2349,2346,0,0,77
1/2/2022 0:00,AA,3880,DFW,"Dallas/Fort Worth, TX",TX,74,MRY,"Monterey, CA",CA,91,1914,1919,2113,2100,0,0,1430
1/2/2022 0:00,AA,4004,DFW,"Dallas/Fort Worth, TX",TX,74,MRY,"Monterey, CA",CA,91,904,916,1111,1056,0,0,1430
1/2/2022 0:00,AA,5768,PHX,"Phoenix, AZ",AZ,81,MRY,"Monterey, CA",CA,91,827,1255,927,1345,0,0,598
1/2/2022 0:00,AA,5793,PHX,"Phoenix, AZ",AZ,81,MRY,"Monterey, CA",CA,91,1055,,1154,,1,0,598
1/2/2022 0:00,AS,2056,SEA,"Seattle, WA",WA,93,MRY,"Monterey, CA",CA,91,900,859,1112,1119,0,0,750
1/2/2022 0:00,AS,2580,SAN,"San Diego, CA",CA,91,MRY,"Monterey, CA",CA,91,1205,1212,1330,1330,0,0,375
1/2/2022 0:00,UA,4723,DEN,"Denver, CO",CO,82,MRY,"Monterey, CA",CA,91,1355,1415,1549,1551,0,0,959
1/2/2022 0:00,UA,5310,LAX,"Los Angeles, CA",CA,91,MRY,"Monterey, CA",CA,91,820,826,942,936,0,0,266
1/2/2022 0:00,UA,5850,SFO,"San Francisco, CA",CA,91,MRY,"Monterey, CA",CA,91,2259,2328,2349,6,0,0,77
1/3/2022 0:00,AA,3880,DFW,"Dallas/Fort Worth, TX",TX,74,MRY,"Monterey, CA",CA,91,1914,1913,2113,2102,0,0,1430
