FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1624,DFW,"Dallas/Fort Worth, TX",TX,74,MSO,"Missoula, MT",MT,84,2045,2054,2324,2342,0,0,1320
1/1/2022 0:00,AA,4274,DFW,"Dallas/Fort Worth, TX",TX,74,MSO,"Missoula, MT",MT,84,1148,1148,1427,1420,0,0,1320
1/1/2022 0:00,AS,2340,SEA,"Seattle, WA",WA,93,MSO,"Missoula, MT",MT,84,1740,1751,2006,2006,0,0,389
1/1/2022 0:00,AS,2348,SEA,"Seattle, WA",WA,93,MSO,"Missoula, MT",MT,84,704,703,933,955,0,0,389
1/1/2022 0:00,AS,2571,SEA,"Seattle, WA",WA,93,MSO,"Missoula, MT",MT,84,1415,1505,1643,1721,0,0,389
1/1/2022 0:00,DL,2943,MSP,"Minneapolis, MN",MN,63,MSO,"Missoula, MT",MT,84,1135,1244,1332,1426,0,0,1013
1/1/2022 0:00,DL,3798,SLC,"Salt Lake City, UT",UT,87,MSO,"Missoula, MT",MT,84,2100,2100,2250,2312,0,0,436
1/1/2022 0:00,DL,4141,SLC,"Salt Lake City, UT",UT,87,MSO,"Missoula, MT",MT,84,956,956,1146,1151,0,0,436
1/1/2022 0:00,UA,1839,DEN,"Denver, CO",CO,82,MSO,"Missoula, MT",MT,84,1905,2041,2121,2242,0,0,679
1/1/2022 0:00,UA,456,DEN,"Denver, CO",CO,82,MSO,"Missoula, MT",MT,84,1115,1219,1332,1501,0,0,679
1/2/2022 0:00,AA,2032,DFW,"Dallas/Fort Worth, TX",TX,74,MSO,"Missoula, MT",MT,84,1635,1635,1910,1904,0,0,1320
