FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,119,DFW,"Dallas/Fort Worth, TX",TX,74,OGG,"Kahului, HI",HI,2,1120,1113,1544,1555,0,0,3711
1/1/2022 0:00,AA,205,LAX,"Los Angeles, CA",CA,91,OGG,"Kahului, HI",HI,2,1530,1539,1928,1921,0,0,2486
1/1/2022 0:00,AA,231,LAX,"Los Angeles, CA",CA,91,OGG,"Kahului, HI",HI,2,1719,1718,2115,2140,0,0,2486
1/1/2022 0:00,AA,271,LAX,"Los Angeles, CA",CA,91,OGG,"Kahului, HI",HI,2,1040,1033,1440,1437,0,0,2486
1/1/2022 0:00,AA,432,PHX,"Phoenix, AZ",AZ,81,OGG,"Kahului, HI",HI,2,1135,1132,1516,1514,0,0,2845
1/1/2022 0:00,AA,510,PHX,"Phoenix, AZ",AZ,81,OGG,"Kahului, HI",HI,2,1500,1507,1853,1844,0,0,2845
1/1/2022 0:00,AA,7,DFW,"Dallas/Fort Worth, TX",TX,74,OGG,"Kahului, HI",HI,2,1230,1240,1701,1646,0,0,3711
1/1/2022 0:00,AS,803,SJC,"San Jose, CA",CA,91,OGG,"Kahului, HI",HI,2,1025,1022,1410,1416,0,0,2355
1/1/2022 0:00,AS,805,SEA,"Seattle, WA",WA,93,OGG,"Kahului, HI",HI,2,1802,1804,2224,2214,0,0,2640
1/1/2022 0:00,AS,809,PDX,"Portland, OR",OR,92,OGG,"Kahului, HI",HI,2,700,1010,1110,1506,0,0,2562
1/1/2022 0:00,AS,813,LAX,"Los Angeles, CA",CA,91,OGG,"Kahului, HI",HI,2,1130,1128,1534,1626,0,0,2486
1/1/2022 0:00,AS,821,SFO,"San Francisco, CA",CA,91,OGG,"Kahului, HI",HI,2,955,948,1340,1330,0,0,2338
1/1/2022 0:00,AS,825,SEA,"Seattle, WA",WA,93,OGG,"Kahului, HI",HI,2,1137,1201,1604,1715,0,0,2640
