FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/2/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1149,,1332,,1,0,412
1/3/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1149,1247,1332,1420,0,0,412
1/5/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1339,1327,,0,1,412
1/6/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,,1327,,1,0,412
1/7/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1235,1327,1404,0,0,412
1/9/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1244,1327,1400,0,0,412
1/10/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1142,1327,1310,0,0,412
1/12/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1137,1327,1251,0,0,412
1/13/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,,1327,,1,0,412
1/14/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1316,1327,1442,0,0,412
1/16/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1411,1327,1524,0,0,412
1/17/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1139,1327,1300,0,0,412
1/19/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1138,1327,1300,0,0,412
1/20/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,,1327,,1,0,412
1/21/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1151,1327,1324,0,0,412
1/23/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1229,1327,1346,0,0,412
1/24/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1140,1327,1309,0,0,412
1/26/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1148,1327,1314,0,0,412
1/27/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1139,1327,1304,0,0,412
1/28/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1136,1327,1254,0,0,412
1/30/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1137,1327,1255,0,0,412
1/31/2022 0:00,UA,5595,SFO,"San Francisco, CA",CA,91,OTH,"North Bend/Coos Bay, OR",OR,92,1144,1205,1327,1332,0,0,412
