FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AS,2112,LAS,"Las Vegas, NV",NV,85,PAE,"Everett, WA",WA,93,2035,2038,2324,2321,0,0,894
1/1/2022 0:00,AS,2237,PHX,"Phoenix, AZ",AZ,81,PAE,"Everett, WA",WA,93,1151,1228,1406,1450,0,0,1133
1/1/2022 0:00,AS,2367,PSP,"Palm Springs, CA",CA,91,PAE,"Everett, WA",WA,93,1815,1842,2114,2132,0,0,1017
1/1/2022 0:00,AS,2371,BOI,"Boise, ID",ID,83,PAE,"Everett, WA",WA,93,2030,2030,2103,2112,0,0,419
1/1/2022 0:00,AS,2435,GEG,"Spokane, WA",WA,93,PAE,"Everett, WA",WA,93,930,955,1035,1102,0,0,222
1/2/2022 0:00,AS,2112,LAS,"Las Vegas, NV",NV,85,PAE,"Everett, WA",WA,93,2035,2031,2324,2309,0,0,894
1/2/2022 0:00,AS,2237,PHX,"Phoenix, AZ",AZ,81,PAE,"Everett, WA",WA,93,1151,1153,1406,1405,0,0,1133
1/2/2022 0:00,AS,2247,TUS,"Tucson, AZ",AZ,81,PAE,"Everett, WA",WA,93,1600,1605,1820,1830,0,0,1241
1/2/2022 0:00,AS,2367,PSP,"Palm Springs, CA",CA,91,PAE,"Everett, WA",WA,93,1815,1825,2114,2112,0,0,1017
1/2/2022 0:00,AS,2371,BOI,"Boise, ID",ID,83,PAE,"Everett, WA",WA,93,2030,2033,2103,2108,0,0,419
1/2/2022 0:00,AS,2435,GEG,"Spokane, WA",WA,93,PAE,"Everett, WA",WA,93,930,929,1035,1031,0,0,222
1/3/2022 0:00,AS,2112,LAS,"Las Vegas, NV",NV,85,PAE,"Everett, WA",WA,93,2035,2145,2324,56,0,0,894
1/3/2022 0:00,AS,2237,PHX,"Phoenix, AZ",AZ,81,PAE,"Everett, WA",WA,93,1151,1155,1406,1401,0,0,1133
1/3/2022 0:00,AS,2247,TUS,"Tucson, AZ",AZ,81,PAE,"Everett, WA",WA,93,1600,1633,1820,2137,0,1,1241
1/3/2022 0:00,AS,2367,PSP,"Palm Springs, CA",CA,91,PAE,"Everett, WA",WA,93,1815,1812,2114,2130,0,0,1017
1/3/2022 0:00,AS,2371,BOI,"Boise, ID",ID,83,PAE,"Everett, WA",WA,93,2030,,2103,,1,0,419
1/3/2022 0:00,AS,2435,GEG,"Spokane, WA",WA,93,PAE,"Everett, WA",WA,93,930,953,1035,1121,0,0,222
1/4/2022 0:00,AS,2052,PDX,"Portland, OR",OR,92,PAE,"Everett, WA",WA,93,2040,2107,2137,2204,0,0,161
1/4/2022 0:00,AS,2146,GEG,"Spokane, WA",WA,93,PAE,"Everett, WA",WA,93,845,1028,957,1132,0,0,222
1/4/2022 0:00,AS,2202,BOI,"Boise, ID",ID,83,PAE,"Everett, WA",WA,93,755,804,826,932,0,0,419
1/4/2022 0:00,AS,2385,PHX,"Phoenix, AZ",AZ,81,PAE,"Everett, WA",WA,93,1800,1758,2016,2012,0,0,1133
1/5/2022 0:00,AS,2052,PDX,"Portland, OR",OR,92,PAE,"Everett, WA",WA,93,2040,2103,2137,2224,0,0,161
1/5/2022 0:00,AS,2146,GEG,"Spokane, WA",WA,93,PAE,"Everett, WA",WA,93,845,842,957,958,0,0,222
1/5/2022 0:00,AS,2202,BOI,"Boise, ID",ID,83,PAE,"Everett, WA",WA,93,755,828,826,917,0,0,419
1/5/2022 0:00,AS,2385,PHX,"Phoenix, AZ",AZ,81,PAE,"Everett, WA",WA,93,1800,1804,2016,2026,0,0,1133
1/6/2022 0:00,AS,2015,BOI,"Boise, ID",ID,83,PAE,"Everett, WA",WA,93,1930,2014,2002,2043,0,0,419
1/6/2022 0:00,AS,2052,PDX,"Portland, OR",OR,92,PAE,"Everett, WA",WA,93,2040,2035,2137,2128,0,0,161
1/6/2022 0:00,AS,2069,GEG,"Spokane, WA",WA,93,PAE,"Everett, WA",WA,93,1920,2048,2029,2204,0,0,222
1/6/2022 0:00,AS,2071,PDX,"Portland, OR",OR,92,PAE,"Everett, WA",WA,93,840,,937,,1,0,161
1/6/2022 0:00,AS,2112,LAS,"Las Vegas, NV",NV,85,PAE,"Everett, WA",WA,93,1855,1855,2147,2146,0,0,894
1/6/2022 0:00,AS,2116,SNA,"Santa Ana, CA",CA,91,PAE,"Everett, WA",WA,93,1235,1351,1537,1637,0,0,1008
1/6/2022 0:00,AS,2146,GEG,"Spokane, WA",WA,93,PAE,"Everett, WA",WA,93,845,,957,,1,0,222
1/6/2022 0:00,AS,2178,SAN,"San Diego, CA",CA,91,PAE,"Everett, WA",WA,93,1200,1453,1510,1743,0,0,1080
1/6/2022 0:00,AS,2202,BOI,"Boise, ID",ID,83,PAE,"Everett, WA",WA,93,755,755,826,847,0,0,419
1/6/2022 0:00,AS,2249,TUS,"Tucson, AZ",AZ,81,PAE,"Everett, WA",WA,93,1525,,1744,,1,0,1241
1/6/2022 0:00,AS,2366,PSP,"Palm Springs, CA",CA,91,PAE,"Everett, WA",WA,93,1350,1519,1652,1802,0,0,1017
1/6/2022 0:00,AS,2385,PHX,"Phoenix, AZ",AZ,81,PAE,"Everett, WA",WA,93,1800,1757,2016,2000,0,0,1133
1/7/2022 0:00,AS,2015,BOI,"Boise, ID",ID,83,PAE,"Everett, WA",WA,93,1930,1929,2002,2000,0,0,419
1/7/2022 0:00,AS,2052,PDX,"Portland, OR",OR,92,PAE,"Everett, WA",WA,93,2040,2039,2137,2130,0,0,161
1/7/2022 0:00,AS,2069,GEG,"Spokane, WA",WA,93,PAE,"Everett, WA",WA,93,1920,1910,2029,2007,0,0,222
1/7/2022 0:00,AS,2071,PDX,"Portland, OR",OR,92,PAE,"Everett, WA",WA,93,840,835,937,942,0,0,161
1/7/2022 0:00,AS,2112,LAS,"Las Vegas, NV",NV,85,PAE,"Everett, WA",WA,93,1855,2020,2147,2259,0,0,894
1/7/2022 0:00,AS,2116,SNA,"Santa Ana, CA",CA,91,PAE,"Everett, WA",WA,93,1235,1231,1537,1516,0,0,1008
1/7/2022 0:00,AS,2146,GEG,"Spokane, WA",WA,93,PAE,"Everett, WA",WA,93,845,841,957,937,0,0,222
1/7/2022 0:00,AS,2178,SAN,"San Diego, CA",CA,91,PAE,"Everett, WA",WA,93,1200,1328,1510,1616,0,0,1080
1/7/2022 0:00,AS,2202,BOI,"Boise, ID",ID,83,PAE,"Everett, WA",WA,93,755,754,826,829,0,0,419
1/7/2022 0:00,AS,2249,TUS,"Tucson, AZ",AZ,81,PAE,"Everett, WA",WA,93,1525,1518,1744,1726,0,0,1241
1/7/2022 0:00,AS,2366,PSP,"Palm Springs, CA",CA,91,PAE,"Everett, WA",WA,93,1350,1351,1652,1655,0,0,1017
1/7/2022 0:00,AS,2385,PHX,"Phoenix, AZ",AZ,81,PAE,"Everett, WA",WA,93,1800,1833,2016,2030,0,0,1133
