FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5039,LAX,"Los Angeles, CA",CA,91,PRC,"Prescott, AZ",AZ,81,1845,2011,2107,2223,0,0,346
1/1/2022 0:00,UA,5113,DEN,"Denver, CO",CO,82,PRC,"Prescott, AZ",AZ,81,1250,1618,1445,1753,0,0,557
1/2/2022 0:00,UA,5039,LAX,"Los Angeles, CA",CA,91,PRC,"Prescott, AZ",AZ,81,1845,1836,2107,2051,0,0,346
1/2/2022 0:00,UA,5113,DEN,"Denver, CO",CO,82,PRC,"Prescott, AZ",AZ,81,1250,1302,1445,1451,0,0,557
1/3/2022 0:00,UA,5039,LAX,"Los Angeles, CA",CA,91,PRC,"Prescott, AZ",AZ,81,1845,1851,2107,2123,0,0,346
1/3/2022 0:00,UA,5113,DEN,"Denver, CO",CO,82,PRC,"Prescott, AZ",AZ,81,1250,1330,1445,1511,0,0,557
1/4/2022 0:00,UA,5034,DEN,"Denver, CO",CO,82,PRC,"Prescott, AZ",AZ,81,1500,1453,1655,1642,0,0,557
1/4/2022 0:00,UA,5039,LAX,"Los Angeles, CA",CA,91,PRC,"Prescott, AZ",AZ,81,1900,2115,2122,2333,0,0,346
1/5/2022 0:00,UA,5034,DEN,"Denver, CO",CO,82,PRC,"Prescott, AZ",AZ,81,1500,1507,1655,1713,0,0,557
1/5/2022 0:00,UA,5039,LAX,"Los Angeles, CA",CA,91,PRC,"Prescott, AZ",AZ,81,1900,1854,2122,2116,0,0,346
1/6/2022 0:00,UA,5034,DEN,"Denver, CO",CO,82,PRC,"Prescott, AZ",AZ,81,1500,1458,1655,1641,0,0,557
1/6/2022 0:00,UA,5039,LAX,"Los Angeles, CA",CA,91,PRC,"Prescott, AZ",AZ,81,1900,1922,2122,2138,0,0,346
1/7/2022 0:00,UA,5034,DEN,"Denver, CO",CO,82,PRC,"Prescott, AZ",AZ,81,1500,1536,1655,1713,0,0,557
