FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AS,2100,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,2251,131,2347,216,0,0,172
1/1/2022 0:00,AS,2117,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,2125,2122,2221,2217,0,0,172
1/1/2022 0:00,AS,2140,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,950,949,1049,1044,0,0,172
1/1/2022 0:00,AS,2352,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1614,1643,1710,1727,0,0,172
1/1/2022 0:00,DL,3655,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1134,1134,1236,1300,0,0,172
1/1/2022 0:00,DL,3677,MSP,"Minneapolis, MN",MN,63,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1800,1800,1944,1928,0,0,1254
1/1/2022 0:00,DL,3728,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1925,1933,2023,2027,0,0,172
1/1/2022 0:00,DL,3782,SLC,"Salt Lake City, UT",UT,87,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1100,1150,1149,1232,0,0,521
1/1/2022 0:00,DL,3804,SLC,"Salt Lake City, UT",UT,87,PSC,"Pasco/Kennewick/Richland, WA",WA,93,2145,2155,2236,2257,0,0,521
1/1/2022 0:00,UA,5520,DEN,"Denver, CO",CO,82,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1210,1322,1356,1527,0,0,852
1/1/2022 0:00,UA,5610,SFO,"San Francisco, CA",CA,91,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1035,1052,1243,1241,0,0,620
1/1/2022 0:00,UA,5615,DEN,"Denver, CO",CO,82,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1855,,2037,,1,0,852
1/2/2022 0:00,AS,2100,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,2251,2257,2347,5,0,0,172
1/2/2022 0:00,AS,2117,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,2125,2254,2221,2347,0,0,172
1/2/2022 0:00,AS,2140,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,950,1028,1049,1120,0,0,172
1/2/2022 0:00,AS,2352,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1614,1839,1710,1941,0,0,172
1/2/2022 0:00,DL,3628,SLC,"Salt Lake City, UT",UT,87,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1515,1613,1604,1654,0,0,521
1/2/2022 0:00,DL,3655,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,930,943,1033,1028,0,0,172
1/2/2022 0:00,DL,3677,MSP,"Minneapolis, MN",MN,63,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1800,1805,1945,2021,0,0,1254
1/2/2022 0:00,DL,3685,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1543,1633,1643,1742,0,0,172
1/2/2022 0:00,DL,3728,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,2259,,2355,,1,0,172
1/2/2022 0:00,DL,3782,SLC,"Salt Lake City, UT",UT,87,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1100,1100,1149,1146,0,0,521
1/2/2022 0:00,DL,3804,SLC,"Salt Lake City, UT",UT,87,PSC,"Pasco/Kennewick/Richland, WA",WA,93,2257,2258,2356,2341,0,0,521
1/2/2022 0:00,G4,1213,AZA,"Phoenix, AZ",AZ,81,PSC,"Pasco/Kennewick/Richland, WA",WA,93,620,700,756,827,0,0,977
1/2/2022 0:00,UA,5520,DEN,"Denver, CO",CO,82,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1210,1256,1356,1443,0,0,852
1/2/2022 0:00,UA,5610,SFO,"San Francisco, CA",CA,91,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1035,1145,1243,1329,0,0,620
1/2/2022 0:00,UA,5615,DEN,"Denver, CO",CO,82,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1855,,2044,,1,0,852
1/3/2022 0:00,AS,2100,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,2251,2335,2347,25,0,0,172
1/3/2022 0:00,AS,2117,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,2125,2311,2221,6,0,0,172
1/3/2022 0:00,AS,2140,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,950,956,1049,1055,0,0,172
1/3/2022 0:00,AS,2352,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1614,1648,1710,1746,0,0,172
1/3/2022 0:00,DL,3628,SLC,"Salt Lake City, UT",UT,87,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1515,1515,1604,1556,0,0,521
1/3/2022 0:00,DL,3655,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,930,,1033,,1,0,172
1/3/2022 0:00,DL,3677,MSP,"Minneapolis, MN",MN,63,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1800,1804,1945,1944,0,0,1254
1/3/2022 0:00,DL,3685,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1543,1636,1643,1813,0,0,172
1/3/2022 0:00,DL,3728,SEA,"Seattle, WA",WA,93,PSC,"Pasco/Kennewick/Richland, WA",WA,93,2259,,2355,,1,0,172
1/3/2022 0:00,DL,3782,SLC,"Salt Lake City, UT",UT,87,PSC,"Pasco/Kennewick/Richland, WA",WA,93,1100,1131,1149,1217,0,0,521
