FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1187,DFW,"Dallas/Fort Worth, TX",TX,74,PSP,"Palm Springs, CA",CA,91,1240,1239,1352,1354,0,0,1126
1/1/2022 0:00,AA,2709,DFW,"Dallas/Fort Worth, TX",TX,74,PSP,"Palm Springs, CA",CA,91,1900,1936,2014,2059,0,0,1126
1/1/2022 0:00,AA,2755,PHX,"Phoenix, AZ",AZ,81,PSP,"Palm Springs, CA",CA,91,1150,1147,1206,1158,0,0,261
1/1/2022 0:00,AA,2906,ORD,"Chicago, IL",IL,41,PSP,"Palm Springs, CA",CA,91,1315,,1541,,1,0,1652
1/1/2022 0:00,AA,3237,PHX,"Phoenix, AZ",AZ,81,PSP,"Palm Springs, CA",CA,91,1800,,1814,,1,0,261
1/1/2022 0:00,AS,1383,SEA,"Seattle, WA",WA,93,PSP,"Palm Springs, CA",CA,91,645,644,929,912,0,0,987
1/1/2022 0:00,AS,1385,SEA,"Seattle, WA",WA,93,PSP,"Palm Springs, CA",CA,91,1955,2106,2234,2347,0,0,987
1/1/2022 0:00,AS,1387,SEA,"Seattle, WA",WA,93,PSP,"Palm Springs, CA",CA,91,1135,1137,1420,1424,0,0,987
1/1/2022 0:00,AS,2366,PAE,"Everett, WA",WA,93,PSP,"Palm Springs, CA",CA,91,1450,1532,1731,1802,0,0,1017
1/1/2022 0:00,AS,3319,AUS,"Austin, TX",TX,74,PSP,"Palm Springs, CA",CA,91,1410,1400,1518,1516,0,0,1132
1/1/2022 0:00,AS,3336,PDX,"Portland, OR",OR,92,PSP,"Palm Springs, CA",CA,91,1845,,2104,,1,0,873
1/1/2022 0:00,AS,3392,SFO,"San Francisco, CA",CA,91,PSP,"Palm Springs, CA",CA,91,2005,1959,2136,2114,0,0,421
1/1/2022 0:00,AS,3404,SFO,"San Francisco, CA",CA,91,PSP,"Palm Springs, CA",CA,91,1135,1125,1309,1309,0,0,421
1/1/2022 0:00,AS,3425,BOI,"Boise, ID",ID,83,PSP,"Palm Springs, CA",CA,91,1835,1841,1944,2000,0,0,672
1/1/2022 0:00,AS,3483,SFO,"San Francisco, CA",CA,91,PSP,"Palm Springs, CA",CA,91,840,,1014,,1,0,421
1/1/2022 0:00,AS,3492,SJC,"San Jose, CA",CA,91,PSP,"Palm Springs, CA",CA,91,1215,,1334,,1,0,390
1/1/2022 0:00,AS,818,PDX,"Portland, OR",OR,92,PSP,"Palm Springs, CA",CA,91,1540,1538,1800,1746,0,0,873
1/1/2022 0:00,AS,874,PDX,"Portland, OR",OR,92,PSP,"Palm Springs, CA",CA,91,1255,1252,1515,1517,0,0,873
1/1/2022 0:00,AS,993,SEA,"Seattle, WA",WA,93,PSP,"Palm Springs, CA",CA,91,1352,1352,1635,1621,0,0,987
1/1/2022 0:00,B6,1849,JFK,"New York, NY",NY,22,PSP,"Palm Springs, CA",CA,91,929,1003,1244,1311,0,0,2378
1/1/2022 0:00,B6,2405,BOS,"Boston, MA",MA,13,PSP,"Palm Springs, CA",CA,91,1715,1716,2046,2038,0,0,2517
1/1/2022 0:00,DL,1384,SEA,"Seattle, WA",WA,93,PSP,"Palm Springs, CA",CA,91,1155,1155,1441,1423,0,0,987
1/1/2022 0:00,DL,2926,MSP,"Minneapolis, MN",MN,63,PSP,"Palm Springs, CA",CA,91,850,854,1045,1030,0,0,1454
1/1/2022 0:00,DL,4001,SLC,"Salt Lake City, UT",UT,87,PSP,"Palm Springs, CA",CA,91,2045,2053,2139,2137,0,0,541
1/1/2022 0:00,DL,4018,SLC,"Salt Lake City, UT",UT,87,PSP,"Palm Springs, CA",CA,91,1100,1124,1156,1158,0,0,541
1/1/2022 0:00,G4,1098,IND,"Indianapolis, IN",IN,42,PSP,"Palm Springs, CA",CA,91,830,,943,,1,0,1716
1/1/2022 0:00,G4,599,BNA,"Nashville, TN",TN,54,PSP,"Palm Springs, CA",CA,91,1200,1155,1430,1436,0,0,1693
