FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,G4,1182,AZA,"Phoenix, AZ",AZ,81,PVU,"Provo, UT",UT,87,1925,,2054,,1,0,477
1/1/2022 0:00,G4,1801,PIE,"St. Petersburg, FL",FL,33,PVU,"Provo, UT",UT,87,1130,1125,1430,1347,0,0,1857
1/2/2022 0:00,G4,1179,AZA,"Phoenix, AZ",AZ,81,PVU,"Provo, UT",UT,87,744,832,913,959,0,0,477
1/2/2022 0:00,G4,1207,SNA,"Santa Ana, CA",CA,91,PVU,"Provo, UT",UT,87,1126,1233,1358,1506,0,0,565
1/2/2022 0:00,G4,1261,HOU,"Houston, TX",TX,74,PVU,"Provo, UT",UT,87,1919,1919,2118,2123,0,0,1181
1/2/2022 0:00,G4,1394,AZA,"Phoenix, AZ",AZ,81,PVU,"Provo, UT",UT,87,610,618,739,747,0,0,477
1/2/2022 0:00,G4,2821,AUS,"Austin, TX",TX,74,PVU,"Provo, UT",UT,87,1524,1545,1709,1727,0,0,1051
1/3/2022 0:00,G4,1393,AZA,"Phoenix, AZ",AZ,81,PVU,"Provo, UT",UT,87,1955,2120,2124,2258,0,0,477
1/3/2022 0:00,G4,1394,AZA,"Phoenix, AZ",AZ,81,PVU,"Provo, UT",UT,87,700,717,829,840,0,0,477
1/3/2022 0:00,G4,3372,PHX,"Phoenix, AZ",AZ,81,PVU,"Provo, UT",UT,87,1133,1134,1303,1257,0,0,468
1/3/2022 0:00,G4,519,PSP,"Palm Springs, CA",CA,91,PVU,"Provo, UT",UT,87,1610,1607,1837,1840,0,0,514
1/5/2022 0:00,G4,1217,AZA,"Phoenix, AZ",AZ,81,PVU,"Provo, UT",UT,87,1614,1636,1747,1815,0,0,477
