FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2681,CLT,"Charlotte, NC",NC,36,PWM,"Portland, ME",ME,12,1125,1121,1342,1333,0,0,813
1/1/2022 0:00,AA,4880,DCA,"Washington, DC",VA,38,PWM,"Portland, ME",ME,12,1659,1657,1835,1818,0,0,482
1/1/2022 0:00,AA,5120,DCA,"Washington, DC",VA,38,PWM,"Portland, ME",ME,12,1000,1017,1137,1153,0,0,482
1/1/2022 0:00,AA,5302,PHL,"Philadelphia, PA",PA,23,PWM,"Portland, ME",ME,12,1054,1043,1217,1203,0,0,364
1/1/2022 0:00,AA,5429,PHL,"Philadelphia, PA",PA,23,PWM,"Portland, ME",ME,12,2020,2027,2158,2201,0,0,364
1/1/2022 0:00,AA,5583,DCA,"Washington, DC",VA,38,PWM,"Portland, ME",ME,12,1453,1447,1634,1616,0,0,482
1/1/2022 0:00,DL,2493,ATL,"Atlanta, GA",GA,34,PWM,"Portland, ME",ME,12,1954,2008,2221,2213,0,0,1027
1/1/2022 0:00,DL,4992,DTW,"Detroit, MI",MI,43,PWM,"Portland, ME",ME,12,1523,1518,1719,1652,0,0,668
1/1/2022 0:00,DL,5096,JFK,"New York, NY",NY,22,PWM,"Portland, ME",ME,12,2120,2117,2244,2241,0,0,273
1/1/2022 0:00,DL,5440,LGA,"New York, NY",NY,22,PWM,"Portland, ME",ME,12,1700,1650,1819,1749,0,0,269
1/1/2022 0:00,F9,2538,TPA,"Tampa, FL",FL,33,PWM,"Portland, ME",ME,12,1509,1549,1813,1906,0,0,1277
1/1/2022 0:00,UA,3440,ORD,"Chicago, IL",IL,41,PWM,"Portland, ME",ME,12,1215,1216,1538,1514,0,0,900
1/1/2022 0:00,UA,3540,EWR,"Newark, NJ",NJ,21,PWM,"Portland, ME",ME,12,1233,1231,1354,1331,0,0,284
1/1/2022 0:00,UA,3587,EWR,"Newark, NJ",NJ,21,PWM,"Portland, ME",ME,12,2210,3,2338,110,0,0,284
1/1/2022 0:00,UA,3611,IAD,"Washington, DC",VA,38,PWM,"Portland, ME",ME,12,1030,1055,1210,1222,0,0,493
1/1/2022 0:00,UA,3658,ORD,"Chicago, IL",IL,41,PWM,"Portland, ME",ME,12,1900,,2229,,1,0,900
