FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1702,DFW,"Dallas/Fort Worth, TX",TX,74,SBA,"Santa Barbara, CA",CA,91,1958,1955,2132,2134,0,0,1316
1/1/2022 0:00,AA,5885,PHX,"Phoenix, AZ",AZ,81,SBA,"Santa Barbara, CA",CA,91,1152,1433,1230,1500,0,0,455
1/1/2022 0:00,AS,2074,SEA,"Seattle, WA",WA,93,SBA,"Santa Barbara, CA",CA,91,705,755,935,1039,0,0,908
1/1/2022 0:00,UA,1854,SFO,"San Francisco, CA",CA,91,SBA,"Santa Barbara, CA",CA,91,1048,1041,1208,1144,0,0,262
1/1/2022 0:00,UA,2414,DEN,"Denver, CO",CO,82,SBA,"Santa Barbara, CA",CA,91,1200,1230,1338,1458,0,0,916
1/1/2022 0:00,UA,292,DEN,"Denver, CO",CO,82,SBA,"Santa Barbara, CA",CA,91,1910,2228,2052,2347,0,0,916
1/1/2022 0:00,UA,4673,DEN,"Denver, CO",CO,82,SBA,"Santa Barbara, CA",CA,91,1550,1744,1737,1920,0,0,916
1/1/2022 0:00,UA,4796,LAX,"Los Angeles, CA",CA,91,SBA,"Santa Barbara, CA",CA,91,2242,2241,2337,2322,0,0,89
1/1/2022 0:00,UA,5211,SFO,"San Francisco, CA",CA,91,SBA,"Santa Barbara, CA",CA,91,2016,2008,2130,2113,0,0,262
1/1/2022 0:00,UA,5751,SFO,"San Francisco, CA",CA,91,SBA,"Santa Barbara, CA",CA,91,1634,1629,1748,1732,0,0,262
1/1/2022 0:00,WN,2623,LAS,"Las Vegas, NV",NV,85,SBA,"Santa Barbara, CA",CA,91,915,910,1035,1014,0,0,289
1/1/2022 0:00,WN,2837,LAS,"Las Vegas, NV",NV,85,SBA,"Santa Barbara, CA",CA,91,2055,2100,2215,2159,0,0,289
1/1/2022 0:00,WN,3069,OAK,"Oakland, CA",CA,91,SBA,"Santa Barbara, CA",CA,91,1025,1025,1135,1127,0,0,263
1/1/2022 0:00,WN,3232,LAS,"Las Vegas, NV",NV,85,SBA,"Santa Barbara, CA",CA,91,1600,1556,1720,1702,0,0,289
1/1/2022 0:00,WN,3695,DEN,"Denver, CO",CO,82,SBA,"Santa Barbara, CA",CA,91,1335,1414,1520,1537,0,0,916
1/2/2022 0:00,AA,1702,DFW,"Dallas/Fort Worth, TX",TX,74,SBA,"Santa Barbara, CA",CA,91,1855,1855,2037,2016,0,0,1316
1/2/2022 0:00,AA,1810,DFW,"Dallas/Fort Worth, TX",TX,74,SBA,"Santa Barbara, CA",CA,91,910,904,1055,1058,0,0,1316
1/2/2022 0:00,AA,5908,PHX,"Phoenix, AZ",AZ,81,SBA,"Santa Barbara, CA",CA,91,835,830,913,906,0,0,455
1/2/2022 0:00,AA,5958,PHX,"Phoenix, AZ",AZ,81,SBA,"Santa Barbara, CA",CA,91,1901,1858,1941,1936,0,0,455
1/2/2022 0:00,AS,2074,SEA,"Seattle, WA",WA,93,SBA,"Santa Barbara, CA",CA,91,705,703,935,937,0,0,908
1/2/2022 0:00,AS,2550,PDX,"Portland, OR",OR,92,SBA,"Santa Barbara, CA",CA,91,1210,1205,1416,1416,0,0,784
1/2/2022 0:00,AS,3437,SAN,"San Diego, CA",CA,91,SBA,"Santa Barbara, CA",CA,91,1755,1750,1854,1849,0,0,192
1/2/2022 0:00,UA,1854,SFO,"San Francisco, CA",CA,91,SBA,"Santa Barbara, CA",CA,91,1048,1049,1208,1204,0,0,262
1/2/2022 0:00,UA,2414,DEN,"Denver, CO",CO,82,SBA,"Santa Barbara, CA",CA,91,1200,1256,1338,1423,0,0,916
1/2/2022 0:00,UA,4673,DEN,"Denver, CO",CO,82,SBA,"Santa Barbara, CA",CA,91,1550,1554,1737,1723,0,0,916
1/2/2022 0:00,UA,4796,LAX,"Los Angeles, CA",CA,91,SBA,"Santa Barbara, CA",CA,91,2242,,2337,,1,0,89
1/2/2022 0:00,UA,5211,SFO,"San Francisco, CA",CA,91,SBA,"Santa Barbara, CA",CA,91,2016,,2130,,1,0,262
1/2/2022 0:00,UA,5659,DEN,"Denver, CO",CO,82,SBA,"Santa Barbara, CA",CA,91,1905,,2055,,1,0,916
